State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
Indiana,Adams County,0,0,0
Indiana,Allen County,0,0,0
Indiana,Bartholomew County,0,0,0
Indiana,Benton County,0,0,0
Indiana,Blackford County,0,0,0
Indiana,Boone County,0,0,0
Indiana,Brown County,0,0,0
Indiana,Carroll County,0,0,0
Indiana,Cass County,0,0,0
Indiana,Clark County,195,41,154
Indiana,Clay County,0,0,0
Indiana,Clinton County,0,0,0
Indiana,Crawford County,0,0,0
Indiana,Daviess County,0,0,0
Indiana,Dearborn County,0,0,0
Indiana,Decatur County,0,0,0
Indiana,DeKalb County,0,0,0
Indiana,Delaware County,0,0,0
Indiana,Dubois County,0,0,0
Indiana,Elkhart County,0,0,0
Indiana,Fayette County,0,0,0
Indiana,Floyd County,0,0,0
Indiana,Fountain County,0,0,0
Indiana,Franklin County,0,0,0
Indiana,Fulton County,0,0,0
Indiana,Gibson County,0,0,0
Indiana,Grant County,0,0,0
Indiana,Greene County,0,0,0
Indiana,Hamilton County,0,0,0
Indiana,Hancock County,0,0,0
Indiana,Harrison County,0,0,0
Indiana,Hendricks County,2533,1214,1319
Indiana,Henry County,2413,804,1609
Indiana,Howard County,0,0,0
Indiana,Huntington County,0,0,0
Indiana,Jackson County,0,0,0
Indiana,Jasper County,0,0,0
Indiana,Jay County,0,0,0
Indiana,Jefferson County,601,159,442
Indiana,Jennings County,0,0,0
Indiana,Johnson County,320,100,220
Indiana,Knox County,0,0,0
Indiana,Kosciusko County,0,0,0
Indiana,LaGrange County,0,0,0
Indiana,Lake County,0,0,0
Indiana,LaPorte County,5535,3088,2447
Indiana,Lawrence County,0,0,0
Indiana,Madison County,3412,1748,1664
Indiana,Marion County,393,195,198
Indiana,Marshall County,0,0,0
Indiana,Martin County,0,0,0
Indiana,Miami County,3158,1360,1798
Indiana,Monroe County,0,0,0
Indiana,Montgomery County,0,0,0
Indiana,Morgan County,0,0,0
Indiana,Newton County,0,0,0
Indiana,Noble County,151,43,108
Indiana,Ohio County,0,0,0
Indiana,Orange County,0,0,0
Indiana,Owen County,0,0,0
Indiana,Parke County,1320,398,922
Indiana,Perry County,1332,469,863
Indiana,Pike County,0,0,0
Indiana,Porter County,0,0,0
Indiana,Posey County,0,0,0
Indiana,Pulaski County,0,0,0
Indiana,Putnam County,2689,1282,1407
Indiana,Randolph County,0,0,0
Indiana,Ripley County,0,0,0
Indiana,Rush County,0,0,0
Indiana,St. Joseph County,102,39,63
Indiana,Scott County,0,0,0
Indiana,Shelby County,0,0,0
Indiana,Spencer County,0,0,0
Indiana,Starke County,0,0,0
Indiana,Steuben County,0,0,0
Indiana,Sullivan County,2185,1055,1130
Indiana,Switzerland County,0,0,0
Indiana,Tippecanoe County,0,0,0
Indiana,Tipton County,0,0,0
Indiana,Union County,0,0,0
Indiana,Vanderburgh County,0,0,0
Indiana,Vermillion County,0,0,0
Indiana,Vigo County,3278,2294,984
Indiana,Wabash County,0,0,0
Indiana,Warren County,0,0,0
Indiana,Warrick County,0,0,0
Indiana,Washington County,0,0,0
Indiana,Wayne County,0,0,0
Indiana,Wells County,0,0,0
Indiana,White County,0,0,0
Indiana,Whitley County,0,0,0
