State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
IN,Adams County,20100,23000,25850,28700,31000,33300,35600,37900,12050,15730,19790,23850,27910,31970,35600,37900,32150,36750,41350,45900,49600,53250,56950,60600
IN,Allen County,20750,23700,26650,29600,32000,34350,36750,39100,12450,15730,19790,23850,27910,31970,36030,39100,33150,37900,42650,47350,51150,54950,58750,62550
IN,Bartholomew County,23450,26800,30150,33450,36150,38850,41500,44200,14050,16050,19790,23850,27910,31970,36030,40090,37450,42800,48150,53500,57800,62100,66350,70650
IN,Benton County,21600,24650,27750,30800,33300,35750,38200,40700,12950,15730,19790,23850,27910,31970,36030,40090,34550,39450,44400,49300,53250,57200,61150,65100
IN,Blackford County,18550,21200,23850,26450,28600,30700,32800,34950,11670,15730,19790,23850,27910,30700,32800,34950,29650,33850,38100,42300,45700,49100,52500,55850
IN,Boone County,22550,25750,28950,32150,34750,37300,39900,42450,13550,15730,19790,23850,27910,31970,36030,40090,36050,41200,46350,51450,55600,59700,63800,67950
IN,Brown County,22550,25750,28950,32150,34750,37300,39900,42450,13550,15730,19790,23850,27910,31970,36030,40090,36050,41200,46350,51450,55600,59700,63800,67950
IN,Carroll County,22300,25450,28650,31800,34350,36900,39450,42000,13400,15730,19790,23850,27910,31970,36030,40090,35650,40750,45850,50900,55000,59050,63150,67200
IN,Cass County,18600,21250,23900,26550,28700,30800,32950,35050,11670,15730,19790,23850,27910,30800,32950,35050,29750,34000,38250,42500,45900,49300,52700,56100
IN,Clark County,22300,25500,28700,31850,34400,36950,39500,42050,13400,15730,19790,23850,27910,31970,36030,40090,35700,40800,45900,50950,55050,59150,63200,67300
IN,Clay County,19700,22500,25300,28100,30350,32600,34850,37100,11800,15730,19790,23850,27910,31970,34850,37100,31500,36000,40500,44950,48550,52150,55750,59350
IN,Clinton County,21000,24000,27000,29950,32350,34750,37150,39550,12600,15730,19790,23850,27910,31970,36030,39550,33550,38350,43150,47900,51750,55600,59400,63250
IN,Crawford County,18550,21200,23850,26450,28600,30700,32800,34950,11670,15730,19790,23850,27910,30700,32800,34950,29650,33850,38100,42300,45700,49100,52500,55850
IN,Daviess County,19550,22350,25150,27900,30150,32400,34600,36850,11750,15730,19790,23850,27910,31970,34600,36850,31300,35750,40200,44650,48250,51800,55400,58950
IN,Dearborn County,24000,27400,30850,34250,37000,39750,42500,45250,14400,16450,19790,23850,27910,31970,36030,40090,38400,43850,49350,54800,59200,63600,68000,72350
IN,Decatur County,19900,22750,25600,28400,30700,32950,35250,37500,11950,15730,19790,23850,27910,31970,35250,37500,31850,36400,40950,45450,49100,52750,56400,60000
IN,De Kalb County,19950,22800,25650,28450,30750,33050,35300,37600,11950,15730,19790,23850,27910,31970,35300,37600,31850,36400,40950,45500,49150,52800,56450,60100
IN,Delaware County,18550,21200,23850,26450,28600,30700,32800,34950,11670,15730,19790,23850,27910,30700,32800,34950,29650,33850,38100,42300,45700,49100,52500,55850
IN,Dubois County,23650,27000,30400,33750,36450,39150,41850,44550,14200,16200,19790,23850,27910,31970,36030,40090,37800,43200,48600,54000,58350,62650,67000,71300
IN,Elkhart County,19400,22150,24900,27650,29900,32100,34300,36500,11670,15730,19790,23850,27910,31970,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
IN,Fayette County,18550,21200,23850,26450,28600,30700,32800,34950,11670,15730,19790,23850,27910,30700,32800,34950,29650,33850,38100,42300,45700,49100,52500,55850
IN,Floyd County,22300,25500,28700,31850,34400,36950,39500,42050,13400,15730,19790,23850,27910,31970,36030,40090,35700,40800,45900,50950,55050,59150,63200,67300
IN,Fountain County,19500,22300,25100,27850,30100,32350,34550,36800,11700,15730,19790,23850,27910,31970,34550,36800,31200,35650,40100,44550,48150,51700,55250,58850
IN,Franklin County,24000,27400,30850,34250,37000,39750,42500,45250,14400,16450,19790,23850,27910,31970,36030,40090,38400,43850,49350,54800,59200,63600,68000,72350
IN,Fulton County,18750,21400,24100,26750,28900,31050,33200,35350,11670,15730,19790,23850,27910,31050,33200,35350,30000,34250,38550,42800,46250,49650,53100,56500
IN,Gibson County,22600,25800,29050,32250,34850,37450,40000,42600,13550,15730,19790,23850,27910,31970,36030,40090,36150,41300,46450,51600,55750,59900,64000,68150
IN,Grant County,18550,21200,23850,26450,28600,30700,32800,34950,11670,15730,19790,23850,27910,30700,32800,34950,29650,33850,38100,42300,45700,49100,52500,55850
IN,Greene County,19550,22350,25150,27900,30150,32400,34600,36850,11750,15730,19790,23850,27910,31970,34600,36850,31300,35750,40200,44650,48250,51800,55400,58950
IN,Hamilton County,22550,25750,28950,32150,34750,37300,39900,42450,13550,15730,19790,23850,27910,31970,36030,40090,36050,41200,46350,51450,55600,59700,63800,67950
IN,Hancock County,22550,25750,28950,32150,34750,37300,39900,42450,13550,15730,19790,23850,27910,31970,36030,40090,36050,41200,46350,51450,55600,59700,63800,67950
IN,Harrison County,22300,25500,28700,31850,34400,36950,39500,42050,13400,15730,19790,23850,27910,31970,36030,40090,35700,40800,45900,50950,55050,59150,63200,67300
IN,Hendricks County,22550,25750,28950,32150,34750,37300,39900,42450,13550,15730,19790,23850,27910,31970,36030,40090,36050,41200,46350,51450,55600,59700,63800,67950
IN,Henry County,18800,21500,24200,26850,29000,31150,33300,35450,11670,15730,19790,23850,27910,31150,33300,35450,30100,34400,38700,42950,46400,49850,53300,56700
IN,Howard County,20000,22850,25700,28550,30850,33150,35450,37700,12050,15730,19790,23850,27910,31970,35450,37700,32000,36600,41150,45700,49400,53050,56700,60350
IN,Huntington County,20850,23800,26800,29750,32150,34550,36900,39300,12500,15730,19790,23850,27910,31970,36030,39300,33350,38100,42850,47600,51450,55250,59050,62850
IN,Jackson County,19750,22550,25350,28150,30450,32700,34950,37200,11850,15730,19790,23850,27910,31970,34950,37200,31550,36050,40550,45050,48700,52300,55900,59500
IN,Jasper County,23700,27050,30450,33800,36550,39250,41950,44650,14250,16250,19790,23850,27910,31970,36030,40090,37900,43300,48700,54100,58450,62800,67100,71450
IN,Jay County,18550,21200,23850,26450,28600,30700,32800,34950,11670,15730,19790,23850,27910,30700,32800,34950,29650,33850,38100,42300,45700,49100,52500,55850
IN,Jefferson County,19500,22250,25050,27800,30050,32250,34500,36700,11700,15730,19790,23850,27910,31970,34500,36700,31150,35600,40050,44500,48100,51650,55200,58750
IN,Jennings County,18550,21200,23850,26450,28600,30700,32800,34950,11670,15730,19790,23850,27910,30700,32800,34950,29650,33850,38100,42300,45700,49100,52500,55850
IN,Johnson County,22550,25750,28950,32150,34750,37300,39900,42450,13550,15730,19790,23850,27910,31970,36030,40090,36050,41200,46350,51450,55600,59700,63800,67950
IN,Knox County,19400,22200,24950,27700,29950,32150,34350,36600,11670,15730,19790,23850,27910,31970,34350,36600,31050,35450,39900,44300,47850,51400,54950,58500
IN,Kosciusko County,21000,24000,27000,30000,32400,34800,37200,39600,12600,15730,19790,23850,27910,31970,36030,39600,33600,38400,43200,48000,51850,55700,59550,63400
IN,Lagrange County,19050,21800,24500,27200,29400,31600,33750,35950,11670,15730,19790,23850,27910,31600,33750,35950,30450,34800,39150,43500,47000,50500,53950,57450
