fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
560,564,742,917,1006,20,Allen County,12750,KS,0
566,651,742,917,1226,20,Anderson County,7840,KS,0
512,564,742,965,1087,20,Atchison County,16465,KS,0
560,564,742,976,1101,20,Barber County,4905,KS,0
571,575,742,1020,1122,20,Barton County,27065,KS,0
527,564,742,972,1009,20,Bourbon County,14755,KS,0
560,564,742,954,1019,20,Brown County,9735,KS,0
547,635,823,1103,1345,20,Butler County,66260,KS,1
560,564,742,917,1064,20,Chase County,2665,KS,0
526,564,742,999,1064,20,Chautauqua County,3425,KS,0
493,564,742,917,1006,20,Cherokee County,20500,KS,0
566,651,742,1049,1233,20,Cheyenne County,2675,KS,0
625,629,828,1024,1123,20,Clark County,2090,KS,0
566,570,742,1054,1128,20,Clay County,8205,KS,0
560,564,742,938,1092,20,Cloud County,9190,KS,0
566,611,742,983,1141,20,Coffey County,8330,KS,0
560,564,742,956,1064,20,Comanche County,1740,KS,0
498,569,749,970,1087,20,Cowley County,35730,KS,0
572,575,757,1048,1051,20,Crawford County,39100,KS,0
566,570,742,1054,1253,20,Decatur County,2890,KS,0
560,564,742,1004,1006,20,Dickinson County,19160,KS,0
547,626,824,1088,1171,20,Doniphan County,7790,KS,1
702,753,937,1331,1565,20,Douglas County,117805,KS,1
560,564,742,917,1006,20,Edwards County,2945,KS,0
566,633,742,992,1119,20,Elk County,2580,KS,0
580,584,768,1006,1249,20,Ellis County,28875,KS,0
566,585,742,1003,1006,20,Ellsworth County,6330,KS,0
639,644,847,1106,1241,20,Finney County,37095,KS,0
621,625,822,1033,1135,20,Ford County,34660,KS,0
594,637,838,1038,1172,20,Franklin County,25600,KS,0
667,671,883,1254,1511,20,Geary County,35795,KS,1
566,585,742,917,1006,20,Gove County,2630,KS,0
566,591,742,1029,1064,20,Graham County,2560,KS,0
560,564,742,965,1064,20,Grant County,7715,KS,0
566,585,742,936,1060,20,Gray County,6005,KS,0
566,651,742,956,1064,20,Greeley County,1210,KS,0
566,579,742,1025,1064,20,Greenwood County,6225,KS,0
560,564,742,917,1041,20,Hamilton County,2620,KS,0
560,564,742,917,1188,20,Harper County,5745,KS,0
547,635,823,1103,1345,20,Harvey County,34685,KS,1
560,564,742,917,1064,20,Haskell County,4080,KS,0
560,564,742,1003,1006,20,Hodgeman County,1875,KS,0
638,643,844,1075,1275,20,Jackson County,13320,KS,1
638,643,844,1075,1275,20,Jefferson County,18855,KS,1
566,631,742,1054,1064,20,Jewell County,2965,KS,0
762,875,1030,1365,1569,20,Johnson County,578795,KS,1
560,564,742,917,1064,20,Kearny County,3930,KS,0
566,626,742,1054,1086,20,Kingman County,7575,KS,0
566,651,742,917,1212,20,Kiowa County,2525,KS,0
493,564,742,994,1023,20,Labette County,20555,KS,0
560,564,742,917,1064,20,Lane County,1700,KS,0
762,875,1030,1365,1569,20,Leavenworth County,79360,KS,1
560,564,742,917,1064,20,Lincoln County,3120,KS,0
762,875,1030,1365,1569,20,Linn County,9600,KS,1
612,616,811,1003,1100,20,Logan County,2790,KS,0
495,566,745,996,1169,20,Lyon County,33300,KS,0
575,578,761,983,1061,20,McPherson County,28790,KS,0
560,564,742,940,1006,20,Marion County,12085,KS,0
560,564,742,1019,1270,20,Marshall County,9860,KS,0
566,569,742,955,1006,20,Meade County,4295,KS,0
762,875,1030,1365,1569,20,Miami County,32975,KS,1
560,564,742,917,1064,20,Mitchell County,6230,KS,0
560,564,742,998,1128,20,Montgomery County,33465,KS,0
578,581,765,946,1037,20,Morris County,5605,KS,0
560,564,742,1015,1064,20,Morton County,2930,KS,0
493,578,742,1015,1027,20,Nemaha County,10095,KS,0
563,564,742,1018,1174,20,Neosho County,16210,KS,0
566,651,742,1003,1006,20,Ness County,3000,KS,0
568,654,745,921,1069,20,Norton County,5525,KS,0
638,643,844,1075,1275,20,Osage County,15895,KS,1
566,593,742,1017,1064,20,Osborne County,3685,KS,0
581,585,770,952,1044,20,Ottawa County,5955,KS,0
566,651,742,1018,1064,20,Pawnee County,6775,KS,0
607,611,742,917,1006,20,Phillips County,5445,KS,0
723,728,907,1190,1552,20,Pottawatomie County,23190,KS,1
566,617,742,1054,1154,20,Pratt County,9670,KS,0
560,564,742,917,1064,20,Rawlins County,2520,KS,0
524,599,788,974,1069,20,Reno County,63360,KS,0
566,651,742,1004,1008,20,Republic County,4705,KS,0
566,651,742,1054,1270,20,Rice County,9870,KS,0
723,728,907,1190,1552,20,Riley County,75695,KS,1
560,564,742,920,1006,20,Rooks County,5150,KS,0
566,588,742,1042,1270,20,Rush County,3120,KS,0
560,564,742,935,1072,20,Russell County,6985,KS,0
552,633,831,1034,1284,20,Saline County,55335,KS,0
560,564,742,1054,1270,20,Scott County,4980,KS,0
547,635,823,1103,1345,20,Sedgwick County,510485,KS,1
639,644,847,1047,1149,20,Seward County,22950,KS,0
638,643,844,1075,1275,20,Shawnee County,178390,KS,1
566,611,742,1054,1064,20,Sheridan County,2495,KS,0
625,629,828,1024,1188,20,Sherman County,6000,KS,0
566,651,742,1046,1064,20,Smith County,3695,KS,0
560,564,742,917,1064,20,Stafford County,4250,KS,0
560,564,742,956,1064,20,Stanton County,2105,KS,0
562,566,745,921,1074,20,Stevens County,5740,KS,0
498,569,749,963,1128,20,Sumner County,23335,KS,1
560,564,742,917,1064,20,Thomas County,7845,KS,0
560,564,742,917,1064,20,Trego County,2900,KS,0
638,643,844,1075,1275,20,Wabaunsee County,6920,KS,1
560,564,742,917,1064,20,Wallace County,1590,KS,0
566,581,742,917,1170,20,Washington County,5570,KS,0
560,564,742,1054,1064,20,Wichita County,2155,KS,0
560,564,742,1054,1246,20,Wilson County,8860,KS,0
560,564,742,917,1186,20,Woodson County,3180,KS,0
762,875,1030,1365,1569,20,Wyandotte County,163225,KS,1
