sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Allen County,20001,-1,-1,224.0,-1.0,4.0,28.0,1.9,416.0,212.0,323.0,10.9,5.9,17.0,38.0,24.0,17.0,5.0,28.0,13.0,59.0,28.0,93.0,65.0,9.0,29.0,75.0,34.0,49.0,29.0,24.0,13.0,38.0,16.0,34.0,4.0,9.0,7.0,1.0,0.0,0.0,5.0,46.0,52.0,-2.0,47.0,30.0,22.0,12.0,6,15,61,-1,-1,-1,-1,-1,KS,-1,-1,allen ks,91.0,9.0,91.0,0,0
9,1,All HUD,-1,anderson County,20003,-1,-1,75.0,-1.0,7.0,15.0,1.1,80.0,234.0,248.0,11.5,10.8,0.0,44.0,40.0,15.0,1.0,3.0,1.0,96.0,32.0,95.0,51.0,0.0,1.0,84.0,1.0,63.0,15.0,24.0,3.0,1.0,17.0,79.0,21.0,5.0,1.0,0.0,1.0,3.0,18.0,59.0,17.0,2.0,87.0,12.0,1.0,11.0,3,12,72,-1,-1,-1,-1,-1,KS,-1,-1,anderson ks,95.0,5.0,95.0,0,0
9,1,All HUD,-1,Atchison County,20005,-1,-1,338.0,-1.0,6.0,30.0,1.6,556.0,212.0,345.0,11.7,7.2,21.0,33.0,22.0,14.0,9.0,24.0,9.0,60.0,29.0,88.0,62.0,6.0,21.0,74.0,24.0,41.0,15.0,21.0,16.0,31.0,18.0,35.0,6.0,18.0,17.0,0.0,0.0,1.0,8.0,51.0,56.0,42.0,60.0,26.0,14.0,8.0,12,17,57,-1,-1,-1,-1,-1,KS,-1,-1,atchison ks,82.0,18.0,82.0,0,0
9,1,All HUD,-1,Barber County,20007,-1,-1,53.0,-1.0,6.0,34.0,1.2,66.0,256.0,323.0,18.8,15.0,6.0,23.0,23.0,23.0,26.0,17.0,0.0,81.0,50.0,66.0,28.0,2.0,6.0,75.0,8.0,55.0,0.0,17.0,0.0,26.0,11.0,62.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,8.0,0.0,81.0,9.0,9.0,9.0,2,8,64,-1,-1,-1,-1,-1,KS,-1,-1,barber ks,100.0,0.0,100.0,0,0
9,1,All HUD,-1,Barton County,20009,-1,-1,326.0,-1.0,6.0,31.0,1.4,460.0,249.0,313.0,11.5,8.1,6.0,40.0,33.0,15.0,6.0,13.0,4.0,82.0,31.0,92.0,53.0,1.0,18.0,70.0,19.0,62.0,34.0,36.0,10.0,29.0,17.0,45.0,10.0,3.0,2.0,0.0,0.0,1.0,2.0,46.0,64.0,75.0,75.0,17.0,9.0,4.0,15,16,60,-1,-1,-1,-1,-1,KS,-1,-1,barton ks,97.0,3.0,97.0,0,0
9,1,All HUD,-1,Bourbon County,20011,-1,-1,298.0,-1.0,5.0,36.0,1.8,549.0,218.0,322.0,11.4,6.2,17.0,36.0,21.0,16.0,10.0,27.0,10.0,60.0,32.0,91.0,61.0,9.0,27.0,76.0,31.0,34.0,13.0,16.0,13.0,39.0,13.0,35.0,6.0,6.0,4.0,0.0,0.0,1.0,10.0,40.0,77.0,91.0,50.0,29.0,22.0,11.0,9,16,61,-1,-1,-1,-1,-1,KS,-1,-1,bourbon ks,94.0,6.0,94.0,0,0
9,1,All HUD,-1,Brown County,20013,-1,-1,190.0,-1.0,8.0,26.0,1.5,283.0,228.0,264.0,11.8,8.0,12.0,34.0,29.0,15.0,10.0,12.0,6.0,81.0,32.0,89.0,51.0,5.0,13.0,76.0,15.0,49.0,10.0,18.0,8.0,21.0,8.0,62.0,18.0,9.0,2.0,5.0,1.0,1.0,8.0,49.0,46.0,0.0,68.0,23.0,9.0,8.0,11,13,66,-1,-1,-1,-1,-1,KS,-1,-1,brown ks,91.0,9.0,91.0,0,0
9,1,All HUD,-1,Butler County,20015,-1,-1,504.0,-1.0,5.0,16.0,1.6,796.0,239.0,336.0,11.5,7.4,11.0,37.0,31.0,15.0,7.0,15.0,5.0,78.0,25.0,97.0,69.0,4.0,20.0,77.0,23.0,46.0,9.0,18.0,9.0,28.0,13.0,50.0,12.0,4.0,2.0,0.0,0.0,2.0,4.0,54.0,55.0,30.0,67.0,20.0,13.0,6.0,6,12,57,-1,-1,-1,-1,-1,KS,-1,-1,butler ks,96.0,4.0,96.0,0,0
9,1,All HUD,-1,Chase County,20017,-1,-1,19.0,-1.0,6.0,21.0,1.2,22.0,251.0,271.0,12.9,11.1,0.0,42.0,32.0,11.0,16.0,11.0,0.0,89.0,36.0,84.0,42.0,0.0,5.0,58.0,5.0,60.0,0.0,14.0,5.0,16.0,5.0,74.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,76.0,79.0,-2.0,63.0,21.0,16.0,32.0,4,9,65,-1,-1,-1,-1,-1,KS,-1,-1,chase ks,100.0,0.0,100.0,0,0
9,1,All HUD,-1,Chautauqua County,20019,-1,-1,27.0,-1.0,8.0,33.0,1.3,36.0,232.0,263.0,9.7,7.7,11.0,44.0,41.0,4.0,0.0,4.0,7.0,85.0,26.0,100.0,67.0,4.0,19.0,89.0,19.0,54.0,21.0,28.0,7.0,30.0,11.0,52.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,53.0,100.0,50.0,56.0,41.0,4.0,26.0,7,12,70,-1,-1,-1,-1,-1,KS,-1,-1,chautauqua ks,100.0,0.0,100.0,0,0
