gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,KS Kansas,KS Allen County 20001,9,Summary of All HUD Programs,1,A,Allen County,20001,236.0,96,226,99,5.7296008099943,15,1.79030948503691,396.506805360761,213.456520149076,295.652034292619,10629.7455070914,5937.37875821638,16,37,28,14,5,23,15,61,26,95,67,6,30,73,33,50,34,26,10,42,19,29,4,8,5,2,0,1,2.57177717129555,49.8808084646713,49,69.3419966612253,49,29,21,14,17,7,65,A,A,A,-1,-1,KS,-1,A,allen ks,92,8,92,0,0
County,KS Kansas,KS Anderson County 20003,9,Summary of All HUD Programs,1,A,anderson County,20003,82.0,76,59,78,7.24996112169115,8,1.04966248940147,81.0052483727304,245.438220067742,241.520648830055,11434.3842824737,10893.3913500079,0,39,45,14,2,3,0,97,31,95,50,0,0,82,0,53,13,19,0,0,18,82,26,4,1,0,1,2,-1.0,63.0816292725225,8,181.0,90,10,0,7,11,3,72,A,A,A,-1,-1,KS,-1,A,anderson ks,96,4,96,0,0
County,KS Kansas,KS Atchison County 20005,9,Summary of All HUD Programs,1,A,Atchison County,20005,361.0,93,342,99,6.09581042651232,19,1.70961097943306,594.358766348534,209.720926403882,340.709612698987,10849.0031398365,6302.57184146132,23,33,20,15,9,18,16,66,27,90,64,4,24,72,24,36,21,19,16,34,17,33,5,19,18,0,0,1,11.8269824371234,50.8075096515749,58,74.3916544039477,59,26,15,8,16,13,60,A,A,A,-1,-1,KS,-1,A,atchison ks,81,19,81,0,0
County,KS Kansas,KS Barber County 20007,9,Summary of All HUD Programs,1,A,Barber County,20007,70.0,68,50,93,6.4590596286947,17,1.21843201897969,64.5634693877552,257.168834361656,313.008550102832,13250.21402602,10874.8078018466,2,26,33,36,4,12,0,88,35,91,33,2,7,71,9,71,9,33,2,28,17,53,19,2,0,0,0,2,2.1,41.0451035897594,11,98.3934905069894,80,15,5,7,8,2,64,A,A,A,-1,-1,KS,-1,A,barber ks,98,2,98,0,0
County,KS Kansas,KS Barton County 20009,9,Summary of All HUD Programs,1,A,Barton County,20009,405.0,89,328,96,6.48561874037517,25,1.45945019596101,508.844824688769,215.849666550828,353.200020360818,10203.2778108877,6983.23230375882,16,37,32,10,5,12,5,83,26,95,63,1,20,75,19,55,40,35,9,34,19,38,8,5,2,0,0,4,2.62501308369778,45.5879215210653,67,103.28108790994,76,17,8,3,15,14,61,A,A,A,-1,-1,KS,-1,A,barton ks,95,5,95,0,0
County,KS Kansas,KS Bourbon County 20011,9,Summary of All HUD Programs,1,A,Bourbon County,20011,306.0,91,279,97,4.87695666049187,23,1.80092685165308,515.282582815736,224.896520789264,314.14711786854,11357.0621418019,6295.72601346386,17,31,28,14,10,23,12,63,28,91,61,9,25,71,27,34,17,18,15,39,13,32,7,9,7,0,0,1,5.05073469267319,41.463552773952,79,86.4729878204934,51,29,20,13,14,9,66,A,A,A,-1,-1,KS,-1,A,bourbon ks,91,9,91,0,0
County,KS Kansas,KS Brown County 20013,9,Summary of All HUD Programs,1,A,Brown County,20013,202.0,89,183,94,7.42704390773915,14,1.48933797014545,271.960519139446,248.607452921639,249.869876532603,13256.448946034,8922.93490434859,5,27,35,19,14,8,3,88,34,87,45,2,14,73,14,53,8,19,4,18,11,66,18,5,2,3,0,0,10.1701872602463,55.7474044624306,39,105.4599928815,69,22,9,9,13,11,65,A,A,A,-1,-1,KS,-1,A,brown ks,95,5,95,0,0
County,KS Kansas,KS Butler County 20015,9,Summary of All HUD Programs,1,A,Butler County,20015,536.0,93,496,96,6.20409872108253,15,1.51128808396276,792.894545454544,240.327638776714,362.361820819115,11455.8148675315,7548.48599645641,13,31,31,18,7,16,3,81,24,97,69,6,20,75,23,39,10,16,10,25,14,51,12,5,1,1,0,3,6.52930489731438,52.2692507201788,54,88.2106482660284,68,20,12,6,12,6,58,A,A,A,-1,-1,KS,-1,A,butler ks,95,5,95,0,0
County,KS Kansas,KS Chase County 20017,9,Summary of All HUD Programs,1,A,Chase County,20017,22.0,98,22,100,6.84940596278861,14,1.50201748486886,33.0888888888889,278.598856758574,229.654673839946,15585.3338937458,10737.5208193418,0,23,45,14,18,18,0,82,39,73,41,0,14,64,14,29,0,6,0,27,5,68,9,0,0,0,0,0,16.5596232596233,80.0072181125308,91,92.0029585798817,59,18,23,18,9,4,65,A,A,A,-1,-1,KS,-1,A,chase ks,100,0,100,0,0
County,KS Kansas,KS Chautauqua County 20019,9,Summary of All HUD Programs,1,A,Chautauqua County,20019,38.0,76,28,87,7.29855072463769,7,1.37217391304348,44.1398601398601,242.669565217391,258.067826086957,10186.1443478261,7423.36248415716,6,51,40,0,3,3,3,94,26,100,66,0,12,82,12,68,14,25,0,12,25,63,12,0,0,0,0,0,20.5,61.8431884057971,100,123.648695652174,67,30,3,21,12,7,70,A,A,A,-1,-1,KS,-1,A,chautauqua ks,100,0,100,0,0
