sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adair County,21001,-1,-1,224,-1,5,26,1.9,425,180,305,7.7,4.1,29,49,15,4,3,18,8,69,21,89,70,8,27,74,31,44,61,26,21,40,14,24,0,8,7,0,1,0,11,42,78,44,38,35,27,22,7,23,60,-1,-1,-1,-1,-1,KY,-1,-1,92,8,92,0,0
9,1,All HUD,-1,Allen County,21003,-1,-1,237,-1,7,39,2.0,478,185,324,9.1,4.5,26,44,16,10,4,20,1,72,20,80,61,14,27,70,32,37,39,21,15,44,16,25,3,6,5,0,0,0,2,38,78,58,35,41,24,16,3,17,59,-1,-1,-1,-1,-1,KY,-1,-1,94,6,94,0,0
9,1,All HUD,-1,anderson County,21005,-1,-1,110,-1,3,15,2.3,257,241,353,9.4,4.1,20,47,21,8,4,29,12,55,17,90,78,15,43,86,54,35,64,21,6,53,18,23,3,9,8,0,0,1,11,61,99,51,13,63,24,24,4,7,71,-1,-1,-1,-1,-1,KY,-1,-1,91,9,91,0,0
9,1,All HUD,-1,Ballard County,21007,-1,-1,44,-1,6,43,2.3,101,147,305,6.9,3.1,43,36,16,2,2,27,9,59,15,95,89,18,36,73,43,31,50,15,16,66,14,5,2,9,9,0,0,0,-2,21,100,44,39,36,25,2,0,0,1,-1,-1,-1,-1,-1,KY,-1,-1,91,9,91,0,0
9,1,All HUD,-1,Barren County,21009,-1,-1,795,-1,5,31,1.9,1481,206,281,9.3,5.0,17,53,20,6,5,18,12,69,25,86,62,9,28,75,32,47,63,32,8,42,17,33,4,16,16,0,0,0,4,54,61,54,38,37,25,22,11,19,52,-1,-1,-1,-1,-1,KY,-1,-1,84,16,84,0,0
9,1,All HUD,-1,Bath County,21011,-1,-1,156,-1,6,29,2.1,320,178,375,8.6,4.2,28,42,15,11,3,24,4,69,24,87,63,13,35,70,40,37,49,23,16,43,17,24,1,6,6,0,0,1,13,42,69,48,41,37,22,9,4,23,51,-1,-1,-1,-1,-1,KY,-1,-1,94,6,94,0,0
9,1,All HUD,-1,Bell County,21013,-1,-1,1419,-1,6,31,2.1,2944,184,288,8.0,3.9,24,52,17,4,3,21,13,65,23,89,70,15,29,74,37,40,64,26,15,48,17,20,1,5,5,0,0,0,9,59,81,42,26,40,34,24,5,26,40,-1,-1,-1,-1,-1,KY,-1,-1,95,5,95,0,0
9,1,All HUD,-1,Boone County,21015,-1,-1,1282,-1,5,30,1.9,2475,265,423,12.0,6.2,12,33,29,14,11,25,10,64,23,98,75,7,35,83,39,36,21,17,11,41,13,35,5,6,5,0,0,1,5,46,77,16,50,28,22,7,8,9,51,-1,-1,-1,-1,-1,KY,-1,-1,94,6,94,0,0
9,1,All HUD,-1,Bourbon County,21017,-1,-1,708,-1,7,20,2.1,1465,237,353,10.2,4.9,19,40,25,7,9,30,5,65,21,97,81,12,32,81,40,30,30,17,12,44,16,28,3,20,19,0,0,1,6,59,78,62,30,43,27,21,13,16,53,-1,-1,-1,-1,-1,KY,-1,-1,80,20,80,0,0
9,1,All HUD,-1,Boyd County,21019,-1,-1,1555,-1,5,25,2.0,3059,193,359,8.7,4.4,24,46,20,7,2,22,10,63,23,96,75,13,27,75,33,40,39,23,13,48,16,23,2,4,3,0,0,1,12,49,53,27,41,32,26,16,6,24,49,-1,-1,-1,-1,-1,KY,-1,-1,96,4,96,0,0
9,1,All HUD,-1,Boyle County,21021,-1,-1,699,-1,5,29,2.0,1372,209,272,10.6,5.4,21,45,18,7,9,23,6,63,23,88,71,9,32,81,37,37,31,21,9,45,16,30,4,28,26,0,0,2,6,59,47,34,36,39,25,18,14,13,52,-1,-1,-1,-1,-1,KY,-1,-1,72,28,72,0,0
9,1,All HUD,-1,Bracken County,21023,-1,-1,94,-1,6,21,2.1,193,164,417,7.1,3.4,36,40,18,4,1,17,3,80,13,95,87,15,29,84,38,28,16,13,13,47,14,27,2,1,1,0,0,0,-2,40,99,41,38,40,21,10,2,11,54,-1,-1,-1,-1,-1,KY,-1,-1,99,1,99,0,0
9,1,All HUD,-1,Breathitt County,21025,-1,-1,178,-1,6,25,1.8,319,196,342,8.6,4.9,15,60,19,4,2,9,6,83,25,85,61,12,19,70,26,54,41,30,7,35,16,43,4,1,0,0,0,1,3,50,32,1,53,29,18,10,1,35,46,-1,-1,-1,-1,-1,KY,-1,-1,99,1,99,0,0
9,1,All HUD,-1,Breckinridge County,21027,-1,-1,227,-1,6,47,1.8,416,218,302,9.4,5.1,13,59,18,7,3,15,6,76,22,82,63,12,19,73,26,52,48,30,9,34,21,35,2,6,6,0,0,0,27,28,68,29,45,32,23,21,5,16,59,-1,-1,-1,-1,-1,KY,-1,-1,94,6,94,0,0
9,1,All HUD,-1,Bullitt County,21029,-1,-1,455,-1,5,18,2.3,1069,245,412,9.7,4.1,20,43,22,9,6,20,11,67,20,99,82,14,40,86,51,41,64,23,11,53,14,22,2,2,1,0,0,0,31,49,91,83,21,42,38,20,2,9,59,-1,-1,-1,-1,-1,KY,-1,-1,98,2,98,0,0
