gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,KY Kentucky,KY Adair County 21001,9,Summary of All HUD Programs,1,A,Adair County,21001,277.0,90,253,98,6.63868993739874,17,1.84121893259727,394.271533965699,179.142678838215,383.471618688476,7387.11653405307,3992.13733507946,30,51,13,5,1,12,12,76,22,96,80,5,32,76,32,35,59,24,15,44,14,27,1,7,6,0,0,1,14.9203082851638,54.9672383004638,76,95.5272647463896,34,40,26,25,24,7,60,A,A,A,-1,-1,KY,-1,A,adair ky,93,7,93,0,0
County,KY Kentucky,KY Allen County 21003,9,Summary of All HUD Programs,1,A,Allen County,21003,249.0,97,246,100,6.886027272963,26,2.04410767585881,512.509146551131,180.110014400649,425.153458256413,8754.15246907574,4266.15131691548,31,37,16,10,6,15,2,82,24,94,70,8,37,76,39,29,26,15,13,42,22,23,2,5,4,0,0,1,6.72238917909882,43.4209430288489,78,86.7290026392363,39,35,26,11,17,3,60,A,A,A,-1,-1,KY,-1,A,allen ky,95,5,95,0,0
County,KY Kentucky,KY Anderson County 21005,9,Summary of All HUD Programs,1,A,anderson County,21005,144.0,85,124,100,5.97505445914083,10,2.50391926262876,306.893783096073,228.996285848015,564.799189661701,9166.87112106623,3661.0090660201,27,36,21,8,8,14,24,59,17,100,87,7,50,86,54,34,79,19,3,55,19,22,3,10,9,0,0,2,26.4777777777778,68.0009234441108,98,190.05176473226,8,58,34,26,7,5,71,A,A,A,-1,-1,KY,-1,A,anderson ky,90,10,90,0,0
County,KY Kentucky,KY Ballard County 21007,9,Summary of All HUD Programs,1,A,Ballard County,21007,52.0,91,50,98,6.29858077663523,22,1.91866151587678,99.7201915995117,154.829928486482,371.387662392802,6830.27223694511,3559.91517025026,43,33,20,4,0,22,6,72,17,100,84,10,41,82,43,29,29,17,18,47,22,14,2,15,13,2,0,0,13.8666666666667,29.9805372499332,98,74.2465464860845,49,33,18,8,15,5,60,A,A,A,-1,-1,KY,-1,A,ballard ky,85,15,85,0,0
County,KY Kentucky,KY Barren County 21009,9,Summary of All HUD Programs,1,A,Barren County,21009,853.0,97,837,99,5.0009272242242,16,2.00511120594408,1677.9785102291,226.523066805894,316.844771753148,10081.8906464266,5028.64008009387,19,41,22,12,5,18,14,66,26,96,67,6,35,75,35,39,75,28,10,42,16,32,3,16,15,0,0,1,3.31296266561502,56.7330729748557,60,85.1858774415678,36,38,26,19,19,11,53,A,A,A,-1,-1,KY,-1,A,barren ky,84,16,84,0,0
County,KY Kentucky,KY Bath County 21011,9,Summary of All HUD Programs,1,A,Bath County,21011,190.0,88,174,98,6.38610171805289,17,2.00285772790876,343.391341723403,173.892447300296,454.01409346182,8286.8587513881,4109.85860417461,33,39,19,6,3,15,7,78,25,95,74,9,33,68,36,35,52,22,17,37,17,28,1,9,8,1,0,1,12.8799166893996,39.6894336281044,74,83.0359899646086,44,36,19,4,25,5,51,A,A,A,-1,-1,KY,-1,A,bath ky,91,9,91,0,0
County,KY Kentucky,KY Bell County 21013,9,Summary of All HUD Programs,1,A,Bell County,21013,1537.0,97,1464,99,6.34659153645598,16,2.10348897889591,3128.6588787786,201.174256711892,349.149482944058,9026.06977092801,4279.18812590898,24,45,18,9,4,18,11,69,26,93,70,12,32,74,36,41,74,27,10,50,19,20,1,4,4,0,0,0,6.72104195216534,62.9540291930495,79,93.5733379504672,25,40,35,24,31,5,44,A,A,A,-1,-1,KY,-1,A,bell ky,96,4,96,0,0
County,KY Kentucky,KY Boone County 21015,9,Summary of All HUD Programs,1,A,Boone County,21015,1405.0,94,1355,99,5.37806846526689,19,2.11534944284459,2827.43911844564,274.60437664739,478.30706992633,12092.1564139764,5712.99717603074,13,30,28,17,12,23,14,60,21,99,78,4,41,83,41,29,28,14,8,48,12,33,3,10,7,0,0,3,22.755416454126,51.2344730262137,74,90.4965732774068,48,25,28,7,9,9,50,A,A,A,-1,-1,KY,-1,A,boone ky,90,10,90,0,0
County,KY Kentucky,KY Bourbon County 21017,9,Summary of All HUD Programs,1,A,Bourbon County,21017,784.0,88,691,99,5.90993389414165,14,2.12054834586993,1482.24444444444,229.928596552939,426.480184254501,10326.5788342564,4853.05837393743,24,34,21,12,9,23,16,58,20,98,81,6,42,81,43,27,41,17,11,47,17,25,2,20,18,0,0,1,11.7060932394496,63.7643130098622,78,99.9299854475102,26,43,31,22,16,13,55,A,A,A,-1,-1,KY,-1,A,bourbon ky,80,20,80,0,0
County,KY Kentucky,KY Boyd County 21019,9,Summary of All HUD Programs,1,A,Boyd County,21019,1867.0,90,1621,100,6.57198164901052,18,1.86460153208394,3052.42435619936,205.073721719048,418.35744119028,8923.83279871495,4775.5393499713,27,38,21,10,4,18,11,70,24,95,72,7,30,73,32,43,42,26,11,46,20,23,2,6,4,0,0,1,6.72273570803155,51.8196335360718,47,116.78626987083,45,30,25,15,24,7,49,A,A,A,-1,-1,KY,-1,A,boyd ky,94,6,94,0,0
