State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
KY,Adair County,14350,16400,18450,20500,22150,23800,25400,27050,8600,9850,11050,12300,13300,14250,15250,16250,22950,26250,29500,32800,35400,38050,40650,43300
KY,Allen County,15700,17900,20150,22400,24200,26000,27800,29550,9400,10750,12100,13450,14550,15600,16700,17750,25100,28700,32250,35850,38700,41600,44450,47300
KY,Anderson County,22100,25300,28450,31600,34150,36650,39200,41700,13250,15150,17050,18950,20450,22000,23500,25000,35400,40450,45500,50550,54600,58650,62700,66750
KY,Ballard County,18150,20700,23300,25900,27950,30050,32100,34200,10900,12450,14000,15550,16800,18050,19300,20550,29000,33150,37300,41450,44750,48100,51400,54700
KY,Barren County,16050,18300,20600,22900,24750,26550,28400,30250,9650,11000,12400,13750,14850,15950,17050,18150,25650,29300,33000,36650,39600,42500,45450,48400
KY,Bath County,14350,16400,18450,20500,22150,23800,25400,27050,8600,9850,11050,12300,13300,14250,15250,16250,22950,26250,29500,32800,35400,38050,40650,43300
KY,Bell County,14350,16400,18450,20500,22150,23800,25400,27050,8600,9850,11050,12300,13300,14250,15250,16250,22950,26250,29500,32800,35400,38050,40650,43300
KY,Boone County,23150,26500,29800,33100,35750,38400,41050,43700,13900,15900,17850,19850,21450,23050,24600,26200,37050,42350,47650,52950,57200,61400,65650,69900
KY,Bourbon County,22250,25400,28600,31750,34300,36850,39350,41900,13350,15250,17150,19050,20550,22100,23600,25150,35550,40650,45700,50800,54850,58950,63000,67050
KY,Boyd County,16450,18800,21150,23500,25400,27250,29150,31000,9850,11300,12700,14100,15250,16350,17500,18600,26300,30100,33850,37600,40600,43600,46600,49650
KY,Boyle County,18500,21150,23800,26450,28550,30700,32800,34900,11100,12700,14250,15850,17100,18400,19650,20900,29600,33850,38050,42300,45700,49050,52450,55850
KY,Bracken County,23150,26500,29800,33100,35750,38400,41050,43700,13900,15900,17850,19850,21450,23050,24600,26200,37050,42350,47650,52950,57200,61400,65650,69900
KY,Breathitt County,14350,16400,18450,20500,22150,23800,25400,27050,8600,9850,11050,12300,13300,14250,15250,16250,22950,26250,29500,32800,35400,38050,40650,43300
KY,Breckinridge County,16250,18550,20900,23200,25050,26900,28750,30600,9750,11100,12500,13900,15000,16100,17250,18350,25950,29700,33400,37100,40050,43050,46000,48950
KY,Bullitt County,20800,23750,26750,29700,32100,34450,36850,39200,12450,14250,16000,17800,19200,20650,22050,23500,33250,38000,42750,47500,51300,55100,58900,62700
KY,Butler County,15350,17500,19700,21900,23650,25400,27150,28900,9200,10500,11850,13150,14200,15250,16300,17350,24550,28050,31550,35050,37850,40650,43450,46250
KY,Caldwell County,15700,17900,20150,22400,24200,26000,27800,29550,9400,10750,12100,13450,14550,15600,16700,17750,25100,28700,32250,35850,38700,41600,44450,47300
KY,Calloway County,17400,19900,22350,24850,26850,28850,30800,32800,10450,11900,13400,14900,16100,17300,18500,19650,27850,31800,35800,39750,42950,46100,49300,52450
KY,Campbell County,23150,26500,29800,33100,35750,38400,41050,43700,13900,15900,17850,19850,21450,23050,24600,26200,37050,42350,47650,52950,57200,61400,65650,69900
KY,Carlisle County,14600,16700,18750,20850,22500,24200,25850,27500,8750,10000,11250,12500,13500,14500,15500,16500,23350,26700,30000,33350,36000,38700,41350,44000
KY,Carroll County,19200,21950,24700,27450,29650,31850,34050,36250,11500,13150,14800,16450,17750,19100,20400,21700,30750,35100,39500,43900,47400,50900,54450,57950
KY,Carter County,15600,17850,20050,22300,24100,25850,27650,29450,9400,10700,12050,13400,14450,15550,16600,17700,25000,28550,32150,35700,38550,41400,44250,47100
KY,Casey County,14350,16400,18450,20500,22150,23800,25400,27050,8600,9850,11050,12300,13300,14250,15250,16250,22950,26250,29500,32800,35400,38050,40650,43300
KY,Christian County,17950,20500,23100,25650,27700,29750,31800,33850,10800,12300,13850,15400,16650,17850,19100,20350,28750,32850,36950,41050,44350,47600,50900,54200
KY,Clark County,22250,25400,28600,31750,34300,36850,39350,41900,13350,15250,17150,19050,20550,22100,23600,25150,35550,40650,45700,50800,54850,58950,63000,67050
KY,Clay County,14350,16400,18450,20500,22150,23800,25400,27050,8600,9850,11050,12300,13300,14250,15250,16250,22950,26250,29500,32800,35400,38050,40650,43300
KY,Clinton County,14350,16400,18450,20500,22150,23800,25400,27050,8600,9850,11050,12300,13300,14250,15250,16250,22950,26250,29500,32800,35400,38050,40650,43300
KY,Crittenden County,15700,17950,20200,22450,24250,26050,27850,29650,9450,10800,12100,13450,14550,15650,16700,17800,25150,28750,32350,35900,38800,41650,44550,47400
