gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,LA Louisiana,LA Acadia Parish 22001,9,Summary of All HUD Programs,1,A,Acadia Parish County,22001,1851.0,90,1519,96,5.99945414867018,17,2.26347618838323,3568.69285157763,233.033222302422,378.735133936438,11945.8179913662,5281.8440088695,13,41,21,13,12,36,1,63,32,87,58,3,45,81,45,27,46,16,9,48,17,26,2,67,66,0,0,1,10.9380853939874,66.476926035551,82,93.277591816105,31,34,35,17,30,35,54,A,A,A,-1,-1,LA,-1,A,acadia parish la,33,67,33,0,0
County,LA Louisiana,LA Allen Parish 22003,9,Summary of All HUD Programs,1,A,Allen Parish County,22003,510.0,80,383,92,5.82691345983146,15,2.05697666479307,845.417409229951,240.026465314634,317.680689133213,11280.7777874316,5484.1544780317,3,60,20,8,8,34,3,62,30,90,69,3,41,80,40,35,62,20,10,47,24,19,0,53,52,0,1,1,4.82720761864826,49.7871555616824,96,115.698139606974,25,43,32,30,22,40,58,A,A,A,-1,-1,LA,-1,A,allen parish la,47,53,47,0,0
County,LA Louisiana,LA Ascension Parish 22005,9,Summary of All HUD Programs,1,A,Ascension Parish County,22005,520.0,88,468,97,5.65941315567247,13,2.47154777336455,1158.85458493444,232.163723210323,465.01219257934,11686.7995620603,4728.53476190385,17,40,17,12,14,33,1,66,23,95,78,1,58,90,57,26,45,14,12,56,17,15,1,93,91,1,0,1,21.4019185632451,74.7075469632811,86,105.189647540277,20,32,48,22,26,58,54,A,A,A,-1,-1,LA,-1,A,ascension parish la,7,93,7,0,0
County,LA Louisiana,LA Assumption Parish 22007,9,Summary of All HUD Programs,1,A,Assumption Parish County,22007,111.0,71,82,100,5.47904748335793,12,3.00640492918341,236.406404438647,280.445622936254,475.32659433078,10642.4839424683,3539.93696562989,21,36,23,12,7,27,16,54,24,94,74,1,61,94,62,25,86,15,1,64,18,17,1,95,95,0,0,0,31.7212348380894,79.0625238124944,97,153.873538395044,11,44,45,18,26,45,57,A,A,A,-1,-1,LA,-1,A,assumption parish la,5,95,5,0,0
County,LA Louisiana,LA Avoyelles Parish 22009,9,Summary of All HUD Programs,1,A,Avoyelles Parish County,22009,667.0,90,596,97,5.2812563070469,17,2.32372090132091,1408.01732580038,240.628074115666,371.959739674313,12819.4394264633,5520.44976641701,10,39,19,19,14,37,4,58,34,85,54,4,50,83,50,32,54,19,12,49,19,19,1,75,75,0,0,1,13.542848447961,57.5040427453063,76,95.4903577806522,25,33,42,23,29,41,62,A,A,A,-1,-1,LA,-1,A,avoyelles parish la,25,75,25,0,0
County,LA Louisiana,LA Beauregard Parish 22011,9,Summary of All HUD Programs,1,A,Beauregard Parish County,22011,280.0,96,269,99,5.69495384006441,21,2.2585455159396,605.451522951523,197.530175259192,374.789307146754,11790.9602824247,5220.59892050457,16,38,20,12,15,38,4,57,27,90,68,4,44,76,44,24,57,17,11,54,15,20,1,52,51,0,0,1,7.59446213729653,49.8272832651463,86,71.6502854534268,37,31,33,9,20,31,58,A,A,A,-1,-1,LA,-1,A,beauregard parish la,48,52,48,0,0
County,LA Louisiana,LA Bienville Parish 22013,9,Summary of All HUD Programs,1,A,Bienville Parish County,22013,252.0,86,229,99,7.11097329150155,16,2.36924754297721,512.890587673196,244.26432113779,341.15555235489,11848.7360253725,4953.59552180758,9,43,20,17,10,32,8,58,32,88,59,3,49,83,50,32,47,18,5,57,15,24,3,92,91,0,0,0,12.8716577540107,73.5710574890731,92,104.436144578313,38,34,28,14,29,59,57,A,A,A,-1,-1,LA,-1,A,bienville parish la,8,92,8,0,0
County,LA Louisiana,LA Bossier Parish 22015,9,Summary of All HUD Programs,1,A,Bossier Parish County,22015,1685.0,90,1474,99,5.25924924616041,15,2.1588102674884,3035.88940675077,236.272633877643,463.751639781908,10038.3657232794,4642.9296516989,19,39,23,13,6,26,7,65,23,96,72,2,45,83,45,30,38,18,8,50,16,27,3,72,71,0,0,1,25.4358653171506,69.8191424223177,98,84.1228614540119,36,33,30,17,27,44,41,A,A,A,-1,-1,LA,-1,A,bossier parish la,28,72,28,0,0
County,LA Louisiana,LA Caddo Parish 22017,9,Summary of All HUD Programs,1,A,Caddo Parish County,22017,7179.0,76,5258,99,6.30733220744695,12,2.37273169921706,12598.0874247116,238.546980523628,452.376773579821,10738.9694082278,4522.3118679332,15,44,20,13,8,27,6,64,24,96,74,2,50,82,51,30,39,17,7,53,18,22,2,91,91,0,0,1,32.6703419943949,74.6811841347708,82,102.493649075511,31,32,37,16,35,74,48,A,A,A,-1,-1,LA,-1,A,caddo parish la,9,91,9,0,0
County,LA Louisiana,LA Calcasieu Parish 22019,9,Summary of All HUD Programs,1,A,Calcasieu Parish County,22019,5245.0,86,4234,97,5.66999672630937,14,2.36889750823307,10290.8172502525,253.791681420857,450.947952251685,12223.9890341749,5154.20469244176,6,44,24,15,10,37,4,58,26,95,73,3,51,83,51,30,51,18,10,54,17,19,1,75,74,0,0,1,12.9939669624981,49.296670857712,93,105.916661669183,29,37,35,11,26,53,46,A,A,A,-1,-1,LA,-1,A,calcasieu parish la,25,75,25,0,0
