Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2018-12-31 00:00:00,County,LA Louisiana,LA Acadia Parish 22001,9,Summary of All HUD Programs,1,,Acadia Parish County,22001,1612,91,1439,98,6,19,2.2,3097,265,426,12642,5874,12,39,24,13,12,33,1,67,32,89,60,2,40,81,40,26,52,18,9,42,20,29,1,66,64,0,0,34,0,0,0,1,1,16,81,91,84,32,35,33,25,31,35,76,,,,,,LA,,,acadia parish la,66,34,0,0
2018-12-31 00:00:00,County,LA Louisiana,LA Acadia Parish 22001,9,Public Housing,2,,Acadia Parish County,22001,676,95,639,100,6,19,2.0,1295,287,440,15512,7654,9,33,20,16,22,39,1,60,39,78,49,1,35,77,34,29,54,20,7,39,23,31,1,67,67,0,0,33,0,0,-1,0,2,4,95,79,36,37,34,30,21,31,41,77,,,,,,LA,,,acadia parish la,67,33,0,0
2018-12-31 00:00:00,County,LA Louisiana,LA Acadia Parish 22001,9,Housing Choice Vouchers,3,,Acadia Parish County,22001,566,92,500,96,5,21,2.5,1271,280,332,11388,4480,5,46,29,14,5,35,1,65,28,97,64,3,51,88,52,24,64,16,9,51,17,23,1,69,67,0,0,31,1,1,-1,1,0,26,69,99,119,21,41,39,28,31,35,76,,,,,,LA,,,acadia parish la,69,31,0,0
2018-12-31 00:00:00,County,LA Louisiana,LA Acadia Parish 22001,9,Project Based Section 8,5,,Acadia Parish County,22001,245,83,197,97,7,12,2.2,425,163,608,7429,3443,42,34,15,6,4,22,1,78,19,96,82,2,53,90,52,12,50,9,18,48,17,17,2,73,71,1,1,27,-1,1,1,1,1,-1,80,100,135,8,44,48,44,38,25,78,,,,,,LA,,,acadia parish la,73,27,0,0
2018-12-31 00:00:00,County,LA Louisiana,LA Acadia Parish 22001,9,202/PRAC,8,,Acadia Parish County,22001,85,72,62,100,6,18,1.0,64,267,556,11431,11073,-1,47,40,11,2,-1,-1,100,33,97,47,-1,-1,65,-1,-1,11,11,-1,-1,-1,100,3,15,15,-1,-1,85,-1,-1,-1,0,0,-1,51,100,55,100,-1,-1,-1,22,15,66,,,,,,LA,,,acadia parish la,15,85,0,0
2018-12-31 00:00:00,County,LA Louisiana,LA Acadia Parish 22001,9,811/PRAC,9,,Acadia Parish County,22001,40,97,41,100,7,22,1.0,42,233,293,10074,9834,-1,66,29,5,-1,2,-1,98,29,100,71,-1,-1,39,-1,100,100,98,2,20,41,37,2,41,41,-1,-1,59,-1,-1,-1,0,0,-1,67,100,60,100,-1,-1,-1,16,21,57,,,,,,LA,,,acadia parish la,41,59,0,0
2018-12-31 00:00:00,County,LA Louisiana,LA Allen Parish 22003,9,Summary of All HUD Programs,1,,Allen Parish County,22003,530,74,381,98,6,24,2.0,780,265,384,12497,6104,3,48,28,10,12,39,0,60,29,92,66,1,38,77,37,34,69,22,6,45,26,23,1,56,54,1,1,44,-1,1,-1,1,1,9,65,100,102,25,37,37,34,23,38,71,,,,,,LA,,,allen parish la,56,44,0,0
2018-12-31 00:00:00,County,LA Louisiana,LA Allen Parish 22003,9,Public Housing,2,,Allen Parish County,22003,224,96,214,100,5,23,1.9,401,263,409,13131,7008,1,50,28,8,14,44,-1,56,31,89,65,1,33,71,31,31,68,23,7,43,26,25,1,61,59,-1,1,39,-1,1,-1,1,1,3,67,100,81,29,33,38,37,24,38,71,,,,,,LA,,,allen parish la,61,39,0,0
2018-12-31 00:00:00,County,LA Louisiana,LA Allen Parish 22003,9,Housing Choice Vouchers,3,,Allen Parish County,22003,291,56,156,96,6,26,2.4,368,275,338,12037,5103,5,44,27,13,10,34,1,65,27,97,67,2,49,88,49,33,69,18,6,48,26,21,1,50,47,1,-1,50,-1,1,-1,1,0,14,61,99,133,16,46,38,31,22,39,71,,,,,,LA,,,allen parish la,50,50,0,0
2018-12-31 00:00:00,County,LA Louisiana,LA Allen Parish 22003,9,811/PRAC,9,,Allen Parish County,22003,14,92,11,85,5,9,1.0,11,148,562,6692,6692,-1,57,43,-1,-1,9,-1,55,18,100,73,-1,-1,45,-1,100,100,100,-1,45,27,27,-1,36,36,-1,-1,64,-1,-1,-1,0,0,-1,61,100,55,100,-1,-1,-1,13,27,69,,,,,,LA,,,allen parish la,36,64,0,0
