State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
LA,Acadia Parish County,23350,26700,30050,33350,36050,38700,41400,44050,14580,19720,24860,30000,35140,38700,41400,44050,37350,42700,48050,53350,57650,61900,66200,70450
LA,Allen Parish County,23000,26250,29550,32800,35450,38050,40700,43300,14580,19720,24860,30000,35140,38050,40700,43300,36750,42000,47250,52500,56700,60900,65100,69300
LA,Ascension Parish County,29550,33750,37950,42150,45550,48900,52300,55650,17750,20250,24860,30000,35140,40280,45420,50560,47250,54000,60750,67450,72850,78250,83650,89050
LA,Assumption Parish County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
LA,Avoyelles Parish County,20300,23200,26100,28950,31300,33600,35900,38250,14580,19720,24860,28950,31300,33600,35900,38250,32450,37050,41700,46300,50050,53750,57450,61150
LA,Beauregard Parish County,26850,30700,34550,38350,41450,44500,47600,50650,16100,19720,24860,30000,35140,40280,45420,50560,42950,49100,55250,61350,66300,71200,76100,81000
LA,Bienville Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,Bossier Parish County,24300,27750,31200,34650,37450,40200,43000,45750,14600,19720,24860,30000,35140,40200,43000,45750,38850,44400,49950,55450,59900,64350,68800,73200
LA,Caddo Parish County,24300,27750,31200,34650,37450,40200,43000,45750,14600,19720,24860,30000,35140,40200,43000,45750,38850,44400,49950,55450,59900,64350,68800,73200
LA,Calcasieu Parish County,26800,30600,34450,38250,41350,44400,47450,50500,16100,19720,24860,30000,35140,40280,45420,50500,42850,49000,55100,61200,66100,71000,75900,80800
LA,Caldwell Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,Cameron Parish County,26800,30600,34450,38250,41350,44400,47450,50500,16100,19720,24860,30000,35140,40280,45420,50500,42850,49000,55100,61200,66100,71000,75900,80800
LA,Catahoula Parish County,22300,25450,28650,31800,34350,36900,39450,42000,14580,19720,24860,30000,34350,36900,39450,42000,35650,40750,45850,50900,55000,59050,63150,67200
LA,Claiborne Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,Concordia Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,De Soto Parish County,24300,27750,31200,34650,37450,40200,43000,45750,14600,19720,24860,30000,35140,40200,43000,45750,38850,44400,49950,55450,59900,64350,68800,73200
LA,East Baton Rouge Parish County,29550,33750,37950,42150,45550,48900,52300,55650,17750,20250,24860,30000,35140,40280,45420,50560,47250,54000,60750,67450,72850,78250,83650,89050
LA,East Carroll Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,East Feliciana Parish County,29550,33750,37950,42150,45550,48900,52300,55650,17750,20250,24860,30000,35140,40280,45420,50560,47250,54000,60750,67450,72850,78250,83650,89050
LA,Evangeline Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,Franklin Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,Grant Parish County,22000,25150,28300,31400,33950,36450,38950,41450,14580,19720,24860,30000,33950,36450,38950,41450,35200,40200,45250,50250,54300,58300,62350,66350
LA,Iberia Parish County,22250,25400,28600,31750,34300,36850,39400,41950,14580,19720,24860,30000,34300,36850,39400,41950,35600,40650,45750,50800,54900,58950,63000,67100
LA,Iberville Parish County,23600,26950,30300,33650,36350,39050,41750,44450,14580,19720,24860,30000,35140,39050,41750,44450,37700,43100,48500,53850,58200,62500,66800,71100
LA,Jackson Parish County,21200,24200,27250,30250,32700,35100,37550,39950,14580,19720,24860,30000,32700,35100,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
LA,Jefferson Parish County,28700,32800,36900,41000,44300,47600,50850,54150,17250,19720,24860,30000,35140,40280,45420,50560,45950,52500,59050,65600,70850,76100,81350,86600
LA,Jefferson Davis Parish County,23600,26950,30300,33650,36350,39050,41750,44450,14580,19720,24860,30000,35140,39050,41750,44450,37700,43100,48500,53850,58200,62500,66800,71100
LA,Lafayette Parish County,28350,32400,36450,40500,43750,47000,50250,53500,17050,19720,24860,30000,35140,40280,45420,50560,45400,51850,58350,64800,70000,75200,80400,85550
LA,Lafourche Parish County,25750,29400,33100,36750,39700,42650,45600,48550,15450,19720,24860,30000,35140,40280,45420,48550,41150,47000,52900,58750,63450,68150,72850,77550
LA,La Salle Parish County,21050,24050,27050,30050,32500,34900,37300,39700,14580,19720,24860,30000,32500,34900,37300,39700,33700,38500,43300,48100,51950,55800,59650,63500
LA,Lincoln Parish County,22350,25550,28750,31900,34500,37050,39600,42150,14580,19720,24860,30000,34500,37050,39600,42150,35750,40850,45950,51050,55150,59250,63350,67400
LA,Livingston Parish County,29550,33750,37950,42150,45550,48900,52300,55650,17750,20250,24860,30000,35140,40280,45420,50560,47250,54000,60750,67450,72850,78250,83650,89050
LA,Madison Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,Morehouse Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,Natchitoches Parish County,20450,23400,26300,29200,31550,33900,36250,38550,14580,19720,24860,29200,31550,33900,36250,38550,32700,37400,42050,46700,50450,54200,57950,61650
LA,Orleans Parish County,28700,32800,36900,41000,44300,47600,50850,54150,17250,19720,24860,30000,35140,40280,45420,50560,45950,52500,59050,65600,70850,76100,81350,86600
LA,Ouachita Parish County,21700,24800,27900,30950,33450,35950,38400,40900,14580,19720,24860,30000,33450,35950,38400,40900,34650,39600,44550,49500,53500,57450,61400,65350
LA,Plaquemines Parish County,28700,32800,36900,41000,44300,47600,50850,54150,17250,19720,24860,30000,35140,40280,45420,50560,45950,52500,59050,65600,70850,76100,81350,86600
LA,Pointe Coupee Parish County,29550,33750,37950,42150,45550,48900,52300,55650,17750,20250,24860,30000,35140,40280,45420,50560,47250,54000,60750,67450,72850,78250,83650,89050
LA,Rapides Parish County,22000,25150,28300,31400,33950,36450,38950,41450,14580,19720,24860,30000,33950,36450,38950,41450,35200,40200,45250,50250,54300,58300,62350,66350
LA,Red River Parish County,21000,24000,27000,29950,32350,34750,37150,39550,14580,19720,24860,29950,32350,34750,37150,39550,33550,38350,43150,47900,51750,55600,59400,63250
LA,Richland Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,Sabine Parish County,21300,24350,27400,30400,32850,35300,37700,40150,14580,19720,24860,30000,32850,35300,37700,40150,34100,38950,43800,48650,52550,56450,60350,64250
LA,St. Bernard Parish County,28700,32800,36900,41000,44300,47600,50850,54150,17250,19720,24860,30000,35140,40280,45420,50560,45950,52500,59050,65600,70850,76100,81350,86600
LA,St. Charles Parish County,28700,32800,36900,41000,44300,47600,50850,54150,17250,19720,24860,30000,35140,40280,45420,50560,45950,52500,59050,65600,70850,76100,81350,86600
LA,St. Helena Parish County,29550,33750,37950,42150,45550,48900,52300,55650,17750,20250,24860,30000,35140,40280,45420,50560,47250,54000,60750,67450,72850,78250,83650,89050
LA,St. James Parish County,26950,30800,34650,38500,41600,44700,47750,50850,16200,19720,24860,30000,35140,40280,45420,50560,43100,49250,55400,61550,66500,71400,76350,81250
LA,St. John the Baptist Parish County,28700,32800,36900,41000,44300,47600,50850,54150,17250,19720,24860,30000,35140,40280,45420,50560,45950,52500,59050,65600,70850,76100,81350,86600
LA,St. Landry Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,St. Martin Parish County,28350,32400,36450,40500,43750,47000,50250,53500,17050,19720,24860,30000,35140,40280,45420,50560,45400,51850,58350,64800,70000,75200,80400,85550
LA,St. Mary Parish County,21000,24000,27000,29950,32350,34750,37150,39550,14580,19720,24860,29950,32350,34750,37150,39550,33550,38350,43150,47900,51750,55600,59400,63250
LA,St. Tammany Parish County,28700,32800,36900,41000,44300,47600,50850,54150,17250,19720,24860,30000,35140,40280,45420,50560,45950,52500,59050,65600,70850,76100,81350,86600
LA,Tangipahoa Parish County,25100,28650,32250,35800,38700,41550,44400,47300,15050,19720,24860,30000,35140,40280,44400,47300,40150,45850,51600,57300,61900,66500,71100,75650
LA,Tensas Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,Terrebonne Parish County,25750,29400,33100,36750,39700,42650,45600,48550,15450,19720,24860,30000,35140,40280,45420,48550,41150,47000,52900,58750,63450,68150,72850,77550
LA,Union Parish County,21700,24800,27900,30950,33450,35950,38400,40900,14580,19720,24860,30000,33450,35950,38400,40900,34650,39600,44550,49500,53500,57450,61400,65350
LA,Vermilion Parish County,26150,29850,33600,37300,40300,43300,46300,49250,15700,19720,24860,30000,35140,40280,45420,49250,41800,47800,53750,59700,64500,69300,74050,78850
LA,Vernon Parish County,24150,27600,31050,34450,37250,40000,42750,45500,14580,19720,24860,30000,35140,40000,42750,45500,38600,44100,49600,55100,59550,63950,68350,72750
LA,Washington Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,Webster Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
LA,West Baton Rouge Parish County,29550,33750,37950,42150,45550,48900,52300,55650,17750,20250,24860,30000,35140,40280,45420,50560,47250,54000,60750,67450,72850,78250,83650,89050
LA,West Carroll Parish County,20750,23700,26650,29600,32000,34350,36750,39100,14580,19720,24860,29600,32000,34350,36750,39100,33150,37850,42600,47300,51100,54900,58700,62450
LA,West Feliciana Parish County,29550,33750,37950,42150,45550,48900,52300,55650,17750,20250,24860,30000,35140,40280,45420,50560,47250,54000,60750,67450,72850,78250,83650,89050
LA,Winn Parish County,20100,22950,25800,28650,30950,33250,35550,37850,14580,19720,24860,28650,30950,33250,35550,37850,32100,36700,41300,45850,49550,53200,56900,60550
