County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Barnstable County,38050.0,43500.0,48950.0,54350.0,58700.0,63050.0,67400.0,71750.0,22850.0,26100.0,29350.0,32600.0,35250.0,37850.0,41910.0,46630.0,60900.0,69600.0,78300.0,86950.0,93950.0,100900.0,107850.0,114800.0
Berkshire County,32950.0,37650.0,42350.0,47050.0,50850.0,54600.0,58350.0,62150.0,19800.0,22600.0,25450.0,28250.0,32470.0,37190.0,41910.0,46630.0,52750.0,60250.0,67800.0,75300.0,81350.0,87350.0,93400.0,99400.0
Bristol County,33850.0,38700.0,43550.0,48350.0,52250.0,56100.0,60000.0,63850.0,20300.0,23200.0,26100.0,29000.0,32470.0,37190.0,41910.0,46630.0,54150.0,61900.0,69650.0,77350.0,83550.0,89750.0,95950.0,102150.0
Dukes County,43050.0,49200.0,55350.0,61500.0,66450.0,71350.0,76300.0,81200.0,25850.0,29550.0,33250.0,36900.0,39900.0,42850.0,45800.0,48750.0,66250.0,75700.0,85150.0,94600.0,102200.0,109750.0,117350.0,124900.0
Essex County,49100.0,56100.0,63100.0,70100.0,75750.0,81350.0,86950.0,92550.0,29450.0,33650.0,37850.0,42050.0,45450.0,48800.0,52150.0,55550.0,78300.0,89500.0,100700.0,111850.0,120800.0,129750.0,138700.0,147650.0
Franklin County,32950.0,37650.0,42350.0,47050.0,50850.0,54600.0,58350.0,62150.0,19800.0,22600.0,25450.0,28250.0,32470.0,37190.0,41910.0,46630.0,52750.0,60250.0,67800.0,75300.0,81350.0,87350.0,93400.0,99400.0
Hampden County,32950.0,37650.0,42350.0,47050.0,50850.0,54600.0,58350.0,62150.0,19800.0,22600.0,25450.0,28250.0,32470.0,37190.0,41910.0,46630.0,52750.0,60250.0,67800.0,75300.0,81350.0,87350.0,93400.0,99400.0
Hampshire County,32950.0,37650.0,42350.0,47050.0,50850.0,54600.0,58350.0,62150.0,19800.0,22600.0,25450.0,28250.0,32470.0,37190.0,41910.0,46630.0,52750.0,60250.0,67800.0,75300.0,81350.0,87350.0,93400.0,99400.0
Middlesex County,49100.0,56100.0,63100.0,70100.0,75750.0,81350.0,86950.0,92550.0,29450.0,33650.0,37850.0,42050.0,45450.0,48800.0,52150.0,55550.0,78300.0,89500.0,100700.0,111850.0,120800.0,129750.0,138700.0,147650.0
Nantucket County,47950.0,54800.0,61650.0,68500.0,74000.0,79500.0,84950.0,90450.0,28800.0,32900.0,37000.0,41100.0,44400.0,47700.0,51000.0,54300.0,65950.0,75350.0,84750.0,94150.0,101700.0,109250.0,116750.0,124300.0
Norfolk County,49100.0,56100.0,63100.0,70100.0,75750.0,81350.0,86950.0,92550.0,29450.0,33650.0,37850.0,42050.0,45450.0,48800.0,52150.0,55550.0,78300.0,89500.0,100700.0,111850.0,120800.0,129750.0,138700.0,147650.0
Plymouth County,39100.0,44700.0,50300.0,55850.0,60350.0,64800.0,69300.0,73750.0,23450.0,26800.0,30150.0,33500.0,36200.0,38900.0,41910.0,46630.0,62550.0,71500.0,80450.0,89350.0,96500.0,103650.0,110800.0,117950.0
Suffolk County,49100.0,56100.0,63100.0,70100.0,75750.0,81350.0,86950.0,92550.0,29450.0,33650.0,37850.0,42050.0,45450.0,48800.0,52150.0,55550.0,78300.0,89500.0,100700.0,111850.0,120800.0,129750.0,138700.0,147650.0
Worcester County,38700.0,44200.0,49750.0,55250.0,59700.0,64100.0,68550.0,72950.0,23250.0,26550.0,29850.0,33150.0,35850.0,38500.0,41910.0,46630.0,61900.0,70750.0,79600.0,88400.0,95500.0,102550.0,109650.0,116700.0
