sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Barnstable County,25001,-1,-1,3160,-1,5,13,1.9,5859,375,650,14.9,8.1,6,32,24,17,21,24,5,68,24,89,65,10,24,75,31,51,26,26,4,44,18,34,5,14,8,2,1,4,22,77,65,32,52,29,19,8,9,10,58,-1,-1,-1,-1,-1,MA,-1,-1,barnstable ma,86,14,86,0,0
9,1,All HUD,-1,Berkshire County,25003,-1,-1,3251,-1,6,16,1.8,5925,290,494,13.0,7.2,6,38,28,16,13,17,6,75,22,95,76,8,26,75,31,51,18,24,7,40,15,37,8,13,7,0,1,5,7,71,61,19,56,24,20,8,10,17,31,-1,-1,-1,-1,-1,MA,-1,-1,berkshire ma,87,13,87,0,0
9,1,All HUD,-1,Bristol County,25005,-1,-1,12626,-1,5,14,1.9,24089,322,622,14.0,7.4,4,39,26,15,17,21,9,69,23,94,76,9,27,77,32,52,30,27,5,42,16,37,6,29,11,1,1,16,18,79,59,29,43,34,23,16,21,20,23,-1,-1,-1,-1,-1,MA,-1,-1,bristol ma,71,29,71,0,0
9,1,All HUD,-1,Dukes County,25007,-1,-1,152,-1,5,12,1.2,180,322,513,15.1,12.7,0,28,35,16,21,11,0,89,19,61,43,1,9,69,7,38,12,15,0,11,3,86,13,10,7,0,0,3,8,50,14,0,88,8,4,2,12,7,60,-1,-1,-1,-1,-1,MA,-1,-1,dukes ma,90,10,90,0,0
9,1,All HUD,-1,Essex County,25009,-1,-1,18148,-1,5,11,1.9,34963,355,757,15.5,8.0,5,34,22,15,24,26,5,68,23,94,74,10,23,76,31,44,25,23,2,41,17,40,7,42,5,0,1,35,26,83,68,23,50,26,24,10,36,18,24,-1,-1,-1,-1,-1,MA,-1,-1,essex ma,58,42,58,0,0
9,1,All HUD,-1,Franklin County,25011,-1,-1,1506,-1,5,15,1.8,2693,313,531,12.6,7.1,7,41,26,14,12,19,6,74,22,97,79,8,25,74,31,56,35,31,8,48,18,26,5,10,3,0,1,6,19,66,77,44,52,29,19,10,7,14,42,-1,-1,-1,-1,-1,MA,-1,-1,franklin ma,90,10,90,0,0
9,1,All HUD,-1,Hampden County,25013,-1,-1,17136,-1,5,13,2.2,37603,312,556,12.9,5.9,7,42,23,14,14,23,13,62,21,96,81,10,35,80,43,42,43,23,8,50,17,25,3,74,15,0,0,59,25,81,70,28,39,32,29,11,55,30,26,-1,-1,-1,-1,-1,MA,-1,-1,hampden ma,26,74,26,0,0
9,1,All HUD,-1,Hampshire County,25015,-1,-1,1988,-1,5,13,1.9,3690,347,583,14.2,7.7,6,34,25,16,19,25,6,67,24,94,71,9,26,74,31,51,31,28,4,48,20,28,4,28,7,0,3,18,26,76,85,57,50,35,15,8,14,13,45,-1,-1,-1,-1,-1,MA,-1,-1,hampshire ma,72,28,72,0,0
9,1,All HUD,-1,Middlesex County,25017,-1,-1,27385,-1,6,16,1.9,51866,380,847,16.3,8.6,5,31,23,15,26,26,4,68,24,92,72,10,19,69,26,43,24,22,8,39,16,37,6,34,12,0,6,15,30,89,61,25,54,27,19,8,30,13,26,-1,-1,-1,-1,-1,MA,-1,-1,middlesex ma,66,34,66,0,0
9,1,All HUD,-1,Nantucket County,25019,-1,-1,8,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,MA,-1,-1,nantucket ma,-4,-4,-4,0,0
