gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,MA Massachusetts,MA Barnstable County 25001,9,Summary of All HUD Programs,1,A,Barnstable County,25001,2657.0,97,2340,97,6.37552263320024,7,1.68777577456429,3948.05579969981,340.763456523141,707.543649564177,14928.3711244688,8820.17180965244,5,30,25,18,23,18,5,76,25,95,70,3,23,74,23,52,21,25,2,38,18,43,7,13,8,1,1,3,19.7031785933492,82.7090122599651,61,120.794029871991,61,24,15,7,11,10,59,A,A,A,-1,-1,MA,-1,A,barnstable ma,87,13,87,0,0
County,MA Massachusetts,MA Berkshire County 25003,9,Summary of All HUD Programs,1,A,Berkshire County,25003,3184.0,96,2774,97,5.96764645880192,8,1.7810595342481,5195.24260834098,309.655617332983,559.68977626011,13776.6887253505,7728.73546530229,4,34,29,17,16,17,4,78,23,98,78,3,27,73,28,54,20,26,5,39,16,40,8,13,8,1,1,5,11.408534982321,75.8876888559273,58,94.0348204340229,59,23,19,7,17,9,33,A,A,A,-1,-1,MA,-1,A,berkshire ma,87,13,87,0,0
County,MA Massachusetts,MA Bristol County 25005,9,Summary of All HUD Programs,1,A,Bristol County,25005,13341.0,95,11997,98,6.19147851006426,8,1.88047307671433,23003.5828909062,332.777562221443,683.734349387935,14618.2882296214,7766.20724416629,4,35,27,16,19,18,8,73,25,96,75,3,30,76,31,52,32,27,4,41,17,37,6,33,13,1,2,20,21.0805673162693,82.0521112758764,58,126.108770842884,44,34,22,17,20,22,24,A,A,A,-1,-1,MA,-1,A,bristol ma,67,33,67,0,0
County,MA Massachusetts,MA Dukes County 25007,9,Summary of All HUD Programs,1,A,Dukes County,25007,125.0,100,124,99,5.91112250011388,7,1.02391690583572,133.191111111111,347.920800874675,491.134993849938,16200.5251127511,15822.1092164976,1,18,29,27,25,4,0,96,28,98,61,0,0,69,0,100,9,10,0,1,0,99,17,9,7,0,0,3,-1.0,60.8970923875906,0,-1.0,100,0,0,0,9,14,69,A,A,A,-1,-1,MA,-1,A,dukes ma,91,9,91,0,0
County,MA Massachusetts,MA Essex County 25009,9,Summary of All HUD Programs,1,A,Essex County,25009,17536.0,97,16490,97,6.20357904415301,7,1.8496268376987,31052.0059577982,352.04044223178,807.845717947706,15868.9585673933,8562.60288747588,5,32,22,16,25,22,4,73,23,96,77,4,26,75,27,45,26,24,2,37,18,44,8,43,8,0,2,38,33.1586814170259,89.4310748942872,67,110.9477514539,53,27,20,10,17,35,25,A,A,A,-1,-1,MA,-1,A,essex ma,57,43,57,0,0
County,MA Massachusetts,MA Franklin County 25011,9,Summary of All HUD Programs,1,A,Franklin County,25011,1752.0,97,1488,97,5.66897324184683,9,1.81258255492047,2758.68930095312,324.561846913305,614.622622952531,13421.2273761303,7395.75117726979,5,37,27,15,15,16,6,77,22,97,82,4,30,72,31,61,40,36,4,50,21,25,4,12,4,1,1,8,23.9730052819338,71.7950604764318,78,122.167835555943,51,29,20,11,15,7,42,A,A,A,-1,-1,MA,-1,A,franklin ma,88,12,88,0,0
County,MA Massachusetts,MA Hampden County 25013,9,Summary of All HUD Programs,1,A,Hampden County,25013,16022.0,96,13453,99,6.45494676997223,6,2.05752319545613,27996.8624044954,311.967133241828,614.689165744051,13507.8491769381,6547.5233456015,5,40,23,16,16,21,9,70,22,98,82,4,36,77,37,44,43,27,6,47,17,30,4,74,14,0,1,61,20.1306500586726,82.99598650641,66,99.5633059575103,46,29,25,10,31,57,26,A,A,A,-1,-1,MA,-1,A,hampden ma,26,74,26,0,0
County,MA Massachusetts,MA Hampshire County 25015,9,Summary of All HUD Programs,1,A,Hampshire County,25015,2176.0,93,1736,99,5.5118082660437,8,1.80128066603049,3236.28290016852,345.134854358325,644.33363867344,15061.6314500626,8354.35721842648,5,31,23,18,23,22,5,72,25,96,71,4,29,73,29,51,35,30,3,45,20,31,4,29,9,0,3,19,22.8306041819254,78.6032774740432,85,103.638967715228,53,32,14,7,14,14,45,A,A,A,-1,-1,MA,-1,A,hampshire ma,71,29,71,0,0
County,MA Massachusetts,MA Middlesex County 25017,9,Summary of All HUD Programs,1,A,Middlesex County,25017,29762.0,95,25566,95,7.06433644869807,7,1.83176121769209,48892.6518150401,389.673311184711,884.20690940975,16994.2683271617,9266.20217092048,5,28,23,16,29,25,4,71,24,95,75,4,24,72,25,46,27,24,1,39,19,41,7,37,17,0,5,15,27.6419842728792,95.8638974483032,56,118.450398561349,55,27,18,8,13,30,26,A,A,A,-1,-1,MA,-1,A,middlesex ma,63,37,63,0,0
County,MA Massachusetts,MA Nantucket County 25019,9,Summary of All HUD Programs,1,A,Nantucket County,25019,8.0,100,8,100,5.57916666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,16795.125,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,62.3375,-4,-4.0,-4,-4,-4,-4,12,23,55,A,A,A,-1,-1,MA,-1,A,nantucket ma,100,0,100,0,0
County,MA Massachusetts,MA No county code 25999,9,Summary of All HUD Programs,1,A,Missing County,25999,6.0,99,6,98,8.30992079652164,-4,-4.0,-4.0,-4.0,-4.0,-4.0,9123.4981017695,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,21,-4,-4,-4,-4,0.766666666666667,108.705506859276,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,MA,-1,A,nan ma,79,21,79,0,0
County,MA Massachusetts,MA Norfolk County 25021,9,Summary of All HUD Programs,1,A,Norfolk County,25021,10128.0,96,8679,97,6.07606081756168,6,1.66667402557085,14752.2662368168,391.192784297189,860.397167306172,16957.6358058334,10164.1643683317,4,26,23,18,28,18,4,78,25,94,73,2,21,72,22,51,18,24,1,33,16,50,11,29,17,0,7,7,26.6482740954864,86.4963408617081,55,130.780193339801,62,23,15,8,7,18,43,A,A,A,-1,-1,MA,-1,A,norfolk ma,71,29,71,0,0
County,MA Massachusetts,MA Plymouth County 25023,9,Summary of All HUD Programs,1,A,Plymouth County,25023,7522.0,96,6431,99,6.30645277874768,6,1.87896862082015,11576.6401112137,369.548790024499,813.60756384026,15471.5637503763,8216.40235912079,6,30,24,16,24,21,6,73,24,95,75,3,29,75,29,48,26,24,2,40,18,40,6,35,26,1,1,11,24.7823962879804,86.0781822311343,53,154.879592814023,55,24,21,8,15,31,43,A,A,A,-1,-1,MA,-1,A,plymouth ma,65,35,65,0,0
County,MA Massachusetts,MA Suffolk County 25025,9,Summary of All HUD Programs,1,A,Suffolk County,25025,51611.0,94,44403,95,6.62104000679524,6,2.00126401297837,92513.4334850951,370.45268333052,1057.31255827611,15556.4192989345,7748.74582276353,7,35,21,12,24,30,7,62,22,95,79,4,32,71,32,32,32,20,3,43,18,37,5,74,43,1,9,29,27.4380156226047,109.416044114488,58,116.92746459787,46,28,26,14,26,63,8,A,A,A,-1,-1,MA,-1,A,suffolk ma,26,74,26,0,0
County,MA Massachusetts,MA Worcester County 25027,9,Summary of All HUD Programs,1,A,Worcester County,25027,15354.0,96,12361,98,6.34331905699274,9,1.87845856138957,24659.8931280036,323.335568046164,678.533279585722,14978.1780657629,7956.10949307516,5,32,24,17,22,19,7,73,24,96,75,5,26,72,28,46,36,26,4,39,18,40,7,43,9,0,1,35,18.6655487879627,84.4189219193066,52,92.3874697863129,55,25,20,7,20,31,30,A,A,A,-1,-1,MA,-1,A,worcester ma,57,43,57,0,0
