Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2018-12-31 00:00:00,County,MA Massachusetts,MA Barnstable County 25001,9,Summary of All HUD Programs,1,,Barnstable County,25001,3556,89,3302,100,6,8,1.7,5450,419,921,17528,10620,3,13,35,19,31,21,3,71,26,94,69,2,22,72,22,54,41,32,1,31,24,44,5,17,9,2,1,82,1,4,1,5,1,34,117,60,115,55,30,15,14,11,13,70,,,,,,MA,,,barnstable ma,18,82,0,0
2018-12-31 00:00:00,County,MA Massachusetts,MA Barnstable County 25001,9,Public Housing,2,,Barnstable County,25001,346,97,336,100,8,8,1.0,350,397,328,17885,17170,0,7,38,22,33,5,-1,95,29,94,62,-1,-1,59,-1,98,29,39,-1,4,13,83,11,7,5,0,0,93,-1,1,-1,1,0,20,98,36,32,100,-1,-1,-1,11,14,52,,,,,,MA,,,barnstable ma,7,93,0,0
2018-12-31 00:00:00,County,MA Massachusetts,MA Barnstable County 25001,9,Housing Choice Vouchers,3,,Barnstable County,25001,2220,85,2074,100,6,8,1.8,3827,432,1026,17277,9363,3,14,36,16,30,27,4,67,25,94,72,3,30,72,30,54,75,37,1,40,32,28,1,19,11,3,1,81,1,4,0,5,1,37,130,67,138,39,40,21,20,10,13,72,,,,,,MA,,,barnstable ma,19,81,0,0
2018-12-31 00:00:00,County,MA Massachusetts,MA Barnstable County 25001,9,Mod Rehab,4,,Barnstable County,25001,23,78,24,100,6,25,1.0,24,298,742,12211,12211,10,14,38,19,19,25,4,58,20,100,83,-1,-1,29,-1,29,60,42,4,29,25,42,-1,13,8,-1,-1,88,-1,4,-1,4,0,5,21,-1,-1,96,-1,4,4,14,18,54,,,,,,MA,,,barnstable ma,13,87,0,0
2018-12-31 00:00:00,County,MA Massachusetts,MA Barnstable County 25001,9,Project Based Section 8,5,,Barnstable County,25001,689,98,694,100,5,10,1.5,1053,397,1041,17736,11689,2,12,31,24,30,12,1,66,27,94,66,3,15,78,16,38,15,15,1,20,12,66,12,16,6,2,0,79,1,3,3,6,1,-1,99,68,72,70,21,8,4,13,14,72,,,,,,MA,,,barnstable ma,18,82,0,1
2018-12-31 00:00:00,County,MA Massachusetts,MA Barnstable County 25001,9,S236/BMIR,7,,Barnstable County,25001,112,-5,13,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,MA,,,barnstable ma,-5,-5,0,0
2018-12-31 00:00:00,County,MA Massachusetts,MA Barnstable County 25001,9,202/PRAC,8,,Barnstable County,25001,139,99,138,100,6,7,1.0,143,373,329,18364,17722,1,5,25,31,38,4,-1,96,30,96,54,-1,-1,83,-1,100,9,9,-1,-1,1,99,24,4,3,1,-1,95,-1,-1,-1,0,0,-1,91,-1,-1,100,-1,-1,-1,7,5,89,,,,,,MA,,,barnstable ma,5,95,0,0
2018-12-31 00:00:00,County,MA Massachusetts,MA Barnstable County 25001,9,811/PRAC,9,,Barnstable County,25001,27,80,23,100,6,13,1.0,23,320,1177,13259,13259,-1,35,35,22,9,-1,-1,100,22,100,91,-1,-1,43,-1,100,100,100,-1,70,17,13,4,0,-1,-1,-1,87,-1,-1,-1,0,0,-1,112,-1,-1,100,-1,-1,-1,9,9,78,,,,,,MA,,,barnstable ma,0,87,13,0
2018-12-31 00:00:00,County,MA Massachusetts,MA Berkshire County 25003,9,Summary of All HUD Programs,1,,Berkshire County,25003,3679,94,3472,100,6,11,1.7,6018,339,712,14684,8472,4,15,40,19,22,16,4,75,24,96,74,2,26,68,25,53,34,29,3,36,21,40,6,15,9,1,0,83,1,4,1,5,1,13,99,60,103,58,22,20,11,20,15,37,,,,,,MA,,,berkshire ma,17,83,0,0
2018-12-31 00:00:00,County,MA Massachusetts,MA Berkshire County 25003,9,Public Housing,2,,Berkshire County,25003,467,98,450,98,6,14,1.6,733,328,467,14518,8913,3,13,48,15,21,14,3,77,24,95,78,1,20,63,19,57,46,34,2,30,26,42,5,12,6,1,-1,88,1,4,0,5,0,10,90,40,48,67,14,18,8,19,12,39,,,,,,MA,,,berkshire ma,12,88,0,0
