Name,Subsidized units available,% Minority,%White Non-Hispanic
Garrett County,136,6,94
Carroll County,1071,16,84
Allegany County,641,16,84
Washington County,1558,36,64
Cecil County,820,40,60
Caroline County,80,56,44
Calvert County,469,57,43
Harford County,1533,61,39
Frederick County,1460,65,35
St. Marys County,1556,68,32
Talbot County,190,74,26
Somerset County,116,74,26
Queen Annes County,176,74,26
Kent County,43,74,26
Worcester County,163,81,19
Anne Arundel County,3565,81,19
Montgomery County,8335,83,17
Wicomico County,911,85,15
Baltimore County,9057,85,15
Dorchester County,339,87,13
Charles County,931,87,13
Howard County,2363,88,12
Baltimore city County,16226,96,4
Prince Georges County,5899,98,2
