County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Allegany County,28200,32200,36250,40250,43500,46700,49950,53150,16950,19350,23030,27750,32470,37190,41910,46630,45100,51550,58000,64400,69600,74750,79900,85050
Anne Arundel County,40650,46450,52250,58050,62700,67350,72000,76650,24400,27900,31400,34850,37650,40450,43250,46630,62600,71550,80500,89400,96600,103750,110900,118050
Baltimore County,40650,46450,52250,58050,62700,67350,72000,76650,24400,27900,31400,34850,37650,40450,43250,46630,62600,71550,80500,89400,96600,103750,110900,118050
Calvert County,49850,56950,64050,71150,76850,82550,88250,93950,29900,34200,38450,42700,46150,49550,52950,56400,63000,72000,81000,90000,97200,104400,111600,118800
Caroline County,28200,32200,36250,40250,43500,46700,49950,53150,16950,19350,23030,27750,32470,37190,41910,46630,45100,51550,58000,64400,69600,74750,79900,85050
Carroll County,40650,46450,52250,58050,62700,67350,72000,76650,24400,27900,31400,34850,37650,40450,43250,46630,62600,71550,80500,89400,96600,103750,110900,118050
Cecil County,36900,42200,47450,52700,56950,61150,65350,69600,22150,25300,28450,31600,34150,37190,41910,46630,59050,67450,75900,84300,91050,97800,104550,111300
Charles County,49850,56950,64050,71150,76850,82550,88250,93950,29900,34200,38450,42700,46150,49550,52950,56400,63000,72000,81000,90000,97200,104400,111600,118800
Dorchester County,28200,32200,36250,40250,43500,46700,49950,53150,16950,19350,23030,27750,32470,37190,41910,46630,45100,51550,58000,64400,69600,74750,79900,85050
Frederick County,49850,56950,64050,71150,76850,82550,88250,93950,29900,34200,38450,42700,46150,49550,52950,56400,63000,72000,81000,90000,97200,104400,111600,118800
Garrett County,28200,32200,36250,40250,43500,46700,49950,53150,16950,19350,23030,27750,32470,37190,41910,46630,45100,51550,58000,64400,69600,74750,79900,85050
Harford County,40650,46450,52250,58050,62700,67350,72000,76650,24400,27900,31400,34850,37650,40450,43250,46630,62600,71550,80500,89400,96600,103750,110900,118050
Howard County,40650,46450,52250,58050,62700,67350,72000,76650,24400,27900,31400,34850,37650,40450,43250,46630,62600,71550,80500,89400,96600,103750,110900,118050
Kent County,30750,35150,39550,43900,47450,50950,54450,57950,18450,21100,23750,27750,32470,37190,41910,46630,49200,56200,63250,70250,75900,81500,87150,92750
Montgomery County,49850,56950,64050,71150,76850,82550,88250,93950,29900,34200,38450,42700,46150,49550,52950,56400,63000,72000,81000,90000,97200,104400,111600,118800
Prince Georges County,49850,56950,64050,71150,76850,82550,88250,93950,29900,34200,38450,42700,46150,49550,52950,56400,63000,72000,81000,90000,97200,104400,111600,118800
Queen Annes County,40650,46450,52250,58050,62700,67350,72000,76650,24400,27900,31400,34850,37650,40450,43250,46630,62600,71550,80500,89400,96600,103750,110900,118050
St. Marys County,40050,45750,51450,57150,61750,66300,70900,75450,24050,27450,30900,34300,37050,39800,42550,46630,62600,71550,80500,89400,96600,103750,110900,118050
Somerset County,28200,32200,36250,40250,43500,46700,49950,53150,16950,19350,23030,27750,32470,37190,41910,46630,45100,51550,58000,64400,69600,74750,79900,85050
Talbot County,34200,39100,44000,48850,52800,56700,60600,64500,20550,23450,26400,29300,32470,37190,41910,46630,54750,62550,70350,78150,84450,90700,96950,103200
Washington County,30250,34550,38850,43150,46650,50100,53550,57000,18150,20750,23350,27750,32470,37190,41910,46630,48350,55250,62150,69050,74600,80100,85650,91150
Wicomico County,28200,32200,36250,40250,43500,46700,49950,53150,16950,19350,23030,27750,32470,37190,41910,46630,45100,51550,58000,64400,69600,74750,79900,85050
Worcester County,31250,35700,40150,44600,48200,51750,55350,58900,18750,21400,24100,27750,32470,37190,41910,46630,49950,57100,64250,71350,77100,82800,88500,94200
Baltimore city County,40650,46450,52250,58050,62700,67350,72000,76650,24400,27900,31400,34850,37650,40450,43250,46630,62600,71550,80500,89400,96600,103750,110900,118050
