gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,MD Maryland,MD Allegany County 24001,9,Summary of All HUD Programs,1,A,Allegany County,24001,1640.0,94,1520,98,5.78480098286086,10,1.79260109095871,2857.63205220082,265.211509529311,407.368902689926,12008.9349840985,6710.19469992427,12,36,25,15,11,18,4,77,21,97,80,4,25,72,26,42,34,24,5,38,18,39,7,8,7,0,0,1,14.5138760225656,79.2330954956331,65,95.3743355165133,55,24,21,12,19,11,57,A,A,A,-1,-1,MD,-1,A,allegany md,92,8,92,0,0
County,MD Maryland,MD Anne Arundel County 24003,9,Summary of All HUD Programs,1,A,Anne Arundel County,24003,6186.0,88,5126,94,5.96708718863651,8,2.18536122608198,11024.5289890381,353.594318937378,712.167951034847,15088.9152854492,6926.14891707426,10,28,22,15,25,29,10,60,22,96,77,3,41,82,42,31,42,18,5,48,17,29,4,73,70,1,2,1,24.0288493425604,86.6881324506551,71,147.435503364158,41,26,33,11,9,41,46,A,A,A,-1,-1,MD,-1,A,anne arundel md,27,73,27,0,0
County,MD Maryland,MD Baltimore County 24005,9,Summary of All HUD Programs,1,A,Baltimore County,24005,10842.0,98,9715,94,5.79337946085602,6,1.90739463203082,19230.165687324,337.293782514234,709.589779661769,14876.2722582695,7806.8586364948,7,30,23,17,23,21,4,74,22,98,76,1,33,80,33,42,32,24,2,41,15,42,8,62,59,1,2,2,48.0063116370808,78.5613401819674,84,116.56259667537,48,29,23,13,12,50,34,A,A,A,-1,-1,MD,-1,A,baltimore md,38,62,38,0,0
County,MD Maryland,MD Baltimore city 24510,9,Summary of All HUD Programs,1,A,Baltimore city County,24510,38831.0,96,29982,85,6.83584987598011,8,2.04594392240999,71805.4566217589,237.984583400673,744.003306757658,12310.1344084478,6017.08866361883,12,42,20,12,15,21,9,70,18,98,87,1,36,77,35,45,49,27,2,46,23,29,3,93,91,0,1,1,26.9777777777778,101.286750106372,60,138.553048248351,47,26,27,12,31,83,9,A,A,A,-1,-1,MD,-1,A,baltimore city md,7,93,7,0,0
County,MD Maryland,MD Calvert County 24009,9,Summary of All HUD Programs,1,A,Calvert County,24009,516.0,95,540,99,5.49626606161931,8,2.02621108371171,953.719436516169,421.087627187623,779.418958035839,17386.6328619573,8580.8596161204,4,25,21,16,33,27,1,72,20,99,81,4,26,79,28,45,36,22,0,38,20,42,7,47,45,0,0,1,65.7488380952381,96.266653854588,76,229.271176986435,45,24,31,19,7,25,73,A,A,A,-1,-1,MD,-1,A,calvert md,53,47,53,0,0
County,MD Maryland,MD Caroline County 24011,9,Summary of All HUD Programs,1,A,Caroline County,24011,342.0,94,323,98,5.58128997120008,10,2.22667291663874,805.690044047158,305.117948172878,552.510164609969,12433.0391314762,5583.6845360496,12,33,23,18,14,32,6,62,21,99,80,6,41,79,42,29,40,17,6,49,17,28,2,66,63,0,1,3,60.0,75.9408506042911,93,145.376248618754,36,38,26,13,12,29,71,A,A,A,-1,-1,MD,-1,A,caroline md,34,66,34,0,0
County,MD Maryland,MD Carroll County 24013,9,Summary of All HUD Programs,1,A,Carroll County,24013,1226.0,95,1145,98,5.62048100219733,8,1.7769923236383,2281.80379712066,318.502249569464,719.71555616366,14031.5021982789,7896.20867328798,7,28,27,19,19,18,6,76,21,99,80,4,26,76,28,55,33,28,4,37,18,42,6,14,11,0,1,2,35.1797941994812,73.7659729088834,91,143.321580500562,50,27,24,17,9,12,62,A,A,A,-1,-1,MD,-1,A,carroll md,86,14,86,0,0
County,MD Maryland,MD Cecil County 24015,9,Summary of All HUD Programs,1,A,Cecil County,24015,1018.0,90,958,100,5.35851042546866,16,2.11787206267191,1965.53655073547,311.241227778842,583.843512188102,13320.782123424,6289.70104389521,9,35,24,14,17,21,7,72,20,98,82,7,34,74,38,40,47,23,4,47,23,27,2,32,28,2,0,4,26.4173276682979,58.4942357202491,75,157.896811849484,40,31,29,17,12,17,55,A,A,A,-1,-1,MD,-1,A,cecil md,68,32,68,0,0
County,MD Maryland,MD Charles County 24017,9,Summary of All HUD Programs,1,A,Charles County,24017,2253.0,87,1475,98,6.13921233610681,7,2.34001765292901,3292.37774310155,401.572386218059,1004.3469661074,16740.9083389836,7154.18036185707,10,28,17,14,31,42,2,55,19,98,83,4,52,87,54,24,53,16,5,60,15,19,2,78,76,0,1,1,66.9572916666666,79.6578950400776,97,157.947677746326,30,38,32,15,9,61,48,A,A,A,-1,-1,MD,-1,A,charles md,22,78,22,0,0
County,MD Maryland,MD Dorchester County 24019,9,Summary of All HUD Programs,1,A,Dorchester County,24019,668.0,95,640,99,4.58234969890143,11,2.35426637357702,1877.21297187276,283.437620424128,612.750427479583,12483.9163494493,5310.16669517484,17,32,22,13,17,32,6,61,21,96,80,3,47,85,48,25,48,16,8,49,19,23,4,87,84,0,0,3,49.9994889585621,95.1676600719805,92,145.070045867676,30,28,43,18,30,65,59,A,A,A,-1,-1,MD,-1,A,dorchester md,13,87,13,0,0
