Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2018-12-31 00:00:00,County,MD Maryland,MD Allegany County 24001,9,Summary of All HUD Programs,1,,Allegany County,24001,1667,93,1557,100,6,15,1.8,2745,277,558,12228,6936,9,37,27,14,13,17,6,73,22,97,78,4,25,70,25,43,48,28,4,37,21,38,5,10,9,0,1,90,0,0,0,1,0,19,87,69,97,53,25,21,15,24,11,55,,,,,,MD,,,allegany md,10,90,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Allegany County 24001,9,Public Housing,2,,Allegany County,24001,598,95,568,100,6,17,1.8,1007,267,430,12375,6980,8,40,24,12,16,19,8,65,23,95,78,2,27,63,25,47,50,30,9,40,23,28,4,13,12,-1,1,87,-1,0,-1,0,0,15,91,61,36,58,23,19,8,25,12,50,,,,,,MD,,,allegany md,13,87,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Allegany County 24001,9,Housing Choice Vouchers,3,,Allegany County,24001,616,88,549,100,5,14,2.2,1199,282,723,11371,5206,12,40,26,13,9,22,8,66,20,99,85,7,37,78,40,35,58,22,1,52,23,24,2,13,11,0,1,87,0,0,-1,1,0,25,93,91,154,24,40,36,31,22,10,60,,,,,,MD,,,allegany md,13,87,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Allegany County 24001,9,Mod Rehab,4,,Allegany County,24001,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MD,,,allegany md,-4,-4,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Allegany County 24001,9,Project Based Section 8,5,,Allegany County,24001,450,96,438,100,6,14,1.2,537,284,521,13127,10707,7,31,32,16,14,6,1,93,26,96,70,1,8,68,7,55,42,39,3,13,16,67,9,3,2,-1,0,95,-1,0,0,1,0,-1,76,50,64,83,10,7,5,25,11,57,,,,,,MD,,,allegany md,5,95,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Anne Arundel County 24003,9,Summary of All HUD Programs,1,,Anne Arundel County,24003,6012,87,5013,95,7,10,2.2,10818,403,853,17179,7961,6,26,21,14,32,34,3,59,22,95,75,2,40,81,40,34,54,22,2,46,21,31,3,74,70,0,2,23,0,1,0,2,0,85,110,75,140,40,26,34,16,10,41,44,,,,,,MD,,,anne arundel md,77,23,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Anne Arundel County 24003,9,Public Housing,2,,Anne Arundel County,24003,1611,93,1430,96,6,8,1.9,2778,327,602,14508,7468,6,34,24,13,22,27,3,63,20,95,83,1,33,74,33,43,66,30,2,39,25,34,2,81,77,0,3,19,0,0,0,1,0,38,127,50,87,49,23,28,14,11,38,51,,,,,,MD,,,anne arundel md,81,19,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Anne Arundel County 24003,9,Housing Choice Vouchers,3,,Anne Arundel County,24003,3073,81,2341,94,7,13,2.5,5806,476,936,19419,7830,5,23,19,13,39,43,4,51,24,93,70,2,49,87,49,31,65,20,1,55,21,23,2,78,74,0,2,22,0,1,0,2,0,104,104,93,176,31,26,44,15,10,43,43,,,,,,MD,,,anne arundel md,78,22,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Anne Arundel County 24003,9,Project Based Section 8,5,,Anne Arundel County,24003,1106,95,1021,97,8,9,2.0,2003,356,1118,15874,8092,9,24,22,15,30,32,3,61,21,97,76,2,39,79,40,30,45,19,6,43,19,31,2,64,60,0,1,26,1,1,1,3,1,-1,108,70,93,36,35,29,21,7,39,37,,,,,,MD,,,anne arundel md,73,27,0,1
2018-12-31 00:00:00,County,MD Maryland,MD Anne Arundel County 24003,9,202/PRAC,8,,Anne Arundel County,24003,222,99,220,100,7,10,1.0,230,352,353,16761,16032,0,18,25,27,30,1,-1,99,25,100,69,-1,-1,80,-1,-1,14,14,-1,-1,-1,100,16,32,23,0,8,63,-1,-1,-1,0,0,-1,80,60,77,100,-1,-1,-1,8,38,30,,,,,,MD,,,anne arundel md,32,63,5,0
2018-12-31 00:00:00,County,MD Maryland,MD Anne Arundel County 24003,9,811/PRAC,9,,Anne Arundel County,24003,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MD,,,anne arundel md,-4,-4,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Baltimore County 24005,9,Summary of All HUD Programs,1,,Baltimore County,24005,11940,86,10899,100,6,8,2.1,23253,410,949,16335,7656,5,28,21,16,30,27,3,67,21,97,77,1,39,82,39,38,43,24,1,44,16,39,6,72,68,0,2,27,0,1,0,1,0,8,99,87,130,41,28,32,15,13,48,34,,,,,,MD,,,baltimore md,73,27,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Baltimore County 24005,9,Public Housing,2,,Baltimore County,24005,31,85,24,90,9,4,3.1,74,494,1231,22793,7392,4,22,9,13,52,58,4,29,27,88,54,-1,71,96,67,24,100,11,-1,79,8,13,-1,96,96,-1,-1,4,-1,-1,-1,0,0,-1,170,100,158,4,4,92,29,7,21,52,,,,,,MD,,,baltimore md,96,4,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Baltimore County 24005,9,Housing Choice Vouchers,3,,Baltimore County,24005,8559,82,7662,100,6,7,2.5,18906,449,1102,17024,6899,6,28,19,15,33,33,3,59,21,96,77,2,50,85,50,38,78,26,1,55,19,25,3,81,79,0,0,19,0,1,0,2,0,8,104,95,148,24,33,44,20,12,51,31,,,,,,MD,,,baltimore md,81,19,0,0
2018-12-31 00:00:00,County,MD Maryland,MD Baltimore County 24005,9,Project Based Section 8,5,,Baltimore County,24005,1847,96,1729,97,6,10,1.6,2690,313,814,14353,9225,7,30,23,17,23,18,2,78,20,98,80,1,25,75,25,34,21,18,3,30,12,55,9,53,46,1,6,44,0,0,1,1,1,-1,92,83,67,68,29,3,4,17,38,40,,,,,,MD,,,baltimore md,56,44,0,0
