State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
Maryland,Allegany County,4625,3618,1007
Maryland,Anne Arundel County,4736,3586,1150
Maryland,Baltimore County,0,0,0
Maryland,Calvert County,0,0,0
Maryland,Caroline County,0,0,0
Maryland,Carroll County,514,388,126
Maryland,Cecil County,59,43,16
Maryland,Charles County,0,0,0
Maryland,Dorchester County,0,0,0
Maryland,Frederick County,0,0,0
Maryland,Garrett County,0,0,0
Maryland,Harford County,0,0,0
Maryland,Howard County,820,618,202
Maryland,Kent County,0,0,0
Maryland,Montgomery County,0,0,0
Maryland,Prince George's County,0,0,0
Maryland,Queen Anne's County,168,111,57
Maryland,St. Mary's County,0,0,0
Maryland,Somerset County,3249,2438,811
Maryland,Talbot County,0,0,0
Maryland,Washington County,6166,4619,1547
Maryland,Wicomico County,122,81,41
Maryland,Worcester County,0,0,0
Maryland,Baltimore city,5914,5094,820
