fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
717,781,999,1297,1530,23,Androscoggin County,22940,ME,1
717,781,999,1297,1530,23,Androscoggin County,3910,ME,1
717,781,999,1297,1530,23,Androscoggin County,4355,ME,1
717,781,999,1297,1530,23,Androscoggin County,2300,ME,1
717,781,999,1297,1530,23,Androscoggin County,36210,ME,1
717,781,999,1297,1530,23,Androscoggin County,8870,ME,1
717,781,999,1297,1530,23,Androscoggin County,2075,ME,1
717,781,999,1297,1530,23,Androscoggin County,3135,ME,1
717,781,999,1297,1530,23,Androscoggin County,2990,ME,1
717,781,999,1297,1530,23,Androscoggin County,2590,ME,1
717,781,999,1297,1530,23,Androscoggin County,5520,ME,1
717,781,999,1297,1530,23,Androscoggin County,5010,ME,1
717,781,999,1297,1530,23,Androscoggin County,5745,ME,1
717,781,999,1297,1530,23,Androscoggin County,1665,ME,1
519,630,781,1046,1230,23,Aroostook County,215,ME,0
519,630,781,1046,1230,23,Aroostook County,180,ME,0
519,630,781,1046,1230,23,Aroostook County,1285,ME,0
519,630,781,1046,1230,23,Aroostook County,55,ME,0
519,630,781,1046,1230,23,Aroostook County,680,ME,0
519,630,781,1046,1230,23,Aroostook County,575,ME,0
519,630,781,1046,1230,23,Aroostook County,7825,ME,0
519,630,781,1046,1230,23,Aroostook County,240,ME,0
519,630,781,1046,1230,23,Aroostook County,315,ME,0
519,630,781,1046,1230,23,Aroostook County,240,ME,0
519,630,781,1046,1230,23,Aroostook County,95,ME,0
519,630,781,1046,1230,23,Aroostook County,485,ME,0
519,630,781,1046,1230,23,Aroostook County,415,ME,0
519,630,781,1046,1230,23,Aroostook County,270,ME,0
519,630,781,1046,1230,23,Aroostook County,95,ME,0
519,630,781,1046,1230,23,Aroostook County,280,ME,0
519,630,781,1046,1230,23,Aroostook County,725,ME,0
519,630,781,1046,1230,23,Aroostook County,1175,ME,0
519,630,781,1046,1230,23,Aroostook County,3365,ME,0
519,630,781,1046,1230,23,Aroostook County,3980,ME,0
519,630,781,1046,1230,23,Aroostook County,930,ME,0
519,630,781,1046,1230,23,Aroostook County,95,ME,0
519,630,781,1046,1230,23,Aroostook County,0,ME,0
519,630,781,1046,1230,23,Aroostook County,475,ME,0
519,630,781,1046,1230,23,Aroostook County,190,ME,0
519,630,781,1046,1230,23,Aroostook County,110,ME,0
519,630,781,1046,1230,23,Aroostook County,65,ME,0
519,630,781,1046,1230,23,Aroostook County,50,ME,0
519,630,781,1046,1230,23,Aroostook County,1595,ME,0
519,630,781,1046,1230,23,Aroostook County,5910,ME,0
519,630,781,1046,1230,23,Aroostook County,845,ME,0
519,630,781,1046,1230,23,Aroostook County,2035,ME,0
519,630,781,1046,1230,23,Aroostook County,645,ME,0
519,630,781,1046,1230,23,Aroostook County,1020,ME,0
519,630,781,1046,1230,23,Aroostook County,495,ME,0
519,630,781,1046,1230,23,Aroostook County,105,ME,0
519,630,781,1046,1230,23,Aroostook County,3860,ME,0
519,630,781,1046,1230,23,Aroostook County,2065,ME,0
519,630,781,1046,1230,23,Aroostook County,1400,ME,0
519,630,781,1046,1230,23,Aroostook County,265,ME,0
519,630,781,1046,1230,23,Aroostook County,225,ME,0
519,630,781,1046,1230,23,Aroostook County,680,ME,0
519,630,781,1046,1230,23,Aroostook County,15,ME,0
519,630,781,1046,1230,23,Aroostook County,35,ME,0
519,630,781,1046,1230,23,Aroostook County,400,ME,0
519,630,781,1046,1230,23,Aroostook County,500,ME,0
519,630,781,1046,1230,23,Aroostook County,595,ME,0
519,630,781,1046,1230,23,Aroostook County,110,ME,0
519,630,781,1046,1230,23,Aroostook County,745,ME,0
519,630,781,1046,1230,23,Aroostook County,210,ME,0
519,630,781,1046,1230,23,Aroostook County,0,ME,0
519,630,781,1046,1230,23,Aroostook County,415,ME,0
519,630,781,1046,1230,23,Aroostook County,330,ME,0
519,630,781,1046,1230,23,Aroostook County,9245,ME,0
519,630,781,1046,1230,23,Aroostook County,150,ME,0
