County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Androscoggin County,27900.0,31850.0,35850.0,39800.0,43000.0,46200.0,49400.0,52550.0,16750.0,19150.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,44600.0,51000.0,57350.0,63700.0,68800.0,73900.0,79000.0,84100.0
Aroostook County,25100.0,28650.0,32250.0,35800.0,38700.0,41550.0,44400.0,47300.0,15050.0,18310.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,40100.0,45800.0,51550.0,57250.0,61850.0,66450.0,71000.0,75600.0
Cumberland County,39100.0,44700.0,50300.0,55850.0,60350.0,64800.0,69300.0,73750.0,23450.0,26800.0,30150.0,33500.0,36200.0,38900.0,41910.0,46630.0,62550.0,71500.0,80450.0,89350.0,96500.0,103650.0,110800.0,117950.0
Franklin County,25100.0,28650.0,32250.0,35800.0,38700.0,41550.0,44400.0,47300.0,15050.0,18310.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,40100.0,45800.0,51550.0,57250.0,61850.0,66450.0,71000.0,75600.0
Hancock County,28150.0,32150.0,36150.0,40150.0,43400.0,46600.0,49800.0,53000.0,16900.0,19300.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,45000.0,51400.0,57850.0,64250.0,69400.0,74550.0,79700.0,84850.0
Kennebec County,28100.0,32100.0,36100.0,40100.0,43350.0,46550.0,49750.0,52950.0,16850.0,19250.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,44950.0,51350.0,57750.0,64150.0,69300.0,74450.0,79550.0,84700.0
Knox County,27550.0,31500.0,35450.0,39350.0,42500.0,45650.0,48800.0,51950.0,16550.0,18900.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,44100.0,50400.0,56700.0,62950.0,68000.0,73050.0,78100.0,83100.0
Lincoln County,28200.0,32200.0,36250.0,40250.0,43500.0,46700.0,49950.0,53150.0,16950.0,19350.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,45100.0,51550.0,58000.0,64400.0,69600.0,74750.0,79900.0,85050.0
Oxford County,25100.0,28650.0,32250.0,35800.0,38700.0,41550.0,44400.0,47300.0,15050.0,18310.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,40100.0,45800.0,51550.0,57250.0,61850.0,66450.0,71000.0,75600.0
Penobscot County,25100.0,28650.0,32250.0,35800.0,38700.0,41550.0,44400.0,47300.0,15050.0,18310.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,40100.0,45800.0,51550.0,57250.0,61850.0,66450.0,71000.0,75600.0
Piscataquis County,25100.0,28650.0,32250.0,35800.0,38700.0,41550.0,44400.0,47300.0,15050.0,18310.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,40100.0,45800.0,51550.0,57250.0,61850.0,66450.0,71000.0,75600.0
Sagadahoc County,30600.0,35000.0,39350.0,43700.0,47200.0,50700.0,54200.0,57700.0,18350.0,21000.0,23600.0,27750.0,32470.0,37190.0,41910.0,46630.0,48950.0,55950.0,62950.0,69900.0,75500.0,81100.0,86700.0,92300.0
Somerset County,25100.0,28650.0,32250.0,35800.0,38700.0,41550.0,44400.0,47300.0,15050.0,18310.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,40100.0,45800.0,51550.0,57250.0,61850.0,66450.0,71000.0,75600.0
Waldo County,25250.0,28850.0,32450.0,36050.0,38950.0,41850.0,44750.0,47600.0,15200.0,18310.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,40400.0,46200.0,51950.0,57700.0,62350.0,66950.0,71550.0,76200.0
Washington County,25100.0,28650.0,32250.0,35800.0,38700.0,41550.0,44400.0,47300.0,15050.0,18310.0,23030.0,27750.0,32470.0,37190.0,41910.0,46630.0,40100.0,45800.0,51550.0,57250.0,61850.0,66450.0,71000.0,75600.0
York County,32100.0,36700.0,41300.0,45850.0,49550.0,53200.0,56900.0,60550.0,19250.0,22000.0,24750.0,27750.0,32470.0,37190.0,41910.0,46630.0,51350.0,58700.0,66050.0,73350.0,79250.0,85100.0,91000.0,96850.0
