sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,androscoggin County,23001,-1,-1,3774,-1,5,23,2.0,7498,256,448,11.1,5.6,10,45,27,11,7,15,13,68,25,94,71,12,23,73,30,46,19,20,9,42,15,35,6,12,10,0,0,1,13,52,68,24,50,29,22,12,6,23,24,-1,-1,-1,-1,-1,ME,-1,-1,88,12,88,0,0
9,1,All HUD,-1,Aroostook County,23003,-1,-1,1767,-1,4,25,1.8,3140,242,435,10.9,6.1,12,48,24,10,7,16,10,70,24,83,60,11,21,73,27,46,30,26,8,42,16,33,5,2,1,1,0,1,11,63,48,13,46,33,21,18,4,15,53,-1,-1,-1,-1,-1,ME,-1,-1,98,2,98,0,0
9,1,All HUD,-1,Cumberland County,23005,-1,-1,7152,-1,4,18,1.9,13253,293,571,12.8,6.9,6,38,27,15,14,21,9,68,24,95,73,11,20,73,27,51,19,23,4,41,16,38,6,13,7,1,3,2,21,72,48,21,56,25,19,8,8,15,34,-1,-1,-1,-1,-1,ME,-1,-1,87,13,87,0,0
9,1,All HUD,-1,Franklin County,23007,-1,-1,291,-1,4,26,1.8,517,257,506,10.6,6.0,6,50,29,11,4,10,10,79,22,73,47,8,22,83,27,60,29,31,4,43,13,39,9,1,0,0,0,0,10,65,69,21,49,26,24,18,1,10,36,-1,-1,-1,-1,-1,ME,-1,-1,99,1,99,0,0
9,1,All HUD,-1,Hancock County,23009,-1,-1,789,-1,6,32,1.6,1259,260,420,11.5,7.3,10,41,29,13,8,15,5,75,18,63,44,7,20,76,25,47,19,24,5,36,15,44,7,1,0,0,0,1,9,62,49,11,61,29,10,10,2,7,43,-1,-1,-1,-1,-1,ME,-1,-1,99,1,99,0,0
9,1,All HUD,-1,Kennebec County,23011,-1,-1,2342,-1,5,22,1.7,3981,259,409,10.8,6.4,6,50,27,11,6,12,9,77,23,87,64,9,19,72,24,63,26,33,6,43,16,35,5,3,1,0,0,1,23,57,48,23,55,29,16,13,4,16,40,-1,-1,-1,-1,-1,ME,-1,-1,97,3,97,0,0
9,1,All HUD,-1,Knox County,23013,-1,-1,533,-1,6,21,1.7,914,260,522,11.2,6.5,8,45,29,12,7,14,10,73,23,84,59,9,20,74,26,52,22,25,7,37,16,41,8,1,0,0,0,0,21,51,54,55,58,27,15,9,2,13,48,-1,-1,-1,-1,-1,ME,-1,-1,99,1,99,0,0
9,1,All HUD,-1,Lincoln County,23015,-1,-1,267,-1,6,15,1.5,400,244,506,10.4,6.9,6,52,28,10,4,12,4,82,22,89,68,1,19,74,20,58,23,28,5,29,15,51,6,1,0,0,0,0,21,63,30,5,69,21,11,8,2,10,64,-1,-1,-1,-1,-1,ME,-1,-1,99,1,99,0,0
9,1,All HUD,-1,Oxford County,23017,-1,-1,828,-1,5,23,2.0,1661,243,494,10.2,5.1,15,48,22,9,7,15,17,66,22,82,62,13,29,75,37,47,34,24,8,51,17,24,3,0,0,0,0,0,12,56,76,44,39,33,28,18,2,13,52,-1,-1,-1,-1,-1,ME,-1,-1,100,0,100,0,0
9,1,All HUD,-1,Penobscot County,23019,-1,-1,2815,-1,5,22,1.8,5024,265,454,11.7,6.5,7,48,25,10,10,20,9,70,26,89,66,11,23,76,30,53,24,26,8,44,15,33,4,3,1,1,0,1,12,59,26,30,54,25,21,9,5,19,37,-1,-1,-1,-1,-1,ME,-1,-1,97,3,97,0,0
