Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2020-12-31 00:00:00,County,ME Maine,ME Androscoggin County 23001,9,Summary of All HUD Programs,1,,androscoggin County,23001,4140,90,3738,100,6,13,2.1,7780,369,619,15633,7511,3,30,25,18,23,18,3,74,28,93,64,5,27,70,27,50,39,25,4,40,20,37,5,21,19,0,0,77,0,1,0,1,1,18,80,69,58,52,24,24,11,29,17,29,,,,,,ME,,,androscoggin me,23,77,0,0
2020-12-31 00:00:00,County,ME Maine,ME Androscoggin County 23001,9,Public Housing,2,,androscoggin County,23001,614,97,593,100,6,12,2.2,1277,396,522,17935,8328,3,25,28,17,28,22,1,72,31,87,61,6,26,62,25,49,40,23,1,38,22,39,4,21,18,1,1,79,0,1,-1,1,1,13,80,97,42,62,11,28,5,18,10,47,,,,,,ME,,,androscoggin me,21,79,0,0
2020-12-31 00:00:00,County,ME Maine,ME Androscoggin County 23001,9,Housing Choice Vouchers,3,,androscoggin County,23001,2109,84,1748,98,5,13,2.3,4041,385,555,15810,6839,3,34,24,15,24,19,2,74,27,94,68,5,33,72,34,56,61,29,3,47,24,26,2,20,18,0,0,80,0,1,0,1,1,20,86,82,61,42,30,28,14,29,16,29,,,,,,ME,,,androscoggin me,20,80,0,0
2020-12-31 00:00:00,County,ME Maine,ME Androscoggin County 23001,9,Mod Rehab,4,,androscoggin County,23001,167,89,150,100,2,21,1.5,230,344,483,15389,10036,3,17,27,28,25,11,1,82,30,94,49,2,15,77,16,31,21,17,3,21,10,65,27,7,6,-1,1,93,-1,-1,-1,0,0,3,57,5,69,79,11,11,2,38,22,16,,,,,,ME,,,androscoggin me,7,93,0,0
2020-12-31 00:00:00,County,ME Maine,ME Androscoggin County 23001,9,Project Based Section 8,5,,androscoggin County,23001,1172,97,1174,100,7,14,1.8,2159,338,787,14401,7831,5,29,25,20,21,17,4,75,27,93,63,6,22,70,23,36,25,18,6,33,14,48,7,24,21,1,0,69,0,1,1,2,2,-1,74,46,66,57,25,18,9,34,21,21,,,,,,ME,,,androscoggin me,24,69,7,0
2020-12-31 00:00:00,County,ME Maine,ME Androscoggin County 23001,9,202/PRAC,8,,androscoggin County,23001,27,98,27,100,11,4,1.0,27,345,421,14971,14971,-1,19,30,44,7,-1,-1,100,33,100,37,-1,-1,85,-1,-1,11,11,-1,-1,-1,100,15,0,-1,-1,-1,81,-1,-1,-1,0,0,-1,59,-1,-1,100,-1,-1,-1,33,13,23,,,,,,ME,,,androscoggin me,7,93,0,1
2020-12-31 00:00:00,County,ME Maine,ME Androscoggin County 23001,9,811/PRAC,9,,androscoggin County,23001,51,87,46,100,9,15,1.0,46,288,771,11912,11912,2,38,36,24,-1,4,-1,93,25,100,70,-1,-1,39,-1,100,100,100,2,63,17,17,-1,0,-1,-1,-1,76,-1,-1,-1,0,0,-1,107,-1,-1,83,-1,17,17,20,17,44,,,,,,ME,,,androscoggin me,3,97,0,1
2020-12-31 00:00:00,County,ME Maine,ME Aroostook County 23003,9,Summary of All HUD Programs,1,,Aroostook County,23003,1651,90,1525,100,5,15,1.7,2519,316,621,13302,8053,5,34,29,16,16,13,3,79,26,95,70,5,19,68,19,57,44,35,3,34,22,40,6,5,1,2,0,94,0,1,0,1,1,14,87,40,78,52,28,21,20,19,5,62,,,,,,ME,,,aroostook me,6,94,0,0
2020-12-31 00:00:00,County,ME Maine,ME Aroostook County 23003,9,Public Housing,2,,Aroostook County,23003,356,95,339,100,6,18,2.1,713,363,716,16523,7856,3,28,21,15,32,27,5,63,30,86,57,9,29,73,31,36,44,22,7,43,15,35,4,6,1,3,0,94,0,1,-1,2,1,6,82,24,35,34,26,40,26,23,5,58,,,,,,ME,,,aroostook me,6,94,0,0
2020-12-31 00:00:00,County,ME Maine,ME Aroostook County 23003,9,Housing Choice Vouchers,3,,Aroostook County,23003,798,85,702,100,5,14,1.6,1152,295,517,11629,7086,7,38,31,15,9,11,3,79,23,98,79,4,20,67,20,62,67,44,2,39,28,30,3,5,2,2,0,95,0,1,0,1,1,19,93,59,91,47,33,20,24,19,6,63,,,,,,ME,,,aroostook me,5,95,0,0
2020-12-31 00:00:00,County,ME Maine,ME Aroostook County 23003,9,Mod Rehab,4,,Aroostook County,23003,29,76,24,100,4,33,1.7,40,194,717,8119,4872,10,62,29,-1,-1,4,8,75,16,100,100,13,17,83,25,55,100,38,8,46,38,8,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,14,40,71,45,-1,100,-1,54,15,3,75,,,,,,ME,,,aroostook me,0,100,0,0
2020-12-31 00:00:00,County,ME Maine,ME Aroostook County 23003,9,Project Based Section 8,5,,Aroostook County,23003,467,96,459,100,4,15,1.3,613,319,704,13754,10299,2,30,33,19,15,7,1,89,28,96,63,2,10,66,10,70,27,34,1,20,17,61,11,4,1,1,0,95,-1,1,-1,1,1,-1,83,21,62,74,17,9,10,17,5,64,,,,,,ME,,,aroostook me,5,95,0,0
2020-12-31 00:00:00,County,ME Maine,ME Aroostook County 23003,9,202/PRAC,8,,Aroostook County,23003,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,ME,,,aroostook me,-4,-4,0,0
