fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
653,653,757,983,1161,26,Alcona County,10415,MI,0
524,637,757,936,1072,26,Alger County,9255,MI,0
678,683,890,1184,1207,26,Allegan County,114145,MI,0
524,621,757,1065,1154,26,Alpena County,28730,MI,0
503,649,757,1028,1209,26,Antrim County,23135,MI,0
519,599,757,1043,1175,26,Arenac County,15240,MI,0
572,579,757,936,1080,26,Baraga County,8580,MI,0
582,687,830,1135,1190,26,Barry County,59605,MI,0
522,611,786,1031,1118,26,Bay County,105350,MI,1
607,667,877,1084,1290,26,Benzie County,17460,MI,0
646,655,845,1094,1252,26,Berrien County,154950,MI,1
619,629,796,1009,1079,26,Branch County,43545,MI,0
602,670,841,1091,1183,26,Calhoun County,134325,MI,1
593,655,845,1102,1151,26,Cass County,51395,MI,1
571,647,825,1172,1339,26,Charlevoix County,26160,MI,0
537,590,776,959,1052,26,Cheboygan County,25475,MI,0
532,608,800,989,1085,26,Chippewa County,38025,MI,0
524,575,757,1016,1163,26,Clare County,30595,MI,0
733,767,936,1203,1269,26,Clinton County,77320,MI,1
565,611,804,1022,1090,26,Crawford County,13820,MI,0
587,591,757,1053,1181,26,Delta County,36395,MI,0
533,639,770,952,1044,26,Dickinson County,25695,MI,0
733,767,936,1203,1269,26,Eaton County,108585,MI,1
595,685,896,1161,1296,26,Emmet County,32980,MI,0
545,645,821,1034,1113,26,Genesee County,410880,MI,1
524,577,757,966,1032,26,Gladwin County,25325,MI,0
524,606,757,1075,1280,26,Gogebic County,15575,MI,0
698,863,1009,1248,1368,26,Grand Traverse County,91220,MI,0
503,575,757,986,1240,26,Gratiot County,41320,MI,0
561,616,811,1003,1100,26,Hillsdale County,45910,MI,0
503,612,757,1075,1296,26,Houghton County,36335,MI,0
572,575,757,936,1085,26,Huron County,31750,MI,0
733,767,936,1203,1269,26,Ingham County,286185,MI,1
667,672,884,1097,1302,26,Ionia County,64145,MI,1
645,649,757,1025,1296,26,Iosco County,25315,MI,0
513,592,757,1068,1072,26,Iron County,11290,MI,0
611,680,810,1057,1098,26,Isabella County,70570,MI,0
615,734,866,1136,1274,26,Jackson County,158990,MI,1
613,711,879,1160,1252,26,Kalamazoo County,259830,MI,1
503,575,757,998,1103,26,Kalkaska County,17360,MI,0
798,859,1041,1356,1538,26,Kent County,636375,MI,1
524,578,757,1068,1072,26,Keweenaw County,2135,MI,0
524,575,757,1022,1072,26,Lake County,11670,MI,0
733,848,1084,1371,1473,26,Lapeer County,88205,MI,1
658,739,933,1234,1597,26,Leelanau County,21565,MI,0
541,642,815,1099,1213,26,Lenawee County,98585,MI,0
747,938,1125,1504,1664,26,Livingston County,186945,MI,1
525,600,759,979,1029,26,Luce County,6405,MI,0
524,664,757,983,1291,26,Mackinac County,10835,MI,0
733,848,1084,1371,1473,26,Macomb County,864020,MI,1
639,643,846,1072,1147,26,Manistee County,24430,MI,0
556,643,835,1032,1429,26,Marquette County,67145,MI,0
576,588,774,973,1050,26,Mason County,28800,MI,0
552,646,766,974,1136,26,Mecosta County,43180,MI,0
566,644,757,1040,1158,26,Menominee County,23390,MI,0
582,661,870,1210,1341,26,Midland County,83490,MI,1
571,628,826,1021,1120,26,Missaukee County,14980,MI,0
631,723,941,1237,1503,26,Monroe County,149620,MI,1
608,639,782,978,1230,26,Montcalm County,62955,MI,1
524,635,757,1068,1072,26,Montmorency County,9290,MI,0
591,655,855,1091,1159,26,Muskegon County,172705,MI,1
538,615,809,1015,1097,26,Newaygo County,47900,MI,0
733,848,1084,1371,1473,26,Oakland County,1241860,MI,1
575,575,757,1002,1091,26,Oceana County,26315,MI,0
582,664,757,958,1055,26,Ogemaw County,20980,MI,0
524,647,757,936,1072,26,Ontonagon County,6070,MI,0
524,575,757,945,1091,26,Osceola County,23220,MI,0
524,648,757,1027,1072,26,Oscoda County,8305,MI,0
609,669,880,1128,1291,26,Otsego County,24245,MI,0
814,852,971,1329,1381,26,Ottawa County,280245,MI,1
524,575,757,993,1152,26,Presque Isle County,12855,MI,0
578,581,757,1023,1027,26,Roscommon County,23935,MI,0
553,633,833,1041,1130,26,Saginaw County,193805,MI,1
733,848,1084,1371,1473,26,St. Clair County,159760,MI,1
526,592,760,1004,1071,26,St. Joseph County,60890,MI,0
559,575,757,985,1116,26,Sanilac County,41535,MI,0
524,575,757,974,1072,26,Schoolcraft County,8115,MI,0
581,585,770,1026,1105,26,Shiawassee County,68615,MI,1
524,626,757,1050,1108,26,Tuscola County,53570,MI,0
561,635,793,1053,1134,26,Van Buren County,75190,MI,0
1047,1048,1262,1560,1816,26,Washtenaw County,361510,MI,1
733,848,1084,1371,1473,26,Wayne County,1763820,MI,1
547,608,791,1007,1173,26,Wexford County,32915,MI,0
