State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
MI,Alcona County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Alger County,19050,21750,24450,27150,29350,31500,33700,35850,11450,13050,14700,16300,17650,18950,20250,21550,30450,34800,39150,43450,46950,50450,53900,57400
MI,Allegan County,21550,24600,27700,30750,33250,35700,38150,40600,12950,14800,16650,18450,19950,21450,22900,24400,34450,39400,44300,49200,53150,57100,61050,64950
MI,Alpena County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Antrim County,18800,21500,24200,26850,29000,31150,33300,35450,11300,12900,14500,16100,17400,18700,20000,21300,30100,34400,38700,42950,46400,49850,53300,56700
MI,Arenac County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Baraga County,18100,20650,23250,25800,27900,29950,32000,34100,10850,12400,13950,15500,16750,18000,19250,20500,28950,33050,37200,41300,44650,47950,51250,54550
MI,Barry County,22550,25800,29000,32200,34800,37400,39950,42550,13550,15450,17400,19300,20850,22400,23950,25500,36050,41200,46350,51500,55650,59750,63900,68000
MI,Bay County,20200,23100,26000,28850,31200,33500,35800,38100,12150,13850,15600,17300,18700,20100,21500,22850,32350,36950,41550,46150,49850,53550,57250,60950
MI,Benzie County,19050,21750,24450,27150,29350,31500,33700,35850,11450,13050,14700,16300,17650,18950,20250,21550,30450,34800,39150,43450,46950,50450,53900,57400
MI,Berrien County,20100,23000,25850,28700,31000,33300,35600,37900,12050,13800,15500,17200,18600,20000,21350,22750,32150,36750,41350,45900,49600,53250,56950,60600
MI,Branch County,19250,22000,24750,27500,29700,31900,34100,36300,11550,13200,14850,16500,17850,19150,20500,21800,30800,35200,39600,44000,47550,51050,54600,58100
MI,Calhoun County,18450,21050,23700,26300,28450,30550,32650,34750,11100,12650,14250,15800,17100,18350,19600,20900,29500,33700,37900,42100,45500,48850,52250,55600
MI,Cass County,19850,22700,25550,28350,30650,32900,35200,37450,11900,13600,15300,17000,18400,19750,21100,22450,31750,36300,40850,45350,49000,52650,56250,59900
MI,Charlevoix County,20350,23250,26150,29050,31400,33700,36050,38350,12250,14000,15750,17450,18850,20250,21650,23050,32550,37200,41850,46500,50250,53950,57700,61400
MI,Cheboygan County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Chippewa County,19050,21750,24450,27150,29350,31500,33700,35850,11450,13050,14700,16300,17650,18950,20250,21550,30450,34800,39150,43450,46950,50450,53900,57400
MI,Clare County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Clinton County,23750,27150,30550,33900,36650,39350,42050,44750,14250,16300,18350,20350,22000,23650,25250,26900,38000,43400,48850,54250,58600,62950,67300,71650
MI,Crawford County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Delta County,18700,21350,24000,26650,28800,30950,33050,35200,11200,12800,14400,16000,17300,18600,19850,21150,29900,34150,38400,42650,46100,49500,52900,56300
MI,Dickinson County,19550,22350,25150,27900,30150,32400,34600,36850,11750,13400,15100,16750,18100,19450,20800,22150,31300,35750,40200,44650,48250,51800,55400,58950
MI,Eaton County,23750,27150,30550,33900,36650,39350,42050,44750,14250,16300,18350,20350,22000,23650,25250,26900,38000,43400,48850,54250,58600,62950,67300,71650
MI,Emmet County,21850,25000,28100,31200,33700,36200,38700,41200,13100,15000,16850,18700,20200,21700,23200,24700,34950,39950,44950,49900,53900,57900,61900,65900
MI,Genesee County,20200,23100,26000,28850,31200,33500,35800,38100,12150,13850,15600,17300,18700,20100,21500,22850,32350,36950,41550,46150,49850,53550,57250,60950
MI,Gladwin County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Gogebic County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Grand Traverse County,22350,25550,28750,31900,34500,37050,39600,42150,13450,15350,17250,19150,20700,22250,23750,25300,35750,40850,45950,51050,55150,59250,63350,67400
MI,Gratiot County,18550,21200,23850,26450,28600,30700,32800,34950,11100,12700,14300,15850,17150,18400,19700,20950,29650,33850,38100,42300,45700,49100,52500,55850
MI,Hillsdale County,18750,21400,24100,26750,28900,31050,33200,35350,11250,12850,14450,16050,17350,18650,19950,21200,30000,34250,38550,42800,46250,49650,53100,56500
MI,Houghton County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Huron County,18200,20800,23400,26000,28100,30200,32250,34350,10950,12500,14050,15600,16850,18100,19350,20600,29150,33300,37450,41600,44950,48300,51600,54950
MI,Ingham County,23750,27150,30550,33900,36650,39350,42050,44750,14250,16300,18350,20350,22000,23650,25250,26900,38000,43400,48850,54250,58600,62950,67300,71650
MI,Ionia County,20450,23350,26250,29150,31500,33850,36150,38500,12250,14000,15750,17500,18900,20300,21700,23100,32700,37350,42000,46650,50400,54150,57850,61600
MI,Iosco County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Iron County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Isabella County,20400,23300,26200,29100,31450,33800,36100,38450,12250,14000,15750,17450,18850,20250,21650,23050,32600,37250,41900,46550,50300,54000,57750,61450
MI,Jackson County,21300,24350,27400,30400,32850,35300,37700,40150,12800,14600,16450,18250,19750,21200,22650,24100,34100,38950,43800,48650,52550,56450,60350,64250
MI,Kalamazoo County,21850,25000,28100,31200,33700,36200,38700,41200,13100,15000,16850,18700,20200,21700,23200,24700,34950,39950,44950,49900,53900,57900,61900,65900
MI,Kalkaska County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Kent County,20850,23800,26800,29750,32150,34550,36900,39300,12500,14300,16100,17850,19300,20750,22150,23600,33350,38100,42850,47600,51450,55250,59050,62850
MI,Keweenaw County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Lake County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Lapeer County,23250,26600,29900,33200,35900,38550,41200,43850,13950,15950,17950,19900,21500,23100,24700,26300,37200,42500,47800,53100,57350,61600,65850,70100
MI,Leelanau County,23150,26450,29750,33050,35700,38350,41000,43650,13900,15900,17900,19850,21450,23050,24650,26250,37050,42350,47650,52900,57150,61400,65600,69850
MI,Lenawee County,24700,28200,31750,35250,38100,40900,43750,46550,14850,16950,19050,21150,22850,24550,26250,27950,39550,45200,50850,56450,61000,65500,70000,74550
MI,Livingston County,29150,33300,37450,41600,44950,48300,51600,54950,17500,20000,22500,24950,26950,28950,30950,32950,44950,51400,57800,64200,69350,74500,79650,84750
MI,Luce County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Mackinac County,18750,21400,24100,26750,28900,31050,33200,35350,11250,12850,14450,16050,17350,18650,19950,21200,30000,34250,38550,42800,46250,49650,53100,56500
MI,Macomb County,23250,26600,29900,33200,35900,38550,41200,43850,13950,15950,17950,19900,21500,23100,24700,26300,37200,42500,47800,53100,57350,61600,65850,70100
MI,Manistee County,18000,20600,23150,25700,27800,29850,31900,33950,10800,12350,13900,15400,16650,17900,19100,20350,28800,32900,37000,41100,44400,47700,51000,54300
MI,Marquette County,21500,24550,27600,30650,33150,35600,38050,40500,12900,14750,16600,18400,19900,21350,22850,24300,34300,39200,44100,49000,52950,56850,60800,64700
