State code,PUMA,County code,State abbr.,County_Name,allocation factor
27,101,27005,MN,Becker MN,0.2391
27,101,27007,MN,Beltrami MN,0.0689
27,101,27029,MN,Clearwater MN,0.0579
27,101,27069,MN,Kittson MN,0.0286
27,101,27077,MN,Lake of the Woods MN,0.0256
27,101,27087,MN,Mahnomen MN,0.0368
27,101,27089,MN,Marshall MN,0.0614
27,101,27107,MN,Norman MN,0.0438
27,101,27113,MN,Pennington MN,0.0951
27,101,27119,MN,Polk MN,0.212
27,101,27125,MN,Red Lake MN,0.0267
27,101,27135,MN,Roseau MN,0.1042
27,201,27007,MN,Beltrami MN,0.2496
27,201,27021,MN,Cass MN,0.208
27,201,27057,MN,Hubbard MN,0.1476
27,201,27061,MN,Itasca MN,0.3114
27,201,27071,MN,Koochiching MN,0.0834
27,301,27031,MN,Cook MN,0.0539
27,301,27075,MN,Lake MN,0.1049
27,301,27137,MN,St. Louis MN,0.8412
27,401,27137,MN,St. Louis MN,1.0
27,501,27001,MN,Aitkin MN,0.1466
27,501,27017,MN,Carlton MN,0.3382
27,501,27065,MN,Kanabec MN,0.1497
27,501,27115,MN,Pine MN,0.2697
27,501,27137,MN,St. Louis MN,0.0958
27,600,27035,MN,Crow Wing MN,0.4741
27,600,27097,MN,Morrison MN,0.2439
27,600,27153,MN,Todd MN,0.1811
27,600,27159,MN,Wadena MN,0.1009
27,700,27027,MN,Clay MN,0.4952
27,700,27111,MN,Otter Tail MN,0.4555
27,700,27167,MN,Wilkin MN,0.0493
27,800,27011,MN,Big Stone MN,0.0456
27,800,27023,MN,Chippewa MN,0.1112
27,800,27041,MN,Douglas MN,0.3444
27,800,27051,MN,Grant MN,0.0536
27,800,27073,MN,Lac qui Parle MN,0.0593
27,800,27121,MN,Pope MN,0.0998
27,800,27149,MN,Stevens MN,0.0854
27,800,27151,MN,Swift MN,0.0869
27,800,27155,MN,Traverse MN,0.0297
27,800,27173,MN,Yellow Medicine MN,0.0841
27,901,27009,MN,Benton MN,0.1821
27,901,27145,MN,Stearns MN,0.8179
27,1001,27009,MN,Benton MN,0.2115
27,1001,27141,MN,Sherburne MN,0.1007
27,1001,27145,MN,Stearns MN,0.6877
27,1101,27141,MN,Sherburne MN,0.8423
27,1101,27171,MN,Wright MN,0.1577
27,1200,27025,MN,Chisago MN,0.4558
27,1200,27059,MN,Isanti MN,0.3312
27,1200,27095,MN,Mille Lacs MN,0.213
27,1301,27003,MN,Anoka MN,1.0
27,1302,27003,MN,Anoka MN,1.0
27,1303,27003,MN,Anoka MN,1.0
27,1401,27163,MN,Washington MN,1.0
27,1402,27163,MN,Washington MN,1.0
27,1501,27123,MN,Ramsey MN,1.0
27,1502,27123,MN,Ramsey MN,1.0
27,1503,27123,MN,Ramsey MN,1.0
27,1504,27123,MN,Ramsey MN,1.0
27,1505,27123,MN,Ramsey MN,1.0
27,1601,27053,MN,Hennepin MN,1.0
27,1602,27053,MN,Hennepin MN,1.0
27,1603,27053,MN,Hennepin MN,1.0
27,1604,27053,MN,Hennepin MN,1.0
27,1605,27053,MN,Hennepin MN,1.0
27,1606,27053,MN,Hennepin MN,1.0
27,1607,27053,MN,Hennepin MN,1.0
27,1608,27053,MN,Hennepin MN,1.0
27,1609,27053,MN,Hennepin MN,1.0
27,1610,27053,MN,Hennepin MN,1.0
27,1611,27053,MN,Hennepin MN,1.0
27,1701,27037,MN,Dakota MN,1.0
27,1702,27037,MN,Dakota MN,1.0
27,1703,27037,MN,Dakota MN,1.0
27,1704,27037,MN,Dakota MN,1.0
27,1800,27139,MN,Scott MN,1.0
27,1900,27019,MN,Carver MN,1.0
27,2001,27171,MN,Wright MN,1.0
27,2100,27067,MN,Kandiyohi MN,0.3277
27,2100,27085,MN,McLeod MN,0.2755
27,2100,27093,MN,Meeker MN,0.1753
27,2100,27129,MN,Renville MN,0.1103
27,2100,27143,MN,Sibley MN,0.1112
27,2200,27033,MN,Cottonwood MN,0.0981
27,2200,27063,MN,Jackson MN,0.0851
27,2200,27081,MN,Lincoln MN,0.048
27,2200,27083,MN,Lyon MN,0.2152
27,2200,27101,MN,Murray MN,0.0696
27,2200,27105,MN,Nobles MN,0.1898
27,2200,27117,MN,Pipestone MN,0.0802
27,2200,27127,MN,Redwood MN,0.1313
27,2200,27133,MN,Rock MN,0.0826
27,2300,27015,MN,Brown MN,0.254
27,2300,27043,MN,Faribault MN,0.1365
27,2300,27047,MN,Freeborn MN,0.3029
27,2300,27091,MN,Martin MN,0.1963
27,2300,27165,MN,Watonwan MN,0.1103
27,2400,27013,MN,Blue Earth MN,0.6673
27,2400,27103,MN,Nicollet MN,0.3327
27,2500,27079,MN,Le Sueur MN,0.1885
27,2500,27131,MN,Rice MN,0.441
27,2500,27147,MN,Steele MN,0.2459
27,2500,27161,MN,Waseca MN,0.1247
27,2600,27049,MN,Goodhue MN,0.4011
27,2600,27157,MN,Wabasha MN,0.1803
27,2600,27169,MN,Winona MN,0.4187
27,2700,27109,MN,Olmsted MN,1.0
27,2800,27039,MN,Dodge MN,0.2067
27,2800,27045,MN,Fillmore MN,0.2102
27,2800,27055,MN,Houston MN,0.1866
27,2800,27099,MN,Mower MN,0.3965
