fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
561,603,793,1077,1078,27,Aitkin County,15840,MN,0
932,1078,1329,1841,2145,27,Anoka County,344860,MN,1
538,645,810,1083,1290,27,Becker County,33550,MN,0
605,692,910,1137,1314,27,Beltrami County,45845,MN,0
688,722,886,1216,1429,27,Benton County,39360,MN,1
503,575,757,1075,1188,27,Big Stone County,5040,MN,0
710,776,992,1378,1698,27,Blue Earth County,65765,MN,1
503,589,757,975,1215,27,Brown County,25245,MN,0
692,715,936,1221,1515,27,Carlton County,35410,MN,1
932,1078,1329,1841,2145,27,Carver County,98800,MN,1
527,603,793,1014,1075,27,Cass County,28810,MN,0
513,582,757,1026,1184,27,Chippewa County,12040,MN,0
932,1078,1329,1841,2145,27,Chisago County,54295,MN,1
597,705,859,1220,1470,27,Clay County,62040,MN,1
572,575,757,1075,1124,27,Clearwater County,8825,MN,0
503,661,757,1075,1296,27,Cook County,5270,MN,0
503,615,757,936,1296,27,Cottonwood County,11435,MN,0
588,673,885,1150,1232,27,Crow Wing County,63505,MN,0
932,1078,1329,1841,2145,27,Dakota County,414655,MN,1
732,865,1094,1554,1872,27,Dodge County,20485,MN,1
538,647,810,1094,1098,27,Douglas County,36890,MN,0
503,594,757,1027,1087,27,Faribault County,13965,MN,0
614,618,813,1112,1194,27,Fillmore County,20825,MN,1
528,603,794,985,1190,27,Freeborn County,30620,MN,0
671,720,851,1209,1408,27,Goodhue County,46140,MN,0
503,604,757,1075,1162,27,Grant County,5925,MN,0
932,1078,1329,1841,2145,27,Hennepin County,1224765,MN,1
618,724,930,1300,1592,27,Houston County,18710,MN,1
530,606,797,1033,1108,27,Hubbard County,20745,MN,0
932,1078,1329,1841,2145,27,Isanti County,38585,MN,1
668,673,885,1094,1200,27,Itasca County,45235,MN,0
503,575,757,936,1027,27,Jackson County,10105,MN,0
612,700,921,1244,1249,27,Kanabec County,15950,MN,0
618,671,817,1161,1398,27,Kandiyohi County,42575,MN,0
503,575,757,936,1112,27,Kittson County,4385,MN,0
503,575,757,945,1101,27,Koochiching County,12775,MN,0
503,575,757,936,1095,27,Lac qui Parle County,6840,MN,0
611,680,826,1116,1120,27,Lake County,10580,MN,1
549,630,826,1021,1201,27,Lake of the Woods County,3840,MN,0
659,733,964,1301,1494,27,Le Sueur County,27810,MN,1
503,590,757,999,1027,27,Lincoln County,5725,MN,0
526,575,757,1064,1239,27,Lyon County,25790,MN,0
606,624,821,1166,1405,27,McLeod County,35815,MN,0
567,627,757,936,1027,27,Mahnomen County,5500,MN,0
503,575,757,960,1296,27,Marshall County,9395,MN,0
514,587,773,1044,1048,27,Martin County,20085,MN,0
541,619,814,1094,1232,27,Meeker County,23105,MN,0
639,731,962,1367,1647,27,Mille Lacs County,25635,MN,1
513,581,765,1079,1151,27,Morrison County,32880,MN,0
561,642,845,1151,1257,27,Mower County,39385,MN,0
503,575,757,1075,1101,27,Murray County,8395,MN,0
710,776,992,1378,1698,27,Nicollet County,33475,MN,1
618,622,818,1073,1109,27,Nobles County,21855,MN,0
503,575,757,936,1101,27,Norman County,6590,MN,0
732,865,1094,1554,1872,27,Olmsted County,151685,MN,1
590,594,781,1029,1128,27,Otter Tail County,57790,MN,0
543,621,817,1047,1188,27,Pennington County,14195,MN,0
662,667,877,1140,1252,27,Pine County,29055,MN,0
503,660,757,1014,1153,27,Pipestone County,9230,MN,0
605,669,854,1213,1462,27,Polk County,31565,MN,1
555,621,817,1010,1188,27,Pope County,10930,MN,0
932,1078,1329,1841,2145,27,Ramsey County,537895,MN,1
555,582,757,1075,1101,27,Red Lake County,4015,MN,0
503,660,757,1075,1165,27,Redwood County,15430,MN,0
626,630,757,1075,1190,27,Renville County,14800,MN,0
690,749,986,1337,1493,27,Rice County,65250,MN,0
529,605,796,1022,1116,27,Rock County,9435,MN,0
532,609,801,990,1086,27,Roseau County,15535,MN,0
692,715,936,1221,1515,27,St. Louis County,200295,MN,1
932,1078,1329,1841,2145,27,Scott County,141465,MN,1
932,1078,1329,1841,2145,27,Sherburne County,92025,MN,1
521,637,784,991,1134,27,Sibley County,14890,MN,0
688,722,886,1216,1429,27,Stearns County,155300,MN,1
572,661,861,1223,1474,27,Steele County,36610,MN,0
503,664,757,1075,1218,27,Stevens County,9760,MN,0
572,575,757,947,1027,27,Swift County,9450,MN,0
503,639,757,1023,1027,27,Todd County,24425,MN,0
503,576,757,1005,1101,27,Traverse County,3355,MN,0
522,656,757,1075,1236,27,Wabasha County,21490,MN,1
503,639,757,936,1072,27,Wadena County,13625,MN,0
575,579,757,1075,1096,27,Waseca County,18900,MN,0
932,1078,1329,1841,2145,27,Washington County,250980,MN,1
503,664,757,1075,1150,27,Watonwan County,10935,MN,0
503,575,757,1075,1296,27,Wilkin County,6400,MN,0
553,668,833,1114,1316,27,Winona County,50990,MN,0
932,1078,1329,1841,2145,27,Wright County,131130,MN,1
503,575,757,954,1027,27,Yellow Medicine County,9930,MN,0
