Name,Subsidized units available,% Minority,%White Non-Hispanic
Pipestone County,53,0,0
Hubbard County,96,0,0
Grant County,54,0,0
Cass County,51,0,0
Wilkin County,11,0,0
Watonwan County,15,0,0
Murray County,16,0,0
Lake of the Woods County,3,0,0
Lake County,4,0,0
Kittson County,6,0,0
Cottonwood County,13,0,0
Cook County,1,0,0
Meeker County,74,0,100
Lincoln County,18,0,100
Big Stone County,37,0,100
Aitkin County,16,0,100
Brown County,127,1,99
Pope County,26,5,95
Pine County,18,5,95
Morrison County,220,5,95
Wadena County,130,6,94
Mille Lacs County,19,6,94
Marshall County,39,6,94
Kanabec County,32,6,94
Wabasha County,54,7,93
Norman County,46,8,92
Martin County,144,8,92
Itasca County,307,8,92
Douglas County,235,8,92
Sibley County,33,9,91
Roseau County,82,9,91
Koochiching County,127,9,91
Todd County,209,10,90
Isanti County,62,10,90
Crow Wing County,326,10,90
Waseca County,93,11,89
Lac qui Parle County,28,11,89
Chisago County,51,11,89
Chippewa County,99,12,88
Swift County,86,13,87
Otter Tail County,363,13,87
Renville County,89,13,88
Red Lake County,18,14,86
Pennington County,115,14,86
Carlton County,159,14,86
Yellow Medicine County,63,15,85
Stevens County,98,16,84
Jackson County,27,18,82
Faribault County,90,20,80
Clearwater County,27,20,80
Dodge County,61,21,79
Traverse County,30,22,78
Becker County,248,22,78
Houston County,64,24,76
McLeod County,124,25,75
Freeborn County,159,26,74
Winona County,240,27,73
Le Sueur County,117,27,73
St. Louis County,2370,28,72
Redwood County,34,29,71
Goodhue County,262,29,71
Wright County,101,30,70
Mower County,237,30,70
Fillmore County,29,30,70
Polk County,878,31,69
Steele County,157,32,68
Clay County,914,34,66
Lyon County,131,38,62
Mahnomen County,19,43,57
Benton County,134,44,56
Blue Earth County,626,45,55
Dakota County,2850,49,51
Nicollet County,409,50,50
Beltrami County,253,51,49
Washington County,257,53,47
Carver County,362,54,46
Kandiyohi County,421,57,43
Rice County,347,58,42
Stearns County,709,62,38
Anoka County,1707,62,38
Nobles County,51,63,38
Sherburne County,338,68,32
Scott County,444,70,30
Olmsted County,662,70,30
Ramsey County,6637,74,26
Hennepin County,11372,81,19
