County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Aitkin County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Anoka County,41100,46950,52800,58650,63350,68050,72750,77450,24650,28200,31700,35200,38050,40850,43650,46630,62600,71550,80500,89400,96600,103750,110900,118050
Becker County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Beltrami County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Benton County,30950,35350,39750,44150,47700,51250,54750,58300,18550,21200,23850,27750,32470,37190,41910,46630,49500,56550,63600,70650,76350,82000,87650,93300
Big Stone County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Blue Earth County,31500,36000,40500,45000,48600,52200,55800,59400,18900,21600,24300,27750,32470,37190,41910,46630,50400,57600,64800,72000,77800,83550,89300,95050
Brown County,30600,34950,39300,43650,47150,50650,54150,57650,18350,21000,23600,27750,32470,37190,41910,46630,48900,55900,62900,69850,75450,81050,86650,92250
Carlton County,29900,34150,38400,42650,46100,49500,52900,56300,17950,20500,23050,27750,32470,37190,41910,46630,47800,54600,61450,68250,73750,79200,84650,90100
Carver County,41100,46950,52800,58650,63350,68050,72750,77450,24650,28200,31700,35200,38050,40850,43650,46630,62600,71550,80500,89400,96600,103750,110900,118050
Cass County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Chippewa County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Chisago County,41100,46950,52800,58650,63350,68050,72750,77450,24650,28200,31700,35200,38050,40850,43650,46630,62600,71550,80500,89400,96600,103750,110900,118050
Clay County,35200,40200,45250,50250,54300,58300,62350,66350,21150,24150,27150,30150,32600,37190,41910,46630,56300,64350,72400,80400,86850,93300,99700,106150
Clearwater County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Cook County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Cottonwood County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Crow Wing County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Dakota County,41100,46950,52800,58650,63350,68050,72750,77450,24650,28200,31700,35200,38050,40850,43650,46630,62600,71550,80500,89400,96600,103750,110900,118050
Dodge County,39050,44600,50200,55750,60250,64700,69150,73600,23450,26800,30150,33450,36150,38850,41910,46630,62450,71400,80300,89200,96350,103500,110650,117750
Douglas County,31050,35500,39950,44350,47900,51450,55000,58550,18650,21300,23950,27750,32470,37190,41910,46630,49700,56800,63900,70950,76650,82350,88000,93700
Faribault County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Fillmore County,30400,34750,39100,43400,46900,50350,53850,57300,18250,20850,23450,27750,32470,37190,41910,46630,48650,55600,62550,69450,75050,80600,86150,91700
Freeborn County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Goodhue County,33900,38750,43600,48400,52300,56150,60050,63900,20350,23250,26150,29050,32470,37190,41910,46630,54250,62000,69750,77450,83650,89850,96050,102250
Grant County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Hennepin County,41100,46950,52800,58650,63350,68050,72750,77450,24650,28200,31700,35200,38050,40850,43650,46630,62600,71550,80500,89400,96600,103750,110900,118050
Houston County,31550,36050,40550,45050,48700,52300,55900,59500,18950,21650,24350,27750,32470,37190,41910,46630,50500,57700,64900,72100,77900,83650,89450,95200
Hubbard County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Isanti County,41100,46950,52800,58650,63350,68050,72750,77450,24650,28200,31700,35200,38050,40850,43650,46630,62600,71550,80500,89400,96600,103750,110900,118050
