sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Aitkin County,27001,-1,-1,228.0,-1.0,6.0,27.0,1.6,366.0,254.0,340.0,12.8,8.0,10.0,30.0,31.0,15.0,14.0,16.0,8.0,74.0,30.0,88.0,57.0,6.0,19.0,71.0,23.0,36.0,14.0,16.0,8.0,29.0,10.0,53.0,18.0,2.0,0.0,0.0,0.0,1.0,1.0,46.0,50.0,89.0,70.0,18.0,12.0,5.0,2,10,49,-1,-1,-1,-1,-1,MN,-1,-1,aitkin mn,98.0,2.0,98.0,0,0
9,1,All HUD,-1,Anoka County,27003,-1,-1,2626.0,-1.0,5.0,12.0,2.2,5669.0,338.0,572.0,14.3,6.6,7.0,28.0,29.0,17.0,19.0,24.0,5.0,70.0,22.0,99.0,80.0,13.0,26.0,82.0,35.0,47.0,26.0,21.0,4.0,46.0,15.0,35.0,6.0,25.0,21.0,1.0,1.0,2.0,52.0,77.0,82.0,32.0,49.0,27.0,24.0,8.0,10,7,59,-1,-1,-1,-1,-1,MN,-1,-1,anoka mn,75.0,25.0,75.0,0,0
9,1,All HUD,-1,Becker County,27005,-1,-1,512.0,-1.0,5.0,20.0,1.7,853.0,264.0,337.0,12.8,7.7,6.0,37.0,29.0,18.0,10.0,22.0,4.0,73.0,29.0,94.0,61.0,7.0,21.0,73.0,25.0,39.0,16.0,19.0,12.0,30.0,12.0,47.0,12.0,10.0,1.0,7.0,0.0,1.0,5.0,55.0,38.0,6.0,61.0,21.0,18.0,10.0,10,15,54,-1,-1,-1,-1,-1,MN,-1,-1,becker mn,90.0,10.0,90.0,0,0
9,1,All HUD,-1,Beltrami County,27007,-1,-1,536.0,-1.0,6.0,26.0,1.8,951.0,258.0,366.0,11.8,6.6,8.0,42.0,29.0,12.0,10.0,22.0,8.0,70.0,27.0,94.0,69.0,6.0,26.0,71.0,29.0,39.0,14.0,18.0,13.0,37.0,9.0,41.0,11.0,23.0,2.0,20.0,0.0,1.0,7.0,52.0,42.0,26.0,62.0,23.0,15.0,4.0,16,18,49,-1,-1,-1,-1,-1,MN,-1,-1,beltrami mn,77.0,23.0,77.0,0,0
9,1,All HUD,-1,Benton County,27009,-1,-1,552.0,-1.0,5.0,18.0,1.4,775.0,246.0,334.0,12.0,8.6,14.0,32.0,31.0,15.0,8.0,18.0,6.0,71.0,24.0,97.0,72.0,3.0,14.0,71.0,17.0,42.0,19.0,23.0,13.0,30.0,9.0,48.0,15.0,15.0,13.0,0.0,1.0,1.0,16.0,55.0,44.0,19.0,77.0,17.0,7.0,5.0,7,8,49,-1,-1,-1,-1,-1,MN,-1,-1,benton mn,85.0,15.0,85.0,0,0
9,1,All HUD,-1,Big Stone County,27011,-1,-1,95.0,-1.0,7.0,33.0,1.7,159.0,258.0,285.0,11.8,7.1,12.0,35.0,27.0,17.0,9.0,20.0,8.0,72.0,27.0,93.0,66.0,12.0,16.0,67.0,24.0,34.0,22.0,21.0,12.0,40.0,11.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,41.0,55.0,43.0,53.0,31.0,17.0,21.0,2,10,75,-1,-1,-1,-1,-1,MN,-1,-1,big stone mn,100.0,0.0,100.0,0,0
9,1,All HUD,-1,Blue Earth County,27013,-1,-1,1138.0,-1.0,5.0,23.0,1.9,2160.0,286.0,395.0,12.6,6.6,12.0,32.0,29.0,15.0,13.0,27.0,6.0,65.0,25.0,95.0,70.0,10.0,20.0,70.0,26.0,54.0,39.0,28.0,7.0,47.0,19.0,27.0,5.0,18.0,14.0,1.0,1.0,1.0,7.0,60.0,79.0,32.0,57.0,24.0,19.0,10.0,8,18,37,-1,-1,-1,-1,-1,MN,-1,-1,blue earth mn,82.0,18.0,82.0,0,0
9,1,All HUD,-1,Brown County,27015,-1,-1,397.0,-1.0,6.0,21.0,1.5,611.0,275.0,273.0,13.6,8.8,5.0,34.0,29.0,18.0,14.0,29.0,3.0,68.0,29.0,92.0,63.0,6.0,16.0,73.0,20.0,40.0,13.0,19.0,14.0,30.0,13.0,43.0,14.0,4.0,0.0,0.0,1.0,3.0,12.0,51.0,64.0,34.0,63.0,29.0,8.0,8.0,4,7,71,-1,-1,-1,-1,-1,MN,-1,-1,brown mn,96.0,4.0,96.0,0,0
9,1,All HUD,-1,Carlton County,27017,-1,-1,384.0,-1.0,5.0,15.0,1.4,549.0,276.0,303.0,12.8,8.9,7.0,34.0,29.0,20.0,10.0,12.0,5.0,82.0,29.0,93.0,58.0,5.0,14.0,73.0,18.0,52.0,9.0,22.0,6.0,27.0,15.0,52.0,14.0,5.0,0.0,5.0,0.0,0.0,9.0,59.0,57.0,34.0,76.0,18.0,6.0,3.0,7,8,68,-1,-1,-1,-1,-1,MN,-1,-1,carlton mn,95.0,5.0,95.0,0,0
9,1,All HUD,-1,Carver County,27019,-1,-1,462.0,-1.0,6.0,21.0,1.9,894.0,320.0,504.0,14.8,7.7,6.0,26.0,29.0,20.0,19.0,18.0,4.0,76.0,23.0,98.0,76.0,9.0,21.0,81.0,27.0,53.0,10.0,22.0,4.0,40.0,13.0,42.0,10.0,19.0,15.0,2.0,1.0,1.0,24.0,62.0,93.0,33.0,61.0,18.0,21.0,6.0,8,4,61,-1,-1,-1,-1,-1,MN,-1,-1,carver mn,81.0,19.0,81.0,0,0
