gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,MN Minnesota,MN Aitkin County 27001,9,Summary of All HUD Programs,1,A,Aitkin County,27001,231.0,94,212,97,6.57403380932791,17,1.66871363930187,371.196078431373,257.463272022095,356.075424575424,12828.6109870521,7687.72465503377,9,29,29,18,14,17,7,75,29,90,60,5,21,67,23,36,12,15,4,32,14,51,16,1,0,0,0,0,0.130555555555556,45.6424389336154,49,82.1491108071135,70,18,13,3,12,4,62,A,A,A,-1,-1,MN,-1,A,aitkin mn,99,1,99,0,0
County,MN Minnesota,MN Anoka County 27003,9,Summary of All HUD Programs,1,A,Anoka County,27003,2779.0,97,2601,97,5.77568037996795,8,2.21762982783832,6034.22164055729,339.639496110179,582.736433702814,14127.0379299308,6365.95936398386,8,28,27,19,18,21,6,71,21,99,82,10,31,81,36,46,30,22,3,47,15,34,5,30,25,2,2,2,45.5480499709875,74.8216992850494,82,73.7054518049039,48,28,25,8,7,10,59,A,A,A,-1,-1,MN,-1,A,anoka mn,70,30,70,0,0
County,MN Minnesota,MN Becker County 27005,9,Summary of All HUD Programs,1,A,Becker County,27005,502.0,90,461,98,5.81653557623395,17,1.75698087805037,836.792887292884,278.571105112123,351.763627157036,12437.9039735077,7079.13451358071,9,35,29,16,11,22,4,74,27,94,66,3,29,73,29,40,25,21,10,36,15,40,8,12,1,9,0,1,6.96322300475126,51.5241812298941,42,84.48842101003,56,24,20,12,16,11,57,A,A,A,-1,-1,MN,-1,A,becker mn,88,12,88,0,0
County,MN Minnesota,MN Beltrami County 27007,9,Summary of All HUD Programs,1,A,Beltrami County,27007,645.0,89,529,98,6.41202923262684,15,1.74845193438155,846.589665372939,265.685091412185,377.312889943948,11950.6221210524,6806.44654185487,7,40,31,13,9,20,6,73,27,95,70,2,29,72,28,41,14,19,9,41,10,40,11,24,2,20,1,1,9.33039449298385,55.0352535149064,41,77.6598419719936,62,23,14,5,19,16,50,A,A,A,-1,-1,MN,-1,A,beltrami mn,76,24,76,0,0
County,MN Minnesota,MN Benton County 27009,9,Summary of All HUD Programs,1,A,Benton County,27009,574.0,96,546,100,5.95063544984796,15,1.39005422473366,777.399375473801,245.964926234499,352.914332233411,11653.9028362633,8332.90881739009,12,31,31,18,8,15,6,78,24,99,72,1,15,70,16,44,19,23,10,32,8,50,14,16,14,1,1,1,14.9091485297786,55.3502807650068,43,47.0179892713527,78,16,6,5,8,7,49,A,A,A,-1,-1,MN,-1,A,benton mn,84,16,84,0,0
County,MN Minnesota,MN Big Stone County 27011,9,Summary of All HUD Programs,1,A,Big Stone County,27011,105.0,87,89,93,6.630766307188,13,1.60625207848354,155.806451612903,256.927597510571,334.872562205784,11917.8222718419,7419.64628808045,11,35,31,16,6,17,7,75,27,95,65,3,17,70,16,43,23,23,8,37,13,42,3,0,0,0,0,0,7.61448007774538,45.7566218506026,52,132.937062937063,57,27,16,22,10,2,78,A,A,A,-1,-1,MN,-1,A,big stone mn,100,0,100,0,0
County,MN Minnesota,MN Blue Earth County 27013,9,Summary of All HUD Programs,1,A,Blue Earth County,27013,1176.0,94,1101,96,6.00367365962128,9,1.91842896918093,2229.31543213398,278.051501341479,416.549244845229,12539.119145096,6541.78704143162,11,31,29,15,14,20,5,73,25,96,72,7,22,70,25,56,42,29,5,48,20,27,5,20,16,1,2,2,4.82068090389011,62.3649914522404,78,63.2482785978062,57,24,20,11,18,8,37,A,A,A,-1,-1,MN,-1,A,blue earth mn,80,20,80,0,0
County,MN Minnesota,MN Brown County 27015,9,Summary of All HUD Programs,1,A,Brown County,27015,537.0,91,379,99,6.5242608075212,17,1.54426466884915,586.820574162678,256.502216905901,310.807924283195,12466.4380899018,8063.66235695564,6,35,30,20,9,20,5,74,27,96,66,2,20,72,20,47,13,22,11,33,11,45,16,2,0,0,0,2,9.22376868953386,50.3299411287388,71,63.6391558441558,65,26,10,8,7,4,70,A,A,A,-1,-1,MN,-1,A,brown mn,98,2,98,0,0
County,MN Minnesota,MN Carlton County 27017,9,Summary of All HUD Programs,1,A,Carlton County,27017,454.0,91,373,99,5.22673586567912,11,1.44043723000393,550.175,290.669981575778,308.959133046089,13415.8238963601,9298.77359224085,4,29,34,22,11,13,3,84,30,92,56,3,16,73,17,53,10,22,4,27,16,53,15,5,0,4,0,1,15.0574209245742,57.8501765050074,57,44.9105178735105,77,17,6,2,8,7,70,A,A,A,-1,-1,MN,-1,A,carlton mn,95,5,95,0,0
County,MN Minnesota,MN Carver County 27019,9,Summary of All HUD Programs,1,A,Carver County,27019,445.0,96,419,96,6.69292286961592,13,2.09284619106821,921.527002307093,343.849595233474,514.45334517307,15239.2370639368,7281.58482404222,5,24,26,22,23,22,3,75,23,99,75,7,28,81,31,47,11,19,4,43,14,38,7,21,15,3,2,1,23.0309560709155,63.7284956836639,94,70.0576644347299,54,22,24,7,4,7,63,A,A,A,-1,-1,MN,-1,A,carver mn,79,21,79,0,0
