Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2023-12-31 00:00:00,County,MN Minnesota,MN Aitkin County 27001,9,Housing Choice Vouchers,3,,Aitkin County,27001,18,103,19,100,4,26,1.7,32,375,483,14532,8629,5,11,53,16,16,-1,5,95,21,95,79,-1,16,68,16,93,100,63,-1,32,42,26,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,5,57,89,109,42,32,26,37,14,8,74,,,,,,MN,,,aitkin mn,0,100,0,0
2023-12-31 00:00:00,County,MN Minnesota,MN Aitkin County 27001,9,Project Based Section 8,5,,Aitkin County,27001,72,86,63,100,5,19,1.6,98,371,472,16236,10437,5,10,34,21,31,17,2,79,25,98,67,5,17,73,14,36,23,18,-1,29,17,54,10,17,5,6,-1,81,-1,5,2,6,6,-1,60,100,88,57,32,11,17,16,7,68,,,,,,MN,,,aitkin mn,19,81,0,0
2023-12-31 00:00:00,County,MN Minnesota,MN Aitkin County 27001,9,Public Housing,2,,Aitkin County,27001,145,100,145,100,8,15,1.5,224,394,435,20632,13355,10,8,24,13,46,30,5,63,32,85,51,6,16,61,18,23,58,27,7,30,19,44,6,3,1,1,1,97,-1,-1,-1,0,0,3,59,17,86,81,7,12,1,15,10,73,,,,,,MN,,,aitkin mn,3,97,0,0
2023-12-31 00:00:00,County,MN Minnesota,MN Aitkin County 27001,9,Summary of All HUD Programs,1,,Aitkin County,27001,235,96,227,100,7,17,1.6,354,386,449,18901,12120,8,9,29,15,39,24,4,70,29,89,58,5,16,65,17,34,48,28,4,30,21,45,6,7,2,2,0,93,-1,1,0,2,2,4,59,46,91,71,16,13,9,15,9,72,,,,,,MN,,,aitkin mn,7,93,0,0
2023-12-31 00:00:00,County,MN Minnesota,MN Anoka County 27003,9,Public Housing,2,,Anoka County,27003,11,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MN,,,anoka mn,-4,-4,0,0
2023-12-31 00:00:00,County,MN Minnesota,MN Anoka County 27003,9,811/PRAC,9,,Anoka County,27003,12,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MN,,,anoka mn,-4,-4,0,0
2023-12-31 00:00:00,County,MN Minnesota,MN Anoka County 27003,9,202/PRAC,8,,Anoka County,27003,137,94,123,95,8,10,1.0,125,408,261,18177,17886,2,6,31,26,36,2,-1,98,21,100,84,-1,-1,83,-1,100,6,6,-1,-1,1,99,10,22,12,-1,9,76,-1,-1,1,1,0,-1,78,64,39,100,-1,-1,-1,17,37,71,,,,,,MN,,,anoka mn,24,76,0,0
2023-12-31 00:00:00,County,MN Minnesota,MN Anoka County 27003,9,Project Based Section 8,5,,Anoka County,27003,1012,90,921,100,7,12,1.6,1507,411,802,17624,10771,5,6,38,19,33,19,3,75,19,99,86,4,18,71,19,42,24,21,2,28,12,57,5,24,19,2,1,70,1,1,1,2,3,-1,96,82,59,65,23,12,6,11,28,60,,,,,,MN,,,anoka mn,24,70,6,0
2023-12-31 00:00:00,County,MN Minnesota,MN Anoka County 27003,9,Housing Choice Vouchers,3,,Anoka County,27003,1700,93,1824,100,5,8,3.1,5728,599,1201,21843,6956,6,6,29,15,44,39,4,53,20,98,81,12,43,82,50,36,79,19,1,54,23,22,1,61,56,3,1,39,0,1,0,2,3,33,127,88,153,29,27,44,9,8,32,57,,,,,,MN,,,anoka mn,61,39,0,0
2023-12-31 00:00:00,County,MN Minnesota,MN Anoka County 27003,9,Summary of All HUD Programs,1,,Anoka County,27003,2872,92,2886,100,6,9,2.6,7394,531,1014,20359,7946,6,6,32,17,40,31,4,62,19,99,83,9,33,78,38,37,44,19,1,44,18,37,3,47,42,2,1,51,0,1,1,2,3,33,115,85,120,43,25,32,8,10,31,59,,,,,,MN,,,anoka mn,49,51,0,0
2023-12-31 00:00:00,County,MN Minnesota,MN Becker County 27005,9,202/PRAC,8,,Becker County,27005,29,74,24,100,7,21,1.0,25,353,580,14817,14225,-1,4,54,25,17,4,-1,96,24,100,79,-1,-1,42,-1,-1,4,4,-1,-1,-1,100,-1,75,-1,71,-1,4,-1,-1,4,4,0,-1,68,-1,-1,100,-1,-1,-1,23,52,80,,,,,,MN,,,becker mn,91,9,0,1
2023-12-31 00:00:00,County,MN Minnesota,MN Becker County 27005,9,Public Housing,2,,Becker County,27005,116,97,112,99,6,13,2.3,261,438,340,22560,9681,6,4,29,17,45,32,4,62,31,85,60,1,44,79,40,30,16,14,3,50,19,29,4,26,6,15,-1,74,-1,3,2,4,3,38,66,38,251,51,-1,49,11,15,18,69,,,,,,MN,,,becker mn,26,74,0,0
2023-12-31 00:00:00,County,MN Minnesota,MN Becker County 27005,9,Project Based Section 8,5,,Becker County,27005,155,88,142,100,6,23,1.1,161,369,458,16646,14681,1,3,44,24,29,9,1,88,27,97,69,1,6,63,7,69,39,46,4,18,15,63,12,14,2,8,1,80,-1,2,1,3,3,-1,64,8,105,91,9,-1,1,8,13,62,,,,,,MN,,,becker mn,14,80,6,0
2023-12-31 00:00:00,County,MN Minnesota,MN Becker County 27005,9,Housing Choice Vouchers,3,,Becker County,27005,248,73,178,98,6,20,1.8,316,382,434,15263,8597,6,7,39,24,24,22,7,65,23,98,79,1,37,78,34,40,45,25,1,47,22,30,2,20,7,12,-1,80,-1,1,1,1,2,19,71,78,89,36,43,21,29,13,16,71,,,,,,MN,,,becker mn,20,80,0,0
2023-12-31 00:00:00,County,MN Minnesota,MN Becker County 27005,9,Summary of All HUD Programs,1,,Becker County,27005,548,83,456,100,6,19,1.7,763,390,425,17462,10436,4,5,39,22,30,20,4,73,26,95,71,1,27,72,25,43,33,25,2,36,18,44,5,22,5,15,0,75,-1,2,1,3,2,23,68,42,126,60,20,20,14,12,17,68,,,,,,MN,,,becker mn,25,75,0,0
