State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
Minnesota,Aitkin County,0,0,0
Minnesota,Anoka County,1307,606,701
Minnesota,Becker County,0,0,0
Minnesota,Beltrami County,0,0,0
Minnesota,Benton County,0,0,0
Minnesota,Big Stone County,0,0,0
Minnesota,Blue Earth County,0,0,0
Minnesota,Brown County,0,0,0
Minnesota,Carlton County,1027,492,535
Minnesota,Carver County,0,0,0
Minnesota,Cass County,0,0,0
Minnesota,Chippewa County,0,0,0
Minnesota,Chisago County,981,572,409
Minnesota,Clay County,0,0,0
Minnesota,Clearwater County,0,0,0
Minnesota,Cook County,0,0,0
Minnesota,Cottonwood County,0,0,0
Minnesota,Crow Wing County,0,0,0
Minnesota,Dakota County,0,0,0
Minnesota,Dodge County,0,0,0
Minnesota,Douglas County,0,0,0
Minnesota,Faribault County,0,0,0
Minnesota,Fillmore County,0,0,0
Minnesota,Freeborn County,0,0,0
Minnesota,Goodhue County,0,0,0
Minnesota,Grant County,0,0,0
Minnesota,Hennepin County,0,0,0
Minnesota,Houston County,0,0,0
Minnesota,Hubbard County,0,0,0
Minnesota,Isanti County,0,0,0
Minnesota,Itasca County,0,0,0
Minnesota,Jackson County,0,0,0
Minnesota,Kanabec County,0,0,0
Minnesota,Kandiyohi County,0,0,0
Minnesota,Kittson County,0,0,0
Minnesota,Koochiching County,0,0,0
Minnesota,Lac qui Parle County,0,0,0
Minnesota,Lake County,0,0,0
Minnesota,Lake of the Woods County,0,0,0
Minnesota,Le Sueur County,0,0,0
Minnesota,Lincoln County,0,0,0
Minnesota,Lyon County,0,0,0
Minnesota,McLeod County,0,0,0
Minnesota,Mahnomen County,0,0,0
Minnesota,Marshall County,0,0,0
Minnesota,Martin County,0,0,0
Minnesota,Meeker County,0,0,0
Minnesota,Mille Lacs County,0,0,0
Minnesota,Morrison County,0,0,0
Minnesota,Mower County,0,0,0
Minnesota,Murray County,0,0,0
Minnesota,Nicollet County,0,0,0
Minnesota,Nobles County,0,0,0
Minnesota,Norman County,0,0,0
Minnesota,Olmsted County,992,662,330
Minnesota,Otter Tail County,0,0,0
Minnesota,Pennington County,0,0,0
Minnesota,Pine County,1607,1035,572
Minnesota,Pipestone County,0,0,0
Minnesota,Polk County,0,0,0
Minnesota,Pope County,0,0,0
Minnesota,Ramsey County,0,0,0
Minnesota,Red Lake County,0,0,0
Minnesota,Redwood County,0,0,0
Minnesota,Renville County,40,20,20
Minnesota,Rice County,2067,1156,911
Minnesota,Rock County,0,0,0
Minnesota,Roseau County,0,0,0
Minnesota,St. Louis County,817,399,418
Minnesota,Scott County,598,248,350
Minnesota,Sherburne County,1001,548,453
Minnesota,Sibley County,0,0,0
Minnesota,Stearns County,0,0,0
Minnesota,Steele County,0,0,0
Minnesota,Stevens County,0,0,0
Minnesota,Swift County,0,0,0
Minnesota,Todd County,0,0,0
Minnesota,Traverse County,0,0,0
Minnesota,Wabasha County,0,0,0
Minnesota,Wadena County,0,0,0
Minnesota,Waseca County,1177,760,417
Minnesota,Washington County,2041,1253,788
Minnesota,Watonwan County,0,0,0
Minnesota,Wilkin County,0,0,0
Minnesota,Winona County,0,0,0
Minnesota,Wright County,0,0,0
Minnesota,Yellow Medicine County,0,0,0
