State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
MN,Aitkin County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Anoka County,27500,31400,35350,39250,42400,45550,48650,51800,16500,18850,21200,23550,25450,27300,29200,31100,41700,47700,53650,59600,64350,69150,73900,78650
MN,Becker County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Beltrami County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Benton County,21650,24700,27800,30900,33350,35850,38300,40800,13000,14850,16700,18550,20050,21500,23000,24500,34600,39550,44500,49450,53400,57350,61300,65250
MN,Big Stone County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Blue Earth County,21050,24100,27100,30100,32500,34900,37300,39750,12650,14450,16250,18050,19500,20950,22400,23850,33700,38500,43350,48150,52000,55850,59700,63550
MN,Brown County,20850,23800,26800,29750,32150,34500,36900,39250,12500,14300,16050,17850,19300,20700,22150,23550,33300,38100,42850,47600,51400,55200,59000,62850
MN,Carlton County,19500,22300,25050,27850,30100,32300,34550,36750,11700,13350,15050,16700,18050,19350,20700,22050,31200,35650,40100,44550,48100,51700,55250,58800
MN,Carver County,27500,31400,35350,39250,42400,45550,48650,51800,16500,18850,21200,23550,25450,27300,29200,31100,41700,47700,53650,59600,64350,69150,73900,78650
MN,Cass County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Chippewa County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Chisago County,27500,31400,35350,39250,42400,45550,48650,51800,16500,18850,21200,23550,25450,27300,29200,31100,41700,47700,53650,59600,64350,69150,73900,78650
MN,Clay County,22750,26000,29250,32500,35100,37700,40300,42900,13650,15600,17550,19500,21050,22600,24200,25750,36400,41600,46800,52000,56150,60300,64500,68650
MN,Clearwater County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Cook County,19800,22600,25450,28250,30500,32750,35050,37300,11850,13550,15250,16950,18300,19650,21000,22350,31650,36150,40700,45200,48800,52450,56050,59650
MN,Cottonwood County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Crow Wing County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Dakota County,27500,31400,35350,39250,42400,45550,48650,51800,16500,18850,21200,23550,25450,27300,29200,31100,41700,47700,53650,59600,64350,69150,73900,78650
MN,Dodge County,26000,29700,33450,37150,40100,43100,46050,49050,15600,17850,20050,22300,24100,25850,27650,29450,41600,47550,53500,59450,64200,68950,73700,78450
MN,Douglas County,19400,22150,24950,27700,29900,32150,34350,36550,11600,13300,14950,16600,17950,19250,20600,21900,31000,35450,39850,44300,47850,51400,54950,58500
MN,Faribault County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Fillmore County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Freeborn County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Goodhue County,23350,26700,30000,33350,36000,38700,41350,44000,14000,16000,18000,20000,21600,23200,24800,26400,37350,42700,48000,53350,57600,61900,66150,70400
MN,Grant County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Hennepin County,27500,31400,35350,39250,42400,45550,48650,51800,16500,18850,21200,23550,25450,27300,29200,31100,41700,47700,53650,59600,64350,69150,73900,78650
MN,Houston County,20700,23700,26650,29600,31950,34350,36700,39050,12450,14200,16000,17750,19150,20600,22000,23450,33150,37900,42600,47350,51150,54950,58700,62500
MN,Hubbard County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Isanti County,27500,31400,35350,39250,42400,45550,48650,51800,16500,18850,21200,23550,25450,27300,29200,31100,41700,47700,53650,59600,64350,69150,73900,78650
MN,Itasca County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Jackson County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Kanabec County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Kandiyohi County,20150,23000,25900,28750,31050,33350,35650,37950,12100,13800,15550,17250,18650,20000,21400,22750,32200,36800,41400,46000,49700,53350,57050,60700
MN,Kittson County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Koochiching County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Lac qui Parle County,19300,22050,24800,27550,29750,31950,34150,36350,11600,13250,14900,16550,17850,19200,20500,21850,30850,35300,39700,44100,47650,51150,54700,58200
MN,Lake County,19650,22450,25250,28050,30300,32550,34800,37050,11800,13500,15150,16850,18200,19550,20900,22250,31450,35900,40400,44900,48500,52100,55700,59250
