State code,PUMA,County code,State abbr.,County_Name,allocation factor
29,100,29005,MO,Atchison MO,0.0482
29,100,29061,MO,Daviess MO,0.0767
29,100,29075,MO,Gentry MO,0.056
29,100,29079,MO,Grundy MO,0.0892
29,100,29081,MO,Harrison MO,0.0742
29,100,29087,MO,Holt MO,0.0384
29,100,29115,MO,Linn MO,0.108
29,100,29117,MO,Livingston MO,0.1324
29,100,29129,MO,Mercer MO,0.0322
29,100,29147,MO,Nodaway MO,0.1931
29,100,29171,MO,Putnam MO,0.0426
29,100,29197,MO,Schuyler MO,0.0367
29,100,29211,MO,Sullivan MO,0.0545
29,100,29227,MO,Worth MO,0.0179
29,200,29003,MO,Andrew MO,0.1591
29,200,29021,MO,Buchanan MO,0.7441
29,200,29063,MO,DeKalb MO,0.0968
29,300,29001,MO,Adair MO,0.2122
29,300,29045,MO,Clark MO,0.0556
29,300,29103,MO,Knox MO,0.0314
29,300,29111,MO,Lewis MO,0.0841
29,300,29121,MO,Macon MO,0.1275
29,300,29127,MO,Marion MO,0.2391
29,300,29137,MO,Monroe MO,0.0726
29,300,29173,MO,Ralls MO,0.0868
29,300,29199,MO,Scotland MO,0.0395
29,300,29205,MO,Shelby MO,0.0512
29,400,29007,MO,Audrain MO,0.1676
29,400,29113,MO,Lincoln MO,0.3999
29,400,29139,MO,Montgomery MO,0.076
29,400,29163,MO,Pike MO,0.1181
29,400,29219,MO,Warren MO,0.2385
29,501,29019,MO,Boone MO,0.2579
29,501,29027,MO,Callaway MO,0.2703
29,501,29051,MO,Cole MO,0.4718
29,601,29019,MO,Boone MO,1.0
29,700,29033,MO,Carroll MO,0.0633
29,700,29041,MO,Chariton MO,0.0552
29,700,29053,MO,Cooper MO,0.1275
29,700,29089,MO,Howard MO,0.0756
29,700,29159,MO,Pettis MO,0.3203
29,700,29175,MO,Randolph MO,0.1842
29,700,29195,MO,Saline MO,0.1739
29,800,29025,MO,Caldwell MO,0.0629
29,800,29049,MO,Clinton MO,0.1511
29,800,29101,MO,Johnson MO,0.3854
29,800,29107,MO,Lafayette MO,0.2353
29,800,29177,MO,Ray MO,0.1652
29,901,29047,MO,Clay MO,1.0
29,902,29047,MO,Clay MO,1.0
29,1000,29165,MO,Platte MO,1.0
29,1101,29095,MO,Jackson MO,1.0
29,1102,29095,MO,Jackson MO,1.0
29,1103,29095,MO,Jackson MO,1.0
29,1104,29095,MO,Jackson MO,1.0
29,1105,29095,MO,Jackson MO,1.0
29,1200,29013,MO,Bates MO,0.1295
29,1200,29037,MO,Cass MO,0.8705
29,1300,29011,MO,Barton MO,0.0951
29,1300,29039,MO,Cedar MO,0.116
29,1300,29057,MO,Dade MO,0.0619
29,1300,29083,MO,Henry MO,0.1794
29,1300,29109,MO,Lawrence MO,0.3106
29,1300,29185,MO,St. Clair MO,0.0759
29,1300,29217,MO,Vernon MO,0.1611
29,1400,29015,MO,Benton MO,0.1727
29,1400,29059,MO,Dallas MO,0.152
29,1400,29085,MO,Hickory MO,0.0737
29,1400,29105,MO,Laclede MO,0.3209
29,1400,29167,MO,Polk MO,0.2807
29,1500,29029,MO,Camden MO,0.4112
29,1500,29131,MO,Miller MO,0.2378
29,1500,29135,MO,Moniteau MO,0.1489
29,1500,29141,MO,Morgan MO,0.2021
29,1600,29073,MO,Gasconade MO,0.1095
29,1600,29125,MO,Maries MO,0.0624
29,1600,29151,MO,Osage MO,0.0983
29,1600,29161,MO,Phelps MO,0.3304
29,1600,29169,MO,Pulaski MO,0.3994
29,1700,29055,MO,Crawford MO,0.1805
29,1700,29071,MO,Franklin MO,0.8195
29,1801,29183,MO,St. Charles MO,1.0
29,1802,29183,MO,St. Charles MO,1.0
29,1803,29183,MO,St. Charles MO,1.0
29,1901,29189,MO,St. Louis MO,1.0
29,1902,29189,MO,St. Louis MO,1.0
29,1903,29189,MO,St. Louis MO,1.0
29,1904,29189,MO,St. Louis MO,1.0
29,1905,29189,MO,St. Louis MO,1.0
29,1906,29189,MO,St. Louis MO,1.0
29,1907,29189,MO,St. Louis MO,1.0
29,1908,29189,MO,St. Louis MO,1.0
29,2001,29510,MO,St. Louis city MO,1.0
29,2002,29510,MO,St. Louis city MO,1.0
29,2101,29099,MO,Jefferson MO,1.0
29,2102,29099,MO,Jefferson MO,1.0
29,2200,29157,MO,Perry MO,0.1482
29,2200,29186,MO,Ste. Genevieve MO,0.1445
29,2200,29187,MO,St. Francois MO,0.5234
29,2200,29221,MO,Washington MO,0.1839
29,2300,29031,MO,Cape Girardeau MO,0.6822
29,2300,29201,MO,Scott MO,0.3178
29,2400,29017,MO,Bollinger MO,0.0942
29,2400,29069,MO,Dunklin MO,0.2521
29,2400,29133,MO,Mississippi MO,0.1121
29,2400,29143,MO,New Madrid MO,0.1465
29,2400,29155,MO,Pemiscot MO,0.1396
29,2400,29207,MO,Stoddard MO,0.2556
29,2500,29023,MO,Butler MO,0.3549
29,2500,29035,MO,Carter MO,0.0438
29,2500,29065,MO,Dent MO,0.1215
29,2500,29093,MO,Iron MO,0.0803
29,2500,29123,MO,Madison MO,0.1064
29,2500,29179,MO,Reynolds MO,0.0514
29,2500,29181,MO,Ripley MO,0.09
29,2500,29203,MO,Shannon MO,0.0592
29,2500,29223,MO,Wayne MO,0.0925
29,2600,29067,MO,Douglas MO,0.1041
29,2600,29091,MO,Howell MO,0.3575
29,2600,29149,MO,Oregon MO,0.0777
29,2600,29153,MO,Ozark MO,0.0769
29,2600,29215,MO,Texas MO,0.2202
29,2600,29229,MO,Wright MO,0.1636
29,2701,29043,MO,Christian MO,0.5232
29,2701,29077,MO,Greene MO,0.2466
29,2701,29225,MO,Webster MO,0.2302
29,2702,29077,MO,Greene MO,1.0
29,2703,29077,MO,Greene MO,1.0
29,2800,29009,MO,Barry MO,0.2382
29,2800,29119,MO,McDonald MO,0.1607
29,2800,29209,MO,Stone MO,0.2143
29,2800,29213,MO,Taney MO,0.3867
29,2900,29097,MO,Jasper MO,0.6767
29,2900,29145,MO,Newton MO,0.3233
