sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adair County,29001,-1,-1,495,-1,5,34,1.6,795,214,274,9.8,6.1,17,46,27,7,3,19,2,70,25,96,67,7,20,70,24,45,22,26,8,42,15,34,7,1,1,0,0,0,6,43,74,52,58,27,15,14,4,18,34,-1,-1,-1,-1,-1,MO,-1,-1,adair mo,99,1,99,0,0
9,1,All HUD,-1,andrew County,29003,-1,-1,95,-1,8,67,1.8,174,219,384,10.2,5.6,11,47,27,8,6,36,1,62,25,96,72,7,33,82,38,21,15,11,24,25,9,41,9,1,0,1,0,0,9,17,89,68,55,29,16,3,2,10,67,-1,-1,-1,-1,-1,MO,-1,-1,andrew mo,99,1,99,0,0
9,1,All HUD,-1,Atchison County,29005,-1,-1,96,-1,5,29,1.4,134,185,227,9.8,7.1,18,50,21,8,3,14,5,73,26,93,69,3,14,68,15,47,55,39,4,30,17,49,11,3,3,0,0,0,8,49,99,-2,80,13,7,1,4,11,57,-1,-1,-1,-1,-1,MO,-1,-1,atchison mo,97,3,97,0,0
9,1,All HUD,-1,Audrain County,29007,-1,-1,466,-1,4,50,1.7,805,210,306,11.9,6.9,20,36,23,12,9,27,6,59,28,91,63,5,28,75,29,36,32,21,15,40,17,28,5,26,26,0,0,0,3,39,98,67,41,42,18,23,15,15,62,-1,-1,-1,-1,-1,MO,-1,-1,audrain mo,74,26,74,0,0
9,1,All HUD,-1,Barry County,29009,-1,-1,37,-1,8,19,1.9,69,204,238,8.7,4.6,16,59,22,3,0,16,3,78,25,97,78,8,24,81,32,52,40,28,0,49,24,27,5,0,0,0,0,0,9,70,92,0,43,30,27,22,7,13,49,-1,-1,-1,-1,-1,MO,-1,-1,barry mo,100,0,100,0,0
9,1,All HUD,-1,Barton County,29011,-1,-1,82,-1,5,38,1.7,140,180,327,8.1,4.7,26,50,16,5,4,15,9,73,23,94,74,6,29,79,29,52,32,27,12,46,15,27,2,4,2,0,1,0,6,31,93,63,59,29,12,7,3,12,64,-1,-1,-1,-1,-1,MO,-1,-1,barton mo,96,4,96,0,0
9,1,All HUD,-1,Bates County,29013,-1,-1,96,-1,5,24,2.0,196,218,290,10.3,5.0,16,41,26,13,5,22,13,64,28,94,61,10,32,79,41,34,13,14,7,41,13,40,4,6,2,2,0,2,4,37,100,58,44,33,23,14,3,13,57,-1,-1,-1,-1,-1,MO,-1,-1,bates mo,94,6,94,0,0
9,1,All HUD,-1,Benton County,29015,-1,-1,96,-1,5,20,1.6,149,208,298,9.2,5.9,17,49,28,4,2,17,16,67,27,97,64,5,23,77,27,45,41,30,6,41,23,30,6,1,0,0,1,0,3,53,98,51,41,44,16,29,2,13,57,-1,-1,-1,-1,-1,MO,-1,-1,benton mo,99,1,99,0,0
9,1,All HUD,-1,Bollinger County,29017,-1,-1,41,-1,7,17,1.9,78,206,265,9.3,5.0,10,63,22,2,2,20,5,73,26,98,71,10,27,73,34,56,67,37,7,61,10,22,0,0,0,0,0,0,21,67,73,2,40,43,18,20,3,12,55,-1,-1,-1,-1,-1,MO,-1,-1,bollinger mo,100,0,100,0,0
9,1,All HUD,-1,Boone County,29019,-1,-1,1948,-1,4,23,2.2,4269,224,401,10.5,4.8,27,34,21,11,8,27,10,53,19,98,82,7,43,77,47,39,51,20,14,56,17,12,1,58,56,0,1,1,10,55,77,69,35,32,32,15,32,29,29,-1,-1,-1,-1,-1,MO,-1,-1,boone mo,42,58,42,0,0
