Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2020-12-31 00:00:00,County,MO Missouri,MO Adair County 29001,9,Summary of All HUD Programs,1,,Adair County,29001,479,85,412,100,6,22,1.6,653,288,347,12707,8017,5,35,33,16,11,12,1,84,26,97,71,5,14,68,17,63,50,40,4,32,23,41,5,4,2,1,0,96,-1,0,0,1,0,9,65,69,122,66,18,16,13,35,9,51,,,,,,MO,,,adair mo,4,96,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Adair County 29001,9,Public Housing,2,,Adair County,29001,128,95,121,100,6,24,1.6,199,285,341,13865,8431,3,30,36,17,14,12,-1,83,28,93,66,7,12,60,15,66,56,42,5,32,21,41,2,3,1,1,1,97,-1,1,-1,1,0,11,65,17,99,76,11,13,1,52,12,32,,,,,,MO,,,adair mo,3,97,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Adair County 29001,9,Housing Choice Vouchers,3,,Adair County,29001,243,77,186,100,5,26,1.9,347,300,332,12264,6574,9,33,32,16,11,16,2,79,25,98,73,7,24,73,27,48,59,32,4,40,23,32,5,4,3,1,-1,96,-1,1,-1,1,0,8,63,87,158,40,33,26,27,30,8,57,,,,,,MO,,,adair mo,4,96,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Adair County 29001,9,Project Based Section 8,5,,Adair County,29001,108,94,105,100,6,12,1.0,107,269,382,12159,11931,1,45,33,13,8,5,-1,94,27,98,73,-1,-1,70,-1,98,36,64,4,18,23,55,10,4,2,1,-1,94,-1,-1,1,1,1,-1,67,100,70,100,-1,-1,-1,23,7,61,,,,,,MO,,,adair mo,6,94,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Andrew County 29003,9,Summary of All HUD Programs,1,,andrew County,29003,122,71,89,100,7,15,1.8,158,278,491,12304,6931,6,31,38,14,12,19,1,75,25,97,69,2,33,71,30,38,35,22,12,34,12,42,4,2,-1,1,-1,89,-1,1,-1,1,1,3,51,96,128,48,37,15,16,10,3,80,,,,,,MO,,,andrew mo,4,96,0,1
2020-12-31 00:00:00,County,MO Missouri,MO Andrew County 29003,9,Housing Choice Vouchers,3,,andrew County,29003,50,-5,21,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,MO,,,andrew mo,0,100,0,1
2020-12-31 00:00:00,County,MO Missouri,MO Andrew County 29003,9,Project Based Section 8,5,,andrew County,29003,72,91,68,100,7,18,2.0,133,280,549,12393,6336,6,31,34,13,16,24,1,69,25,96,71,3,38,66,35,36,33,19,16,40,13,31,3,1,-1,1,-1,87,-1,-1,-1,0,1,-1,43,100,134,57,25,18,-1,10,3,80,,,,,,MO,,,andrew mo,4,96,0,1
2020-12-31 00:00:00,County,MO Missouri,MO Atchison County 29005,9,Summary of All HUD Programs,1,,Atchison County,29005,112,66,69,94,6,23,1.4,95,257,311,12073,8769,8,28,42,13,9,22,-1,71,26,93,70,-1,19,67,16,34,81,41,4,30,20,45,7,0,-1,-1,-1,100,-1,-1,-1,0,0,3,56,99,59,84,14,1,1,12,2,87,,,,,,MO,,,atchison mo,0,100,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Atchison County 29005,9,Public Housing,2,,Atchison County,29005,36,94,34,100,6,32,1.3,44,260,388,12978,10029,-1,24,48,14,14,26,-1,59,28,88,62,-1,15,53,9,29,69,36,9,38,15,38,3,0,-1,-1,-1,100,-1,-1,-1,0,0,2,38,97,51,82,18,-1,3,13,2,88,,,,,,MO,,,atchison mo,0,100,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Atchison County 29005,9,Housing Choice Vouchers,3,,Atchison County,29005,76,52,35,88,6,14,1.5,51,254,245,11194,7682,14,31,37,11,6,17,-1,83,23,97,77,-1,23,80,23,41,89,45,-1,23,26,51,11,0,-1,-1,-1,100,-1,-1,-1,0,0,4,74,100,67,86,11,3,-1,11,2,86,,,,,,MO,,,atchison mo,0,100,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Audrain County 29007,9,Summary of All HUD Programs,1,,Audrain County,29007,508,92,474,100,5,19,1.8,863,283,466,13031,7157,8,35,26,13,19,24,1,66,29,87,60,5,29,75,30,43,63,30,8,41,21,30,2,31,29,1,-1,69,0,1,0,2,2,3,65,93,118,38,43,18,25,16,17,80,,,,,,MO,,,audrain mo,31,69,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Audrain County 29007,9,Public Housing,2,,Audrain County,29007,279,97,271,100,5,23,1.9,514,264,545,13578,7159,8,36,18,12,26,30,2,57,30,81,61,8,30,74,32,35,55,25,13,44,18,26,1,34,32,-1,-1,66,-1,1,-1,1,3,3,67,89,96,38,45,17,19,16,18,81,,,,,,MO,,,audrain mo,34,66,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Audrain County 29007,9,Housing Choice Vouchers,3,,Audrain County,29007,181,84,158,100,6,16,1.9,301,321,371,12533,6579,7,32,34,15,13,20,-1,75,28,94,58,3,35,79,33,47,63,30,1,41,28,30,1,35,31,2,-1,65,1,1,-1,2,1,4,62,98,164,21,53,26,42,16,15,79,,,,,,MO,,,audrain mo,35,65,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Audrain County 29007,9,Project Based Section 8,5,,Audrain County,29007,48,96,45,97,6,7,1.1,48,267,318,11489,10771,4,40,40,13,2,7,-1,93,28,100,62,-1,-1,64,-1,100,88,92,4,24,18,53,9,7,4,-1,-1,93,-1,-1,2,2,0,-1,61,100,73,100,-1,-1,-1,13,18,83,,,,,,MO,,,audrain mo,7,93,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Barry County 29009,9,Summary of All HUD Programs,1,,Barry County,29009,29,96,31,100,5,-1,1.4,43,284,366,11556,8331,3,48,29,13,6,3,-1,97,28,100,68,-1,19,77,16,95,27,60,-1,23,42,35,3,6,-1,-1,-1,94,-1,6,-1,6,0,-1,90,94,76,29,58,13,55,24,12,75,,,,,,MO,,,barry mo,6,94,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Barry County 29009,9,Housing Choice Vouchers,3,,Barry County,29009,28,96,30,100,5,-1,1.4,42,287,358,11616,8297,3,47,30,13,7,3,-1,97,28,100,67,-1,20,77,17,95,30,62,-1,23,43,33,3,7,-1,-1,-1,93,-1,7,-1,7,0,-1,89,97,76,27,60,13,57,25,12,75,,,,,,MO,,,barry mo,7,93,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Barry County 29009,9,Project Based Section 8,5,,Barry County,29009,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MO,,,barry mo,-4,-4,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Barton County 29011,9,Summary of All HUD Programs,1,,Barton County,29011,85,95,86,100,6,16,1.7,148,226,451,9761,5672,14,44,25,16,1,13,6,76,23,99,76,1,30,81,30,47,46,28,6,38,26,30,3,5,-1,1,-1,92,-1,-1,3,3,1,7,66,97,93,49,36,15,14,30,6,77,,,,,,MO,,,barton mo,8,92,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Barton County 29011,9,Housing Choice Vouchers,3,,Barton County,29011,14,78,13,100,7,23,1.2,15,286,420,11285,9780,-1,54,23,23,-1,-1,-1,100,28,100,77,-1,-1,77,-1,100,100,87,-1,23,38,38,-1,8,-1,-1,-1,92,-1,-1,8,8,8,7,81,77,124,23,62,15,62,27,6,77,,,,,,MO,,,barton mo,8,92,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Barton County 29011,9,Project Based Section 8,5,,Barton County,29011,71,98,73,100,6,15,1.8,133,215,456,9490,5209,16,43,25,15,1,15,7,71,22,99,75,1,36,82,36,38,33,21,7,41,23,29,4,4,-1,1,-1,92,-1,-1,3,3,0,-1,63,100,88,53,32,15,5,30,6,77,,,,,,MO,,,barton mo,5,95,0,1
2020-12-31 00:00:00,County,MO Missouri,MO Bates County 29013,9,Summary of All HUD Programs,1,,Bates County,29013,108,89,98,100,5,9,1.3,131,297,443,12315,9213,3,38,36,15,7,4,-1,95,27,97,70,-1,10,69,10,77,47,47,-1,14,30,56,1,4,1,2,-1,82,-1,1,-1,1,1,43,65,72,139,68,20,11,20,13,5,79,,,,,,MO,,,bates mo,6,94,0,1
2020-12-31 00:00:00,County,MO Missouri,MO Bates County 29013,9,Housing Choice Vouchers,3,,Bates County,29013,74,84,63,100,5,10,1.5,93,302,490,12019,8142,5,39,35,15,6,6,-1,92,26,98,75,-1,16,75,16,69,65,48,-1,17,33,49,2,5,2,2,-1,95,-1,2,-1,2,0,43,71,57,189,51,32,17,32,15,7,78,,,,,,MO,,,bates mo,5,95,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Bates County 29013,9,Project Based Section 8,5,,Bates County,29013,34,98,35,100,6,9,1.1,38,289,353,12848,11833,-1,37,37,17,9,-1,-1,100,29,94,63,-1,-1,60,-1,100,25,45,-1,9,23,69,-1,3,-1,3,-1,57,-1,-1,-1,0,3,-1,54,100,88,100,-1,-1,-1,9,2,81,,,,,,MO,,,bates mo,3,57,40,0
2020-12-31 00:00:00,County,MO Missouri,MO Benton County 29015,9,Summary of All HUD Programs,1,,Benton County,29015,73,87,62,97,6,16,1.2,74,297,503,11393,9546,2,49,31,15,3,5,-1,94,28,97,73,-1,8,68,8,72,46,49,-1,16,24,60,3,6,2,3,-1,92,-1,2,-1,2,0,16,78,95,114,53,37,10,37,20,5,72,,,,,,MO,,,benton mo,8,92,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Benton County 29015,9,Housing Choice Vouchers,3,,Benton County,29015,51,84,43,100,5,21,1.3,55,303,490,10848,8481,2,57,29,7,5,7,-1,91,27,95,81,-1,12,65,12,70,80,60,-1,23,30,47,-1,7,2,5,-1,93,-1,-1,-1,0,0,16,84,93,134,33,53,14,53,21,4,72,,,,,,MO,,,benton mo,7,93,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Benton County 29015,9,Project Based Section 8,5,,Benton County,29015,22,95,19,91,6,5,1.0,19,282,530,12626,12626,-1,32,37,32,-1,-1,-1,100,32,100,53,-1,-1,74,-1,100,6,16,-1,-1,11,89,11,5,-1,-1,-1,89,-1,5,-1,5,0,-1,66,100,71,100,-1,-1,-1,19,5,72,,,,,,MO,,,benton mo,9,91,0,1
2020-12-31 00:00:00,County,MO Missouri,MO Bollinger County 29017,9,Summary of All HUD Programs,1,,Bollinger County,29017,34,72,24,96,5,4,1.6,39,306,373,13771,8475,8,13,46,13,21,8,-1,92,27,100,67,8,17,50,21,69,91,56,-1,29,25,46,4,4,-1,4,-1,92,-1,-1,-1,0,4,13,150,63,89,42,38,21,29,19,3,78,,,,,,MO,,,bollinger mo,3,97,0,1
2020-12-31 00:00:00,County,MO Missouri,MO Bollinger County 29017,9,Housing Choice Vouchers,3,,Bollinger County,29017,18,78,14,97,6,7,2.1,29,325,425,14163,6837,14,21,29,7,29,14,-1,86,26,100,71,14,29,64,36,43,100,45,-1,29,21,50,-1,7,-1,7,-1,93,-1,-1,-1,0,7,13,104,100,94,-1,64,36,50,19,3,78,,,,,,MO,,,bollinger mo,7,93,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Bollinger County 29017,9,Project Based Section 8,5,,Bollinger County,29017,15,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MO,,,bollinger mo,-4,-4,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Bollinger County 29017,9,202/PRAC,8,,Bollinger County,29017,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MO,,,bollinger mo,-4,-4,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Boone County 29019,9,Summary of All HUD Programs,1,,Boone County,29019,2346,93,2019,93,5,19,2.2,4362,311,514,13479,6239,9,30,26,15,21,25,2,65,21,97,78,3,40,71,39,42,62,24,5,48,24,23,1,60,58,0,1,39,0,0,0,1,2,14,63,76,177,34,33,34,23,34,33,40,,,,,,MO,,,boone mo,61,39,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Boone County 29019,9,Public Housing,2,,Boone County,29019,118,79,93,100,6,22,2.8,263,300,615,14144,5002,12,22,20,16,30,35,2,42,21,90,73,10,53,67,47,19,50,11,8,56,17,19,-1,78,72,-1,5,22,1,-1,-1,1,1,12,75,100,91,24,43,33,4,46,52,33,,,,,,MO,,,boone mo,78,22,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Boone County 29019,9,Housing Choice Vouchers,3,,Boone County,29019,1828,94,1643,96,5,19,2.2,3548,320,493,13746,6365,7,30,27,15,21,24,1,67,22,98,78,2,39,71,37,43,61,25,2,48,25,25,1,61,59,0,1,39,0,1,0,1,1,14,63,74,191,34,31,36,26,33,33,43,,,,,,MO,,,boone mo,61,39,0,0
2020-12-31 00:00:00,County,MO Missouri,MO Boone County 29019,9,Project Based Section 8,5,,Boone County,29019,322,92,215,73,6,22,2.2,474,257,637,11311,5130,23,23,20,13,21,32,6,52,18,99,79,6,57,82,59,24,61,13,28,47,14,11,0,57,53,1,1,39,0,-1,1,1,7,-1,52,98,140,23,49,28,12,31,27,27,,,,,,MO,,,boone mo,62,38,0,1
