State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
MO,Adair County,21700,24800,27900,31000,33500,36000,38450,40950,13050,16910,21330,25750,30170,34590,38450,40950,34750,39700,44650,49600,53600,57550,61550,65500
MO,Andrew County,22550,25750,28950,32150,34750,37300,39900,42450,13550,16910,21330,25750,30170,34590,39010,42450,36050,41200,46350,51450,55600,59700,63800,67950
MO,Atchison County,21700,24800,27900,30950,33450,35950,38400,40900,13000,16910,21330,25750,30170,34590,38400,40900,34650,39600,44550,49500,53500,57450,61400,65350
MO,Audrain County,19950,22800,25650,28500,30800,33100,35350,37650,12490,16910,21330,25750,30170,33100,35350,37650,31950,36500,41050,45600,49250,52900,56550,60200
MO,Barry County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Barton County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Bates County,20550,23450,26400,29300,31650,34000,36350,38700,12490,16910,21330,25750,30170,34000,36350,38700,32850,37550,42250,46900,50700,54450,58200,61950
MO,Benton County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Bollinger County,22300,25450,28650,31800,34350,36900,39450,42000,13400,16910,21330,25750,30170,34590,39010,42000,35650,40750,45850,50900,55000,59050,63150,67200
MO,Boone County,27800,31800,35750,39700,42900,46100,49250,52450,16700,19050,21450,25750,30170,34590,39010,43430,44450,50800,57150,63500,68600,73700,78750,83850
MO,Buchanan County,22550,25750,28950,32150,34750,37300,39900,42450,13550,16910,21330,25750,30170,34590,39010,42450,36050,41200,46350,51450,55600,59700,63800,67950
MO,Butler County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Caldwell County,28950,33100,37250,41350,44700,48000,51300,54600,17400,19850,22350,25750,30170,34590,39010,43430,46350,52950,59550,66150,71450,76750,82050,87350
MO,Callaway County,22850,26100,29350,32600,35250,37850,40450,43050,13700,16910,21330,25750,30170,34590,39010,43050,36550,41750,46950,52150,56350,60500,64700,68850
MO,Camden County,20550,23500,26450,29350,31700,34050,36400,38750,12490,16910,21330,25750,30170,34050,36400,38750,32900,37600,42300,46950,50750,54500,58250,62000
MO,Cape Girardeau County,22300,25450,28650,31800,34350,36900,39450,42000,13400,16910,21330,25750,30170,34590,39010,42000,35650,40750,45850,50900,55000,59050,63150,67200
MO,Carroll County,20800,23800,26750,29700,32100,34500,36850,39250,12500,16910,21330,25750,30170,34500,36850,39250,33250,38000,42750,47500,51300,55100,58900,62700
MO,Carter County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Cass County,28950,33100,37250,41350,44700,48000,51300,54600,17400,19850,22350,25750,30170,34590,39010,43430,46350,52950,59550,66150,71450,76750,82050,87350
MO,Cedar County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Chariton County,20450,23400,26300,29200,31550,33900,36250,38550,12490,16910,21330,25750,30170,33900,36250,38550,32700,37400,42050,46700,50450,54200,57950,61650
MO,Christian County,22050,25200,28350,31450,34000,36500,39000,41550,13200,16910,21330,25750,30170,34590,39000,41550,35250,40250,45300,50300,54350,58350,62400,66400
MO,Clark County,19500,22300,25100,27850,30100,32350,34550,36800,12490,16910,21330,25750,30100,32350,34550,36800,31200,35650,40100,44550,48150,51700,55250,58850
MO,Clay County,28950,33100,37250,41350,44700,48000,51300,54600,17400,19850,22350,25750,30170,34590,39010,43430,46350,52950,59550,66150,71450,76750,82050,87350
MO,Clinton County,28950,33100,37250,41350,44700,48000,51300,54600,17400,19850,22350,25750,30170,34590,39010,43430,46350,52950,59550,66150,71450,76750,82050,87350
MO,Cole County,26500,30250,34050,37800,40850,43850,46900,49900,15900,18200,21330,25750,30170,34590,39010,43430,42350,48400,54450,60500,65350,70200,75050,79900
MO,Cooper County,22950,26200,29500,32750,35400,38000,40650,43250,13800,16910,21330,25750,30170,34590,39010,43250,36700,41950,47200,52400,56600,60800,65000,69200
MO,Crawford County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Sullivan part,28500,32550,36600,40650,43950,47200,50450,53700,17100,19550,22000,25750,30170,34590,39010,43430,45550,52050,58550,65050,70300,75500,80700,85900
MO,Dade County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Dallas County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Daviess County,19950,22800,25650,28450,30750,33050,35300,37600,12490,16910,21330,25750,30170,33050,35300,37600,31850,36400,40950,45500,49150,52800,56450,60100
MO,DeKalb County,22550,25750,28950,32150,34750,37300,39900,42450,13550,16910,21330,25750,30170,34590,39010,42450,36050,41200,46350,51450,55600,59700,63800,67950
MO,Dent County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Douglas County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Dunklin County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Franklin County,28500,32550,36600,40650,43950,47200,50450,53700,17100,19550,22000,25750,30170,34590,39010,43430,45550,52050,58550,65050,70300,75500,80700,85900
MO,Gasconade County,21250,24300,27350,30350,32800,35250,37650,40100,12750,16910,21330,25750,30170,34590,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
MO,Gentry County,20150,23000,25900,28750,31050,33350,35650,37950,12490,16910,21330,25750,30170,33350,35650,37950,32200,36800,41400,46000,49700,53400,57050,60750
MO,Greene County,22050,25200,28350,31450,34000,36500,39000,41550,13200,16910,21330,25750,30170,34590,39000,41550,35250,40250,45300,50300,54350,58350,62400,66400
MO,Grundy County,20450,23400,26300,29200,31550,33900,36250,38550,12490,16910,21330,25750,30170,33900,36250,38550,32700,37400,42050,46700,50450,54200,57950,61650
MO,Harrison County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Henry County,19400,22200,24950,27700,29950,32150,34350,36600,12490,16910,21330,25750,29950,32150,34350,36600,31050,35450,39900,44300,47850,51400,54950,58500
MO,Hickory County,19350,22100,24850,27600,29850,32050,34250,36450,12490,16910,21330,25750,29850,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
MO,Holt County,20350,23250,26150,29050,31400,33700,36050,38350,12490,16910,21330,25750,30170,33700,36050,38350,32550,37200,41850,46500,50250,53950,57700,61400
