fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
576,619,705,941,956,28,Adams County,31585,MS,0
532,536,705,974,1083,28,Alcorn County,37240,MS,0
557,560,711,886,978,28,Amite County,12575,MS,0
576,584,705,939,994,28,Attala County,18730,MS,0
576,619,705,966,970,28,Benton County,8305,MS,0
532,536,705,871,956,28,Bolivar County,33120,MS,0
565,568,705,989,1135,28,Calhoun County,14615,MS,0
576,587,705,871,970,28,Carroll County,10220,MS,0
532,536,705,950,971,28,Chickasaw County,17305,MS,0
582,586,771,953,1060,28,Choctaw County,8360,MS,0
582,621,712,880,966,28,Claiborne County,9105,MS,0
576,619,705,871,956,28,Clarke County,16090,MS,0
536,539,705,1001,1164,28,Clay County,19990,MS,0
510,619,705,925,956,28,Coahoma County,24295,MS,0
781,812,947,1171,1337,28,Copiah County,28750,MS,1
493,619,705,1001,1037,28,Covington County,19170,MS,1
694,792,912,1219,1404,28,DeSoto County,173265,MS,1
577,723,868,1124,1272,28,Forrest County,75835,MS,1
576,586,705,966,970,28,Franklin County,7770,MS,0
574,578,730,902,1226,28,George County,23545,MS,0
535,539,709,876,975,28,Greene County,13800,MS,0
539,543,714,888,968,28,Grenada County,21380,MS,0
666,735,863,1198,1338,28,Hancock County,46275,MS,1
666,735,863,1198,1338,28,Harrison County,200490,MS,1
781,812,947,1171,1337,28,Hinds County,243250,MS,1
532,536,705,895,1026,28,Holmes County,18265,MS,1
576,619,705,912,999,28,Humphreys County,8680,MS,0
564,568,747,923,1027,28,Issaquena County,1295,MS,0
576,612,705,888,956,28,Itawamba County,23440,MS,0
598,735,846,1155,1448,28,Jackson County,141315,MS,1
552,555,705,874,956,28,Jasper County,16545,MS,0
552,555,705,966,970,28,Jefferson County,7465,MS,0
552,555,705,957,970,28,Jefferson Davis County,11640,MS,0
510,594,756,935,1025,28,Jones County,68330,MS,0
533,555,705,934,970,28,Kemper County,10080,MS,0
750,822,1026,1268,1391,28,Lafayette County,52745,MS,0
577,723,868,1124,1272,28,Lamar County,60515,MS,1
563,618,799,994,1233,28,Lauderdale County,78220,MS,0
650,691,796,984,1095,28,Lawrence County,12660,MS,0
560,563,705,898,1031,28,Leake County,22935,MS,0
630,634,809,1024,1245,28,Lee County,84840,MS,0
471,536,705,885,956,28,Leflore County,30115,MS,0
562,566,745,931,1089,28,Lincoln County,34540,MS,0
593,597,746,1008,1277,28,Lowndes County,59560,MS,0
781,812,947,1171,1337,28,Madison County,102210,MS,1
595,639,728,900,987,28,Marion County,25465,MS,0
539,612,709,878,1126,28,Marshall County,35980,MS,1
576,588,705,871,1095,28,Monroe County,35965,MS,0
576,619,705,966,970,28,Montgomery County,10310,MS,0
576,600,705,871,1001,28,Neshoba County,29435,MS,0
562,566,745,921,1010,28,Newton County,21435,MS,0
576,619,705,915,973,28,Noxubee County,10940,MS,0
692,722,823,1017,1409,28,Oktibbeha County,49390,MS,0
587,591,726,929,999,28,Panola County,34230,MS,0
624,628,826,1071,1414,28,Pearl River County,55050,MS,0
577,723,868,1124,1272,28,Perry County,12045,MS,1
608,647,744,966,1009,28,Pike County,39765,MS,0
499,586,705,913,1107,28,Pontotoc County,31075,MS,0
505,611,705,953,956,28,Prentiss County,25390,MS,0
532,536,705,871,987,28,Quitman County,7535,MS,0
781,812,947,1171,1337,28,Rankin County,149645,MS,1
532,536,705,880,970,28,Scott County,28400,MS,0
552,555,705,966,970,28,Sharkey County,4630,MS,0
558,636,735,952,1258,28,Simpson County,27215,MS,1
532,536,705,871,970,28,Smith County,16115,MS,0
527,607,705,1001,1002,28,Stone County,17980,MS,1
480,561,722,893,1004,28,Sunflower County,26915,MS,0
569,573,705,902,1136,28,Tallahatchie County,14550,MS,0
536,619,705,935,1071,28,Tate County,28335,MS,1
552,555,705,969,973,28,Tippah County,21995,MS,0
576,619,705,966,970,28,Tishomingo County,19475,MS,0
629,727,828,1024,1123,28,Tunica County,10275,MS,1
608,619,705,921,1099,28,Union County,28200,MS,0
552,555,705,953,956,28,Walthall County,14670,MS,0
572,575,757,1031,1296,28,Warren County,47510,MS,0
538,580,705,927,1024,28,Washington County,48000,MS,0
552,555,705,871,970,28,Wayne County,20460,MS,0
552,555,705,983,1150,28,Webster County,9870,MS,0
552,555,705,968,970,28,Wilkinson County,9085,MS,0
532,536,705,953,1036,28,Winston County,18480,MS,0
532,536,705,1001,1207,28,Yalobusha County,12425,MS,0
571,575,725,896,1001,28,Yazoo County,27495,MS,1
