gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,MS Mississippi,MS Adams County 28001,9,Summary of All HUD Programs,1,A,Adams County,28001,1369.0,96,1174,98,5.42223441608448,12,2.419784257948,2907.64091387825,210.869101479127,417.532033670845,9561.11033252329,3932.93522719744,18,46,21,11,4,29,7,62,28,94,65,1,57,88,57,25,38,14,9,55,17,19,2,94,93,0,0,1,14.3492786331128,75.1795220658584,99,98.6623749095008,20,33,47,22,35,68,52,A,A,A,-1,-1,MS,-1,A,adams ms,6,94,6,0,0
County,MS Mississippi,MS Alcorn County 28003,9,Summary of All HUD Programs,1,A,Alcorn County,28003,900.0,97,866,99,5.45645725043255,13,1.90857382226769,1670.96750057116,240.929146119886,382.017020126549,10927.1099394827,5725.27497338278,9,48,25,11,7,18,7,72,30,92,60,6,30,74,32,45,43,26,6,44,19,31,3,43,43,0,0,1,2.8188669553743,53.2801453674179,86,109.938271526624,31,28,40,37,23,25,52,A,A,A,-1,-1,MS,-1,A,alcorn ms,57,43,57,0,0
County,MS Mississippi,MS Amite County 28005,9,Summary of All HUD Programs,1,A,Amite County,28005,59.0,93,55,96,5.49303284980034,14,2.41605768044124,213.08196584059,211.331991000484,384.109893804106,9155.74629434493,3789.53961590553,29,40,17,8,6,21,10,64,26,93,72,5,47,85,51,36,84,17,7,71,15,7,0,97,97,0,0,0,6.8318844733155,44.6998143454308,97,81.5093913833198,34,19,47,22,26,44,61,A,A,A,-1,-1,MS,-1,A,amite ms,3,97,3,0,0
County,MS Mississippi,MS Attala County 28007,9,Summary of All HUD Programs,1,A,Attala County,28007,347.0,97,330,98,5.95350607883269,9,2.53107536745816,867.847533632287,203.231260894829,410.910087826162,9464.98753622268,3717.55455263488,26,38,19,12,6,24,14,60,27,90,66,2,58,88,58,30,47,15,6,60,15,18,1,81,78,1,2,0,19.5785589544251,48.5602154334608,96,95.0030484419832,20,42,39,15,25,47,61,A,A,A,-1,-1,MS,-1,A,attala ms,19,81,19,0,0
County,MS Mississippi,MS Benton County 28009,9,Summary of All HUD Programs,1,A,Benton County,28009,1.0,88,1,100,4.49150331782473,-4,-4.0,-4.0,-4.0,-4.0,-4.0,97.1597809643535,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1.0,64.815513690794,-4,-4.0,-4,-4,-4,-4,26,48,66,A,A,A,-1,-1,MS,-1,A,benton ms,0,100,0,0,0
County,MS Mississippi,MS Bolivar County 28011,9,Summary of All HUD Programs,1,A,Bolivar County,28011,922.0,97,887,98,6.20343403042497,11,2.42082003809715,2221.40113755426,205.983025105691,452.155474740955,8686.51277239808,3581.63623272299,24,49,16,8,3,18,4,77,25,95,73,2,48,84,49,35,51,18,9,51,18,23,3,100,99,0,0,0,25.0450617283951,76.7931484282833,98,105.14472577415,31,24,45,17,39,87,49,A,A,A,-1,-1,MS,-1,A,bolivar ms,0,100,0,0,0
County,MS Mississippi,MS Calhoun County 28013,9,Summary of All HUD Programs,1,A,Calhoun County,28013,86.0,93,87,99,6.41119845135721,17,2.06164199075522,180.990465293669,154.875357593876,497.256125271685,7238.88991263112,3539.37139374195,35,44,12,8,0,19,1,79,22,98,81,0,52,84,50,35,21,16,19,47,18,15,0,82,82,0,0,0,-1.0,48.7152143129186,99,90.5849668091614,48,24,28,6,20,35,63,A,A,A,-1,-1,MS,-1,A,calhoun ms,18,82,18,0,0
County,MS Mississippi,MS Carroll County 28015,9,Summary of All HUD Programs,1,A,Carroll County,28015,60.0,89,56,98,6.08578572053425,14,2.4993595737826,145.701328447091,155.870280294518,521.499721041341,6553.37727783497,2622.02259593921,50,34,9,5,2,12,15,73,18,96,86,2,61,98,61,16,80,10,12,65,14,9,0,98,98,0,0,0,-1.0,76.2045366797895,100,109.653926244902,18,48,34,19,16,38,58,A,A,A,-1,-1,MS,-1,A,carroll ms,2,98,2,0,0
County,MS Mississippi,MS Chickasaw County 28017,9,Summary of All HUD Programs,1,A,Chickasaw County,28017,436.0,94,413,97,6.04239840431322,14,2.29167420374129,859.73876561254,205.742307842265,418.53467690203,9235.32060059757,4024.64694339822,21,45,22,8,4,22,16,59,26,96,69,3,53,85,54,32,57,17,10,54,16,20,1,87,86,0,1,2,21.3865730733281,58.7100272766645,97,100.924674745629,21,26,53,30,23,48,56,A,A,A,-1,-1,MS,-1,A,chickasaw ms,13,87,13,0,0
County,MS Mississippi,MS Choctaw County 28019,9,Summary of All HUD Programs,1,A,Choctaw County,28019,37.0,92,33,96,5.3374598347141,6,2.58396422772187,164.348691072899,182.256846823824,380.912758172108,9123.98725696965,3531.00370317964,28,42,19,8,3,19,26,55,26,95,76,3,69,94,73,31,100,13,8,74,16,2,0,95,95,0,0,2,7.14166666666667,61.5347326877203,94,104.007442973548,19,29,52,18,26,38,60,A,A,A,-1,-1,MS,-1,A,choctaw ms,5,95,5,0,0
County,MS Mississippi,MS Claiborne County 28021,9,Summary of All HUD Programs,1,A,Claiborne County,28021,37.0,95,35,99,5.67831556401998,5,3.12531967382597,172.753570657371,212.485332038849,460.065455096306,9919.86479286532,3174.03204412737,25,40,15,11,9,20,31,49,27,91,71,2,80,93,76,30,50,16,2,80,15,4,2,100,100,0,0,2,5.67037833703784,78.3690484023494,91,151.570796840856,2,11,87,18,33,86,54,A,A,A,-1,-1,MS,-1,A,claiborne ms,0,100,0,0,0
County,MS Mississippi,MS Clarke County 28023,9,Summary of All HUD Programs,1,A,Clarke County,28023,241.0,90,199,85,5.83834917349937,10,2.8608601197519,676.053857477414,187.994655170293,423.378046052397,8086.90808185616,2826.74012127425,37,35,15,9,4,17,22,57,22,93,75,5,66,90,68,21,78,11,9,68,13,10,0,91,90,0,0,1,16.7111111111111,42.6507602384996,100,89.5382841986576,11,28,62,21,24,35,64,A,A,A,-1,-1,MS,-1,A,clarke ms,9,91,9,0,0
County,MS Mississippi,MS Clay County 28025,9,Summary of All HUD Programs,1,A,Clay County,28025,727.0,92,660,97,5.60671554072883,12,2.68042346739555,1830.34097315059,211.535719454011,433.010123810664,9454.76173069923,3523.7700167316,22,40,23,10,5,26,14,56,26,94,70,2,68,90,68,22,67,12,8,70,11,11,1,94,93,0,1,0,31.848834502837,64.280783424334,97,113.72644307094,15,39,46,11,28,61,57,A,A,A,-1,-1,MS,-1,A,clay ms,6,94,6,0,0
County,MS Mississippi,MS Coahoma County 28027,9,Summary of All HUD Programs,1,A,Coahoma County,28027,1478.0,87,1301,94,5.68752444280934,7,2.49729878138761,3538.71318715621,205.78721903721,454.945510725708,9679.86013499924,3846.33345675117,23,43,18,10,7,24,6,68,28,91,66,3,48,82,49,25,46,15,3,56,16,24,3,98,98,0,0,1,33.9765332536838,90.315926660913,90,90.8684447178444,34,24,43,13,44,85,41,A,A,A,-1,-1,MS,-1,A,coahoma ms,2,98,2,0,0
County,MS Mississippi,MS Copiah County 28029,9,Summary of All HUD Programs,1,A,Copiah County,28029,316.0,95,304,98,5.21046685792724,7,2.62478237378329,736.055478940592,244.226597991485,381.160537584461,10969.9972112932,4142.28201360662,19,37,20,14,10,27,11,60,22,95,78,4,52,81,52,33,63,18,4,67,18,12,1,94,93,0,0,1,12.3577153672459,76.6903802345892,94,112.647431168841,23,28,49,18,30,70,61,A,A,A,-1,-1,MS,-1,A,copiah ms,6,94,6,0,0
County,MS Mississippi,MS Covington County 28031,9,Summary of All HUD Programs,1,A,Covington County,28031,37.0,91,34,94,5.66438041711584,9,2.55459434104571,222.99080485754,231.891518081648,507.72442297044,11679.2956679941,4504.14737836992,17,35,14,20,14,32,7,60,33,83,53,2,51,80,51,36,40,19,5,62,22,12,0,92,89,2,0,0,4.82522184165978,46.916759438318,100,94.1231573211696,23,29,47,14,39,57,55,A,A,A,-1,-1,MS,-1,A,covington ms,8,92,8,0,0
