Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2023-12-31 00:00:00,County,MS Mississippi,MS Adams County 28001,9,Housing Choice Vouchers,3,,Adams County,28001,261,91,239,100,6,9,2.6,629,326,527,13826,5254,8,18,43,12,19,29,-1,70,27,93,70,1,55,92,54,31,62,17,1,63,21,15,-1,94,94,0,-1,6,-1,-1,-1,0,0,10,100,100,150,11,36,53,32,35,68,73,,,,,,MS,,,adams ms,94,6,0,0
2023-12-31 00:00:00,County,MS Mississippi,MS Adams County 28001,9,Public Housing,2,,Adams County,28001,293,85,249,100,4,12,2.0,509,338,398,16233,7941,-1,13,49,15,23,26,7,67,33,88,61,1,34,76,33,34,39,20,1,34,23,42,3,98,98,-1,-1,2,0,-1,-1,0,0,5,138,99,143,25,17,58,43,54,84,59,,,,,,MS,,,adams ms,98,2,0,0
2023-12-31 00:00:00,County,MS Mississippi,MS Adams County 28001,9,Project Based Section 8,5,,Adams County,28001,590,93,568,100,6,18,2.4,1361,231,716,10718,4473,30,12,34,11,13,25,0,73,21,95,74,1,59,76,49,16,47,10,12,55,10,23,1,92,92,-1,0,7,0,0,-1,0,1,-1,77,100,124,25,32,43,16,34,59,52,,,,,,MS,,,adams ms,93,7,0,0
2023-12-31 00:00:00,County,MS Mississippi,MS Adams County 28001,9,Summary of All HUD Programs,1,,Adams County,28001,1144,90,1056,100,6,15,2.4,2499,278,596,12722,5376,18,14,40,12,17,26,2,71,25,93,70,1,52,79,46,23,46,14,7,52,16,26,1,94,94,0,0,5,0,0,-1,0,0,8,97,100,134,22,29,49,26,39,67,58,,,,,,MS,,,adams ms,95,5,0,0
2023-12-31 00:00:00,County,MS Mississippi,MS Alcorn County 28003,9,811/PRAC,9,,Alcorn County,28003,18,88,18,100,7,22,1.1,20,296,314,12231,11008,-1,6,71,18,6,6,-1,89,28,94,72,-1,-1,50,-1,100,67,90,6,44,17,33,-1,0,-1,-1,-1,50,-1,-1,-1,0,0,-1,55,100,108,100,-1,-1,-1,4,5,17,,,,,,MS,,,alcorn ms,0,50,50,0
2023-12-31 00:00:00,County,MS Mississippi,MS Alcorn County 28003,9,202/PRAC,8,,Alcorn County,28003,38,89,37,100,6,24,1.0,37,331,546,13876,13876,-1,8,51,32,8,3,-1,97,32,100,49,-1,-1,73,-1,-1,-1,0,-1,-1,-1,100,11,19,16,-1,-1,70,-1,-1,3,3,0,-1,37,-1,-1,100,-1,-1,-1,6,17,87,,,,,,MS,,,alcorn ms,26,74,0,1
2023-12-31 00:00:00,County,MS Mississippi,MS Alcorn County 28003,9,Housing Choice Vouchers,3,,Alcorn County,28003,216,82,208,100,5,12,2.1,431,359,674,14404,6951,1,13,51,18,16,18,-1,82,29,95,64,1,43,82,42,52,78,31,1,47,24,28,0,49,47,0,-1,51,-1,1,-1,1,0,6,79,98,169,8,51,40,50,26,38,65,,,,,,MS,,,alcorn ms,49,51,0,0
2023-12-31 00:00:00,County,MS Mississippi,MS Alcorn County 28003,9,Public Housing,2,,Alcorn County,28003,330,99,328,100,6,15,1.8,585,303,539,16187,9076,13,5,39,17,26,18,-1,82,35,81,49,5,21,70,22,41,31,21,3,28,20,50,4,56,54,-1,0,44,-1,2,-1,2,0,11,84,78,89,40,30,30,32,34,55,43,,,,,,MS,,,alcorn ms,56,44,0,0
2023-12-31 00:00:00,County,MS Mississippi,MS Alcorn County 28003,9,Project Based Section 8,5,,Alcorn County,28003,343,84,316,100,5,19,2.1,677,299,601,12950,6045,16,12,37,15,19,24,2,72,26,92,64,4,38,73,38,39,73,25,8,46,21,25,1,47,46,0,-1,53,0,0,-1,1,0,-1,64,84,169,25,29,45,33,22,34,57,,,,,,MS,,,alcorn ms,47,53,0,0
2023-12-31 00:00:00,County,MS Mississippi,MS Alcorn County 28003,9,Summary of All HUD Programs,1,,Alcorn County,28003,946,89,907,100,6,16,1.9,1750,316,585,14477,7503,10,10,42,17,20,19,1,79,30,89,58,4,31,74,31,45,46,25,4,38,20,38,3,48,47,0,0,50,0,1,0,1,0,9,73,82,140,31,33,36,35,27,42,54,,,,,,MS,,,alcorn ms,50,50,0,0
2023-12-31 00:00:00,County,MS Mississippi,MS Amite County 28005,9,811/PRAC,9,,Amite County,28005,18,85,18,100,6,28,1.0,18,275,314,11421,11421,-1,-1,94,6,-1,-1,-1,100,27,100,89,-1,-1,67,-1,100,83,94,6,11,50,33,-1,100,100,-1,-1,-1,-1,-1,-1,0,0,-1,68,100,90,100,-1,-1,-1,30,44,63,,,,,,MS,,,amite ms,100,0,0,0
2023-12-31 00:00:00,County,MS Mississippi,MS Amite County 28005,9,Housing Choice Vouchers,3,,Amite County,28005,28,91,26,100,5,8,3.1,81,273,526,11298,3627,15,15,46,19,4,38,-1,62,21,100,88,4,58,96,62,26,67,12,-1,77,12,12,-1,92,88,-1,-1,8,4,-1,-1,4,0,18,93,100,142,8,27,65,27,29,39,49,,,,,,MS,,,amite ms,92,8,0,0
2023-12-31 00:00:00,County,MS Mississippi,MS Amite County 28005,9,Public Housing,2,,Amite County,28005,38,70,26,99,5,4,2.3,59,328,840,13913,6131,15,12,38,15,19,35,-1,65,27,88,69,4,42,81,46,33,80,20,-1,54,27,19,4,100,100,-1,-1,-1,-1,-1,-1,0,0,9,87,96,114,38,15,46,12,24,36,51,,,,,,MS,,,amite ms,100,0,0,0
2023-12-31 00:00:00,County,MS Mississippi,MS Amite County 28005,9,Summary of All HUD Programs,1,,Amite County,28005,84,80,70,100,5,11,2.3,158,294,601,12301,5450,11,10,56,14,9,27,-1,73,25,96,81,3,37,83,40,45,79,25,1,51,27,20,1,97,96,-1,-1,3,1,-1,-1,1,0,14,84,99,118,43,16,41,14,27,39,53,,,,,,MS,,,amite ms,97,3,0,0
