State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
MS,Adams County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,Alcorn County,13850,15850,17800,19800,21400,22950,24550,26150,8350,9500,10700,11900,12850,13800,14750,15700,22200,25350,28550,31700,34250,36750,39300,41850
MS,Amite County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,Attala County,13450,15400,17300,19250,20750,22300,23850,25400,8100,9250,10400,11550,12450,13400,14300,15250,21550,24650,27700,30800,33250,35750,38200,40650
MS,Benton County,12850,14700,16500,18350,19800,21300,22750,24200,7700,8800,9900,11000,11900,12750,13650,14500,20550,23500,26400,29350,31700,34050,36400,38750
MS,Bolivar County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,Calhoun County,13900,15900,17850,19850,21450,23050,24600,26200,8350,9550,10700,11900,12850,13800,14750,15700,22250,25400,28600,31750,34300,36850,39400,41900
MS,Carroll County,13700,15700,17650,19600,21150,22750,24300,25850,8250,9400,10600,11750,12700,13650,14600,15500,21950,25100,28200,31350,33850,36400,38900,41400
MS,Chickasaw County,13950,15900,17900,19900,21500,23100,24700,26250,8350,9550,10750,11950,12900,13850,14800,15750,22300,25500,28650,31850,34400,36950,39500,42050
MS,Choctaw County,13300,15200,17100,19000,20500,22050,23550,25100,8000,9100,10250,11400,12300,13200,14150,15050,21300,24300,27350,30400,32850,35250,37700,40150
MS,Claiborne County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,Clarke County,14200,16250,18250,20300,21900,23550,25150,26800,8550,9750,11000,12200,13200,14150,15150,16100,22750,26000,29250,32500,35100,37700,40300,42900
MS,Clay County,13000,14900,16750,18600,20100,21600,23050,24550,7800,8900,10050,11150,12050,12950,13850,14700,20850,23800,26800,29750,32150,34500,36900,39250
MS,Coahoma County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,Copiah County,18600,21250,23900,26550,28650,30800,32900,35050,11150,12750,14350,15950,17250,18500,19800,21050,29750,34000,38250,42500,45900,49300,52700,56100
MS,Covington County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,DeSoto County,20050,22900,25800,28650,30950,33250,35550,37800,12050,13750,15500,17200,18600,19950,21350,22700,32100,36700,41250,45850,49500,53200,56850,60500
MS,Forrest County,15050,17200,19350,21500,23200,24950,26650,28400,9050,10300,11600,12900,13950,14950,16000,17050,24100,27500,30950,34400,37150,39900,42650,45400
MS,Franklin County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,George County,16900,19300,21750,24150,26100,28000,29950,31900,10150,11600,13050,14500,15650,16800,18000,19150,27050,30900,34800,38650,41750,44850,47950,51000
MS,Greene County,13600,15550,17500,19450,21000,22550,24100,25650,8150,9350,10500,11650,12600,13550,14450,15400,21800,24900,28000,31100,33600,36100,38600,41100
MS,Grenada County,13700,15650,17600,19550,21100,22700,24250,25800,8250,9400,10600,11750,12700,13650,14550,15500,21900,25050,28150,31300,33800,36300,38800,41300
MS,Hancock County,16400,18750,21100,23450,25350,27200,29100,30950,9850,11250,12650,14050,15200,16300,17450,18550,26250,30000,33750,37500,40500,43500,46500,49550
MS,Harrison County,16400,18750,21100,23450,25350,27200,29100,30950,9850,11250,12650,14050,15200,16300,17450,18550,26250,30000,33750,37500,40500,43500,46500,49550
MS,Hinds County,18600,21250,23900,26550,28650,30800,32900,35050,11150,12750,14350,15950,17250,18500,19800,21050,29750,34000,38250,42500,45900,49300,52700,56100
MS,Holmes County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,Humphreys County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,Issaquena County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,Itawamba County,15100,17250,19400,21550,23250,25000,26700,28450,9050,10350,11650,12950,14000,15000,16050,17100,24150,27600,31050,34500,37250,40000,42800,45550
MS,Jackson County,16900,19300,21750,24150,26100,28000,29950,31900,10150,11600,13050,14500,15650,16800,18000,19150,27050,30900,34800,38650,41750,44850,47950,51000
MS,Jasper County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,Jefferson County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,Jefferson Davis County,12800,14600,16450,18250,19700,21150,22650,24100,7650,8750,9850,10950,11850,12700,13600,14450,20450,23350,26300,29200,31550,33850,36200,38550
MS,Jones County,13650,15600,17550,19500,21050,22600,24200,25750,8200,9350,10550,11700,12650,13550,14500,15450,21850,24950,28100,31200,33700,36200,38700,41200
