fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
541,664,757,980,1296,30,Beaverhead County,9360,MT,0
561,632,794,996,1164,30,Big Horn County,13290,MT,0
535,664,757,1018,1124,30,Blaine County,6645,MT,0
566,622,802,991,1088,30,Broadwater County,5755,MT,0
646,730,960,1315,1543,30,Carbon County,10465,MT,1
535,664,757,1075,1183,30,Carter County,1320,MT,0
638,652,849,1190,1393,30,Cascade County,81815,MT,1
557,600,789,975,1070,30,Chouteau County,5810,MT,0
595,646,842,1196,1247,30,Custer County,11895,MT,0
535,575,757,1075,1183,30,Daniels County,1790,MT,0
650,807,920,1137,1248,30,Dawson County,9325,MT,0
535,660,757,1047,1148,30,Deer Lodge County,9130,MT,0
610,657,864,1068,1350,30,Fallon County,2925,MT,0
587,632,831,1027,1422,30,Fergus County,11325,MT,0
611,699,920,1307,1568,30,Flathead County,96145,MT,0
754,825,1078,1531,1845,30,Gallatin County,100735,MT,0
535,575,757,1032,1183,30,Garfield County,1085,MT,0
566,640,757,969,1122,30,Glacier County,13675,MT,0
549,591,778,1105,1215,30,Golden Valley County,745,MT,0
535,597,757,1012,1183,30,Granite County,3205,MT,0
612,620,767,1052,1113,30,Hill County,16470,MT,0
617,664,874,1152,1381,30,Jefferson County,11625,MT,0
535,575,757,936,1183,30,Judith Basin County,1965,MT,0
534,637,804,1001,1090,30,Lake County,29520,MT,0
618,736,923,1206,1415,30,Lewis and Clark County,66290,MT,0
567,664,757,1032,1183,30,Liberty County,2245,MT,0
535,644,757,1075,1220,30,Lincoln County,19250,MT,0
535,575,757,1032,1183,30,McCone County,1730,MT,0
779,793,903,1116,1411,30,Madison County,7900,MT,0
535,575,757,956,1183,30,Meagher County,2000,MT,0
535,633,757,1075,1140,30,Mineral County,4195,MT,0
717,813,1020,1440,1746,30,Missoula County,114230,MT,1
573,655,862,1130,1355,30,Musselshell County,4765,MT,0
723,727,957,1317,1395,30,Park County,16000,MT,0
610,657,864,1178,1350,30,Petroleum County,455,MT,0
535,575,757,1009,1183,30,Phillips County,4140,MT,0
535,664,757,1075,1296,30,Pondera County,6080,MT,0
535,575,757,1075,1183,30,Powder River County,1610,MT,0
535,575,757,970,1296,30,Powell County,6850,MT,0
610,657,864,1178,1350,30,Prairie County,1325,MT,0
566,609,801,1126,1371,30,Ravalli County,41385,MT,0
628,676,890,1157,1280,30,Richland County,11405,MT,0
590,594,782,967,1336,30,Roosevelt County,11220,MT,0
535,643,757,1017,1266,30,Rosebud County,9290,MT,0
562,575,757,1075,1198,30,Sanders County,11415,MT,0
576,716,816,1078,1107,30,Sheridan County,3570,MT,0
581,663,829,1025,1240,30,Silver Bow County,34515,MT,0
574,649,854,1213,1446,30,Stillwater County,9340,MT,1
552,617,782,1111,1222,30,Sweet Grass County,3645,MT,0
535,592,757,1053,1296,30,Teton County,6040,MT,0
535,620,757,1075,1183,30,Toole County,5030,MT,0
610,657,864,1178,1350,30,Treasure County,790,MT,0
535,575,757,999,1027,30,Valley County,7560,MT,0
535,575,757,936,1183,30,Wheatland County,2110,MT,0
610,657,864,1178,1350,30,Wibaux County,1120,MT,0
646,730,960,1315,1543,30,Yellowstone County,156330,MT,1
