gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,MT Montana,MT Beaverhead County 30001,9,Summary of All HUD Programs,1,A,Beaverhead County,30001,122.0,84,106,89,5.35318368180804,16,1.79843417889529,216.010590858417,233.55972303437,496.224697180232,10477.3001466507,5825.79016213232,13,43,26,11,8,19,2,78,25,96,71,8,29,77,30,34,38,22,8,40,14,37,5,9,0,3,1,4,18.5,58.9925005491666,57,89.622591965447,43,38,20,17,18,6,47,A,A,A,-1,-1,MT,-1,A,beaverhead mt,91,9,91,0,0
County,MT Montana,MT Big Horn County 30003,9,Summary of All HUD Programs,1,A,Big Horn County,30003,85.0,90,79,100,3.41058201058201,16,3.35443037974683,256.580267558528,235.0,461.064102564102,9468.6329113924,2822.72452830189,24,42,14,13,8,24,4,72,18,100,84,14,68,89,76,11,80,5,16,68,9,6,0,85,0,85,0,0,27.6230769230769,37.031223628692,86,139.25,15,44,41,3,21,37,49,A,A,A,-1,-1,MT,-1,A,big horn mt,15,85,15,0,0
County,MT Montana,MT Blaine County 30005,9,Summary of All HUD Programs,1,A,Blaine County,30005,88.0,90,65,95,4.74969678641084,16,2.28138321468139,154.020333448564,212.942232233295,464.861922711383,9862.59326894287,4323.07610815846,22,32,26,18,3,14,0,86,22,97,71,17,26,73,39,26,27,13,7,47,11,35,17,62,0,61,2,0,25.3666666666667,57.1372814338541,57,192.205901551096,48,28,24,6,20,17,53,A,A,A,-1,-1,MT,-1,A,blaine mt,38,62,38,0,0
County,MT Montana,MT Broadwater County 30007,9,Summary of All HUD Programs,1,A,Broadwater County,30007,15.0,90,14,100,5.97575623849926,21,1.92554314496265,26.1864916598305,261.889669631443,447.560285552765,8961.81700850147,4654.1761642403,14,64,14,7,0,14,0,86,20,100,100,0,14,50,14,83,51,41,0,28,57,15,0,0,0,0,0,0,25.9666666666667,48.3956784275573,86,189.531679996104,28,43,28,50,13,4,53,A,A,A,-1,-1,MT,-1,A,broadwater mt,100,0,100,0,0
County,MT Montana,MT Carbon County 30009,9,Summary of All HUD Programs,1,A,Carbon County,30009,50.0,85,46,96,4.77588158817342,9,1.62964829452018,102.744147157191,275.42657197673,471.934243651488,11712.0527761569,7186.85916190601,10,36,33,11,9,20,0,80,24,100,77,3,25,56,25,54,35,33,3,48,19,30,2,5,0,2,2,2,14.6333333333333,63.2239343182501,40,142.423076923077,60,23,17,14,12,4,55,A,A,A,-1,-1,MT,-1,A,carbon mt,95,5,95,0,0
County,MT Montana,MT Carter County 30011,9,Summary of All HUD Programs,1,A,Carter County,30011,1.0,90,1,100,5.06666666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,17183.0,-4,-4,-4,-4,-4,-4,-4,-4,44,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,109.566666666667,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,MT,-1,A,carter mt,100,0,100,0,0
County,MT Montana,MT Cascade County 30013,9,Summary of All HUD Programs,1,A,Cascade County,30013,2190.0,89,1841,97,4.96187512715855,16,2.08127081246346,3916.39323678872,240.211026872051,420.260978709298,10774.0768601175,5172.6142316568,19,36,22,13,10,29,5,65,24,95,69,6,38,73,38,36,47,21,11,48,19,22,2,23,2,18,1,3,14.4531649527008,55.2639626201502,30,90.9905520063126,40,36,24,11,23,15,40,A,A,A,-1,-1,MT,-1,A,cascade mt,77,23,77,0,0
County,MT Montana,MT Chouteau County 30015,9,Summary of All HUD Programs,1,A,Chouteau County,30015,66.0,55,29,71,5.00753257404887,33,1.33196264469588,54.3142292490119,260.371077599866,290.440147631741,12586.7121591142,9449.74861662733,4,21,44,18,14,14,0,86,31,92,51,2,8,60,2,50,9,24,8,18,25,50,23,7,0,3,4,0,23.8333333333333,47.4240471974202,17,202.714285714286,86,9,5,12,14,3,64,A,A,A,-1,-1,MT,-1,A,chouteau mt,93,7,93,0,0
County,MT Montana,MT Custer County 30017,9,Summary of All HUD Programs,1,A,Custer County,30017,191.0,92,129,100,5.80768617875731,15,1.75608970387808,237.013377926421,242.429615184937,373.853254075567,10728.1491884525,6093.89162797917,12,44,27,7,10,20,0,80,25,96,68,10,25,67,29,48,35,26,6,45,16,33,12,7,0,5,1,1,36.4333333333333,55.2100532771651,60,98.3019349219187,45,37,18,19,18,5,50,A,A,A,-1,-1,MT,-1,A,custer mt,93,7,93,0,0
County,MT Montana,MT Daniels County 30019,9,Summary of All HUD Programs,1,A,Daniels County,30019,8.0,88,8,100,6.13,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8119.53846153846,-4,-4,-4,-4,-4,-4,-4,-4,29,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,-4,-4,-4,-4,-1.0,21.24,-4,-4.0,-4,-4,-4,-4,17,4,71,A,A,A,-1,-1,MT,-1,A,daniels mt,90,10,90,0,0
