gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,MT Montana,MT Deer Lodge County 30023,9,S236/BMIR,7,,Deer Lodge County,30023,23,-5,12,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,MT,,,deer lodge mt,-5,-5,0,0
County,MT Montana,MT Hill County 30041,9,S236/BMIR,7,,Hill County,30041,53,-5,30,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,MT,,,hill mt,-5,-5,0,0
County,MT Montana,MT Lewis and Clark County 30049,9,S236/BMIR,7,,Lewis and Clark County,30049,78,-5,29,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,MT,,,lewis and clark mt,-5,-5,0,0
County,MT Montana,MT Yellowstone County 30111,9,S236/BMIR,7,,Yellowstone County,30111,31,-5,13,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,MT,,,yellowstone mt,-5,-5,0,0
County,MT Montana,MT Chouteau County 30015,9,Project Based Section 8,5,,Chouteau County,30015,34,60,24,100,6,42,1.1,26,285,289,13491,12453,-1,29,38,25,8,21,-1,79,33,92,42,-1,-1,58,-1,43,-1,12,8,-1,21,71,13,4,4,-1,-1,83,-1,-1,-1,0,4,-1,41,-1,-1,100,-1,-1,-1,8,5,77,,,,,,MT,,,chouteau mt,4,83,13,0
County,MT Montana,MT Hill County 30041,9,Project Based Section 8,5,,Hill County,30041,152,84,136,100,6,38,2.4,332,172,433,7749,3174,37,29,19,10,5,21,5,68,16,100,82,16,44,77,51,15,15,6,23,50,8,19,4,57,1,54,1,31,-1,1,1,2,1,-1,30,-1,-1,32,33,35,4,27,23,53,,,,,,MT,,,hill mt,57,31,12,0
County,MT Montana,MT Yellowstone County 30111,9,202/PRAC,8,,Yellowstone County,30111,158,98,150,98,6,13,1.0,154,301,231,14610,14231,-1,23,37,21,19,1,-1,99,34,90,43,-1,-1,74,-1,-1,5,5,-1,-1,-1,100,17,3,1,2,-1,85,-1,-1,1,1,1,-1,48,6,75,100,-1,-1,-1,20,15,42,,,,,,MT,,,yellowstone mt,3,85,12,0
County,MT Montana,MT Blaine County 30005,9,Project Based Section 8,5,,Blaine County,30005,25,96,24,100,6,13,1.2,28,261,394,14377,12323,-1,25,29,33,13,4,-1,96,34,96,38,-1,-1,63,-1,100,48,46,-1,4,8,88,33,8,-1,8,-1,83,-1,-1,-1,0,0,-1,53,-1,-1,83,17,-1,-1,18,9,76,,,,,,MT,,,blaine mt,8,83,9,0
County,MT Montana,MT Flathead County 30029,9,202/PRAC,8,,Flathead County,30029,22,97,22,100,5,9,1.0,23,276,194,12531,11987,-1,23,59,18,-1,-1,-1,100,31,100,59,-1,-1,64,-1,-1,23,22,-1,-1,-1,100,-1,14,-1,14,-1,77,-1,-1,-1,0,9,-1,31,100,45,100,-1,-1,-1,17,7,57,,,,,,MT,,,flathead mt,14,77,9,0
County,MT Montana,MT Jefferson County 30043,9,Project Based Section 8,5,,Jefferson County,30043,44,77,33,97,9,27,1.5,51,230,314,9621,6225,28,16,34,16,6,21,-1,73,17,100,88,-1,36,55,30,22,10,14,15,30,24,30,-1,3,-1,3,-1,88,-1,-1,-1,0,0,-1,27,-1,-1,42,58,-1,12,11,7,83,,,,,,MT,,,jefferson mt,3,88,9,0
County,MT Montana,MT Pondera County 30073,9,Project Based Section 8,5,,Pondera County,30073,33,79,28,100,6,25,1.3,36,226,266,10682,8308,4,35,50,12,-1,7,-1,86,26,100,64,4,11,50,11,14,24,19,7,18,-1,75,25,21,-1,11,11,71,-1,-1,-1,0,7,-1,52,-1,-1,86,14,-1,4,15,14,75,,,,,,MT,,,pondera mt,21,71,8,0
County,MT Montana,MT Lake County 30047,9,Project Based Section 8,5,,Lake County,30047,62,94,63,100,5,21,1.5,93,211,606,9269,6279,12,37,39,9,4,13,-1,78,22,98,79,6,24,75,29,47,36,29,8,32,21,40,2,25,-1,19,2,68,-1,3,2,5,2,-1,45,-1,-1,65,29,6,8,25,26,76,,,,,,MT,,,lake mt,25,68,7,0
