Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2017-12-31 00:00:00,County,MT Montana,MT Gallatin County 30031,9,Project Based Section 8,5,,Gallatin County,30031,196,92,183,100,6,13,1.6,285,278,482,12499,8025,9,31,34,12,14,19,-1,80,23,99,76,6,16,62,19,60,30,31,6,30,22,42,1,7,2,2,1,86,-1,3,1,3,3,-1,66,-1,-1,69,21,9,5,20,9,28,,,,,,MT,,,gallatin mt,7,86,7,0
2017-12-31 00:00:00,County,MT Montana,MT Yellowstone County 30111,9,202/PRAC,8,,Yellowstone County,30111,157,97,157,100,6,13,1.0,164,303,354,14529,13909,1,22,34,31,13,3,-1,97,30,98,54,-1,-1,71,-1,-1,3,3,-1,-1,-1,100,15,6,1,3,-1,87,-1,-1,2,2,3,-1,56,6,87,100,-1,-1,-1,17,15,40,,,,,,MT,,,yellowstone mt,6,87,7,0
2017-12-31 00:00:00,County,MT Montana,MT Hill County 30041,9,Project Based Section 8,5,,Hill County,30041,152,90,141,100,5,36,2.5,359,207,471,9048,3554,37,25,16,12,10,28,3,67,18,99,77,19,37,70,48,15,15,6,25,48,9,18,4,59,-1,52,3,35,-1,1,4,4,4,-1,33,-1,-1,30,30,39,9,32,23,57,,,,,,MT,,,hill mt,59,35,6,0
2017-12-31 00:00:00,County,MT Montana,MT Lake County 30047,9,Project Based Section 8,5,,Lake County,30047,62,99,62,100,4,15,1.5,96,252,595,10696,6908,7,42,32,14,5,11,2,79,24,98,73,5,23,74,24,50,43,30,5,27,23,45,3,26,2,16,-1,69,-1,5,3,8,3,-1,53,-1,-1,66,27,6,6,17,26,81,,,,,,MT,,,lake mt,26,69,5,0
2017-12-31 00:00:00,County,MT Montana,MT Liberty County 30051,9,Project Based Section 8,5,,Liberty County,30051,30,67,20,99,5,30,1.3,26,193,336,10956,8427,-1,35,35,24,6,5,-1,80,25,100,65,5,10,65,15,43,23,23,5,20,10,65,10,5,-1,-1,-1,90,-1,5,-1,5,0,-1,61,-1,-1,75,25,-1,5,15,2,63,,,,,,MT,,,liberty mt,5,90,5,0
2017-12-31 00:00:00,County,MT Montana,MT Beaverhead County 30001,9,Summary of All HUD Programs,1,,Beaverhead County,30001,110,88,103,100,5,23,1.7,177,270,570,12130,7059,8,32,30,21,9,25,5,66,26,97,63,5,32,77,32,30,62,27,9,30,17,45,10,13,-1,6,-1,87,-1,5,2,7,3,11,64,54,88,46,34,20,17,20,8,64,,,,,,MT,,,beaverhead mt,13,87,0,0
2017-12-31 00:00:00,County,MT Montana,MT Beaverhead County 30001,9,Housing Choice Vouchers,3,,Beaverhead County,30001,22,83,18,100,6,6,1.5,27,311,539,12976,8651,-1,44,28,22,6,22,-1,78,28,94,72,-1,28,78,22,67,100,56,-1,11,56,33,6,11,-1,-1,-1,89,-1,11,-1,11,0,11,104,89,145,28,44,28,56,19,8,66,,,,,,MT,,,beaverhead mt,11,89,0,0
2017-12-31 00:00:00,County,MT Montana,MT Beaverhead County 30001,9,Project Based Section 8,5,,Beaverhead County,30001,88,89,85,100,5,27,1.8,150,262,578,11951,6772,10,29,30,21,10,26,6,64,26,98,61,6,33,76,34,20,56,22,11,34,8,47,11,13,-1,7,-1,87,-1,4,2,6,4,-1,55,47,65,49,32,19,8,21,8,63,,,,,,MT,,,beaverhead mt,13,87,0,0
2017-12-31 00:00:00,County,MT Montana,MT Big Horn County 30003,9,Summary of All HUD Programs,1,,Big Horn County,30003,48,83,40,100,5,20,2.9,114,249,539,8746,3069,7,41,24,14,14,20,13,40,17,98,83,13,45,85,48,24,67,12,5,55,25,15,-1,80,3,75,-1,20,-1,3,-1,3,0,3,77,73,172,20,45,35,13,17,47,69,,,,,,MT,,,big horn mt,80,20,0,0
2017-12-31 00:00:00,County,MT Montana,MT Big Horn County 30003,9,Housing Choice Vouchers,3,,Big Horn County,30003,48,83,40,100,5,20,2.9,114,249,539,8746,3069,7,41,24,14,14,20,13,40,17,98,83,13,45,85,48,24,67,12,5,55,25,15,-1,80,3,75,-1,20,-1,3,-1,3,0,3,77,73,172,20,45,35,13,17,47,69,,,,,,MT,,,big horn mt,80,20,0,0
