State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
MT,Beaverhead County,25250,28850,32450,36050,38950,41850,44750,47600,15200,17420,21960,26500,31040,35580,40120,44660,40400,46200,51950,57700,62350,66950,71550,76200
MT,Big Horn County,24850,28400,31950,35500,38350,41200,44050,46900,14950,17420,21960,26500,31040,35580,40120,44660,39800,45450,51150,56800,61350,65900,70450,75000
MT,Blaine County,24850,28400,31950,35500,38350,41200,44050,46900,14950,17420,21960,26500,31040,35580,40120,44660,39800,45450,51150,56800,61350,65900,70450,75000
MT,Broadwater County,25250,28850,32450,36050,38950,41850,44750,47600,15200,17420,21960,26500,31040,35580,40120,44660,40400,46200,51950,57700,62350,66950,71550,76200
MT,Carbon County,28000,32000,36000,40000,43200,46400,49600,52800,16800,19200,21960,26500,31040,35580,40120,44660,44800,51200,57600,64000,69150,74250,79400,84500
MT,Carter County,24850,28400,31950,35500,38350,41200,44050,46900,14950,17420,21960,26500,31040,35580,40120,44660,39800,45450,51150,56800,61350,65900,70450,75000
MT,Cascade County,24850,28400,31950,35500,38350,41200,44050,46900,14950,17420,21960,26500,31040,35580,40120,44660,39800,45450,51150,56800,61350,65900,70450,75000
MT,Chouteau County,24850,28400,31950,35500,38350,41200,44050,46900,14950,17420,21960,26500,31040,35580,40120,44660,39800,45450,51150,56800,61350,65900,70450,75000
MT,Custer County,27450,31350,35250,39150,42300,45450,48550,51700,16450,18800,21960,26500,31040,35580,40120,44660,43900,50150,56400,62650,67700,72700,77700,82700
MT,Daniels County,26050,29750,33450,37150,40150,43100,46100,49050,15650,17850,21960,26500,31040,35580,40120,44660,41650,47600,53550,59450,64250,69000,73750,78500
MT,Dawson County,26700,30500,34300,38100,41150,44200,47250,50300,16000,18300,21960,26500,31040,35580,40120,44660,42700,48800,54900,60950,65850,70750,75600,80500
MT,Deer Lodge County,24850,28400,31950,35500,38350,41200,44050,46900,14950,17420,21960,26500,31040,35580,40120,44660,39800,45450,51150,56800,61350,65900,70450,75000
MT,Fallon County,28350,32400,36450,40450,43700,46950,50200,53400,17000,19400,21960,26500,31040,35580,40120,44660,45300,51800,58250,64700,69900,75100,80250,85450
MT,Fergus County,24850,28400,31950,35500,38350,41200,44050,46900,14950,17420,21960,26500,31040,35580,40120,44660,39800,45450,51150,56800,61350,65900,70450,75000
