State code,PUMA,County code,State abbr.,County_Name,allocation factor
37,100,37009,NC,Ashe NC,0.1991
37,100,37011,NC,Avery NC,0.1359
37,100,37121,NC,Mitchell NC,0.1137
37,100,37189,NC,Watauga NC,0.4113
37,100,37199,NC,Yancey NC,0.14
37,200,37009,NC,Ashe NC,1.0
37,2000,37189,NC,Watauga NC,1.0
37,2100,37121,NC,Mitchell NC,0.011
37,2100,37199,NC,Yancey NC,0.989
37,2202,37199,NC,Yancey NC,1.0
37,2300,37199,NC,Yancey NC,1.0
37,100,37005,NC,Alleghany NC,0.227
37,100,37193,NC,Wilkes NC,0.773
37,200,37005,NC,Alleghany NC,0.0732
37,200,37171,NC,Surry NC,0.4832
37,200,37193,NC,Wilkes NC,0.4437
37,300,37171,NC,Surry NC,1.0
37,1900,37193,NC,Wilkes NC,1.0
37,200,37169,NC,Stokes NC,1.0
37,300,37157,NC,Rockingham NC,0.6792
37,300,37169,NC,Stokes NC,0.3208
37,1703,37157,NC,Rockingham NC,1.0
37,1803,37169,NC,Stokes NC,1.0
37,400,37033,NC,Caswell NC,0.1869
37,400,37077,NC,Granville NC,0.4943
37,400,37145,NC,Person NC,0.3188
37,500,37077,NC,Granville NC,1.0
37,1206,37077,NC,Granville NC,1.0
37,1302,37145,NC,Person NC,1.0
37,1400,37145,NC,Person NC,1.0
37,1600,37033,NC,Caswell NC,1.0
37,500,37069,NC,Franklin NC,0.6147
37,500,37181,NC,Vance NC,0.3853
37,900,37069,NC,Franklin NC,1.0
37,1203,37069,NC,Franklin NC,1.0
37,1204,37069,NC,Franklin NC,1.0
37,500,37185,NC,Warren NC,1.0
37,600,37083,NC,Halifax NC,0.5196
37,600,37091,NC,Hertford NC,0.2302
37,600,37131,NC,Northampton NC,0.1866
37,600,37185,NC,Warren NC,0.0636
37,800,37091,NC,Hertford NC,0.6522
37,800,37131,NC,Northampton NC,0.3478
37,700,37029,NC,Camden NC,0.0891
37,700,37041,NC,Chowan NC,0.118
37,700,37053,NC,Currituck NC,0.2418
37,700,37073,NC,Gates NC,0.0902
37,700,37139,NC,Pasquotank NC,0.3491
37,700,37143,NC,Perquimans NC,0.1119
37,800,37015,NC,Bertie NC,0.1874
37,800,37055,NC,Dare NC,0.3857
37,800,37095,NC,Hyde NC,0.0479
37,800,37117,NC,Martin NC,0.2302
37,800,37177,NC,Tyrrell NC,0.0339
37,800,37187,NC,Washington NC,0.115
37,4400,37013,NC,Beaufort NC,0.7844
37,4400,37137,NC,Pamlico NC,0.2156
37,600,37065,NC,Edgecombe NC,1.0
37,800,37065,NC,Edgecombe NC,1.0
37,900,37065,NC,Edgecombe NC,0.3372
37,900,37127,NC,Nash NC,0.6628
37,1000,37065,NC,Edgecombe NC,0.9342
37,1000,37127,NC,Nash NC,0.0658
37,1100,37127,NC,Nash NC,1.0
37,1204,37127,NC,Nash NC,1.0
37,4200,37065,NC,Edgecombe NC,1.0
37,900,37101,NC,Johnston NC,0.4157
37,900,37195,NC,Wilson NC,0.5843
37,1000,37079,NC,Greene NC,0.207
37,1000,37195,NC,Wilson NC,0.793
37,1100,37101,NC,Johnston NC,0.9979
37,1100,37195,NC,Wilson NC,0.0021
37,1204,37101,NC,Johnston NC,1.0
37,4100,37079,NC,Greene NC,1.0
37,1100,37101,NC,Johnston NC,1.0
37,1205,37101,NC,Johnston NC,1.0
37,3800,37101,NC,Johnston NC,1.0
37,3900,37101,NC,Johnston NC,1.0
37,1201,37183,NC,Wake NC,1.0
37,1204,37183,NC,Wake NC,1.0
37,1207,37183,NC,Wake NC,1.0
37,1202,37183,NC,Wake NC,1.0
37,1206,37183,NC,Wake NC,1.0
37,500,37183,NC,Wake NC,1.0
37,1203,37183,NC,Wake NC,1.0
37,1204,37183,NC,Wake NC,1.0
37,1206,37183,NC,Wake NC,1.0
37,1100,37183,NC,Wake NC,1.0
37,1201,37183,NC,Wake NC,1.0
37,1203,37183,NC,Wake NC,1.0
37,1204,37183,NC,Wake NC,1.0
37,1205,37183,NC,Wake NC,1.0
37,1100,37183,NC,Wake NC,1.0
37,1201,37183,NC,Wake NC,1.0
37,1205,37183,NC,Wake NC,1.0
37,1208,37183,NC,Wake NC,1.0
37,3800,37183,NC,Wake NC,1.0
37,1202,37183,NC,Wake NC,1.0
37,1203,37183,NC,Wake NC,1.0
37,1206,37183,NC,Wake NC,1.0
37,1207,37183,NC,Wake NC,1.0
37,1208,37183,NC,Wake NC,1.0
37,1302,37183,NC,Wake NC,1.0
37,1500,37183,NC,Wake NC,1.0
37,1205,37183,NC,Wake NC,1.0
37,1206,37183,NC,Wake NC,1.0
37,1207,37183,NC,Wake NC,1.0
37,1208,37183,NC,Wake NC,1.0
37,1205,37183,NC,Wake NC,1.0
37,1207,37183,NC,Wake NC,1.0
37,1208,37183,NC,Wake NC,1.0
37,1500,37183,NC,Wake NC,1.0
37,1206,37063,NC,Durham NC,1.0
37,1301,37063,NC,Durham NC,1.0
37,1302,37063,NC,Durham NC,1.0
37,1400,37063,NC,Durham NC,1.0
37,1500,37063,NC,Durham NC,1.0
37,400,37063,NC,Durham NC,1.0
37,1206,37063,NC,Durham NC,1.0
37,1301,37063,NC,Durham NC,1.0
37,1302,37063,NC,Durham NC,1.0
37,1400,37063,NC,Durham NC,1.0
37,1301,37135,NC,Orange NC,1.0
37,1302,37135,NC,Orange NC,1.0
37,1400,37135,NC,Orange NC,1.0
37,1600,37135,NC,Orange NC,1.0
37,1206,37037,NC,Chatham NC,1.0
37,1208,37037,NC,Chatham NC,1.0
37,1400,37037,NC,Chatham NC,1.0
37,1500,37037,NC,Chatham NC,0.5558
37,1500,37105,NC,Lee NC,0.4442
37,1600,37037,NC,Chatham NC,1.0
37,3600,37037,NC,Chatham NC,1.0
37,3700,37037,NC,Chatham NC,0.1084
37,3700,37105,NC,Lee NC,0.8916
37,3800,37105,NC,Lee NC,1.0
37,1400,37001,NC,Alamance NC,1.0
37,1500,37001,NC,Alamance NC,1.0
37,1600,37001,NC,Alamance NC,1.0
37,1703,37001,NC,Alamance NC,1.0
37,1704,37001,NC,Alamance NC,1.0
37,1701,37081,NC,Guilford NC,1.0
37,1702,37081,NC,Guilford NC,1.0
37,1703,37081,NC,Guilford NC,1.0
37,1701,37081,NC,Guilford NC,1.0
37,1702,37081,NC,Guilford NC,1.0
37,1704,37081,NC,Guilford NC,1.0
37,300,37081,NC,Guilford NC,1.0
37,1600,37081,NC,Guilford NC,1.0
