gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,NC North Carolina,NC Alamance County 37001,9,Summary of All HUD Programs,1,A,Alamance County,37001,2471.0,96,2341,98,5.70936561402524,12,2.11572723382853,5108.46438531015,226.667955633005,439.348342653036,10052.7256425483,4744.71562860109,19,38,26,10,7,20,10,67,22,97,76,3,46,83,46,34,33,18,10,48,15,27,3,63,61,0,0,2,5.96050734561876,60.4181419756845,88,92.1923001834218,38,32,31,12,16,41,49,A,A,A,-1,-1,NC,-1,A,alamance nc,37,63,37,0,0
County,NC North Carolina,NC Alexander County 37003,9,Summary of All HUD Programs,1,A,Alexander County,37003,125.0,92,114,97,6.29315494937875,9,1.82824382183514,214.645230439443,228.255629611308,373.36852574965,9689.143561393,5299.69987901684,10,49,34,5,2,9,8,83,24,99,82,3,31,74,31,62,66,38,3,51,24,23,3,20,18,1,0,1,29.9333333333333,63.7268700993209,86,101.40404040404,24,42,34,42,11,15,55,A,A,A,-1,-1,NC,-1,A,alexander nc,80,20,80,0,0
County,NC North Carolina,NC Alleghany County 37005,9,Summary of All HUD Programs,1,A,Alleghany County,37005,225.0,100,226,100,6.36027007624908,27,2.11214527864776,473.922256097562,208.23744080357,420.028917264682,8877.07314885896,4202.8705310187,22,44,24,8,3,23,1,76,22,99,79,9,36,77,39,39,46,22,7,51,21,20,1,3,2,0,0,0,7.51967213114755,45.6527121987231,96,117.563071414418,24,45,31,29,16,8,63,A,A,A,-1,-1,NC,-1,A,alleghany nc,97,3,97,0,0
County,NC North Carolina,NC Anson County 37007,9,Summary of All HUD Programs,1,A,Anson County,37007,392.0,88,340,99,4.58577242524916,7,2.22450166112956,765.228571428571,204.249501661129,408.757724252491,8866.04933554815,3970.50225889557,23,45,22,9,2,24,3,73,22,99,77,2,51,85,53,32,51,18,11,51,14,24,3,88,87,0,0,1,26.7604412923562,67.9618881506088,96,104.792727272727,33,32,35,14,22,58,58,A,A,A,-1,-1,NC,-1,A,anson nc,12,88,12,0,0
County,NC North Carolina,NC Ashe County 37009,9,Summary of All HUD Programs,1,A,Ashe County,37009,369.0,99,364,99,5.96296291693589,23,1.97300790376298,726.054878048781,223.616696536245,394.978014668113,9279.09720220042,4703.02079606628,18,48,21,10,3,21,2,77,24,98,73,12,28,77,35,41,31,21,5,53,15,27,3,2,1,0,0,1,10.8350427350427,49.9103765195824,91,110.712292580105,27,42,31,33,13,4,61,A,A,A,-1,-1,NC,-1,A,ashe nc,98,2,98,0,0
County,NC North Carolina,NC Avery County 37011,9,Summary of All HUD Programs,1,A,Avery County,37011,199.0,99,200,100,5.72778114156914,26,1.96962862272228,390.673517150318,215.317157278235,440.647014281469,9160.36593059096,4650.8086981038,18,45,25,9,3,23,1,77,24,98,73,10,27,74,30,45,66,28,7,48,20,25,2,0,0,0,0,0,11.3197530864198,49.4037295967249,92,116.294859581741,31,45,24,26,16,6,59,A,A,A,-1,-1,NC,-1,A,avery nc,100,0,100,0,0
County,NC North Carolina,NC Beaufort County 37013,9,Summary of All HUD Programs,1,A,Beaufort County,37013,971.0,87,792,99,5.30535465319091,11,1.99250731703426,1637.00700874681,239.160272809819,436.620120456424,10242.8848939158,5141.25281551263,14,46,24,9,7,19,11,68,26,94,69,3,35,79,36,40,54,25,5,42,19,34,4,82,81,0,0,1,20.2303428691091,83.700567635466,84,135.501108953533,43,26,31,18,27,46,47,A,A,A,-1,-1,NC,-1,A,beaufort nc,18,82,18,0,0
County,NC North Carolina,NC Bertie County 37015,9,Summary of All HUD Programs,1,A,Bertie County,37015,276.0,81,230,99,6.75631781459282,8,2.18902563354896,540.734119734851,251.34927678883,367.486771072745,9831.59848795552,4474.21003607652,17,48,21,7,7,26,2,72,24,95,79,2,45,88,45,39,40,20,6,49,23,21,4,93,93,1,0,0,16.6477338546192,83.963846300129,96,192.408441211687,12,39,49,39,25,65,51,A,A,A,-1,-1,NC,-1,A,bertie nc,7,93,7,0,0
County,NC North Carolina,NC Bladen County 37017,9,Summary of All HUD Programs,1,A,Bladen County,37017,535.0,87,455,96,4.49171525095522,13,2.43007014473266,1158.91728949792,217.017557771599,442.65678360494,9572.75655624991,3936.97007311318,21,40,24,10,5,25,8,65,23,97,76,5,58,84,60,35,50,18,13,61,14,11,0,80,76,1,0,1,18.0127402448595,49.790721747099,96,148.3697282827,18,40,41,20,22,44,55,A,A,A,-1,-1,NC,-1,A,bladen nc,20,80,20,0,0
County,NC North Carolina,NC Brunswick County 37019,9,Summary of All HUD Programs,1,A,Brunswick County,37019,509.0,92,474,100,5.98938465001341,12,2.20481087169797,1039.01712328767,246.696643775055,506.918914326355,10699.0513716797,4852.59371178635,11,44,27,12,6,20,1,78,23,99,79,3,44,84,45,46,74,29,5,55,18,23,1,43,40,1,1,3,24.0596153846154,57.5847885856858,98,138.423874066723,15,42,43,39,14,23,48,A,A,A,-1,-1,NC,-1,A,brunswick nc,57,43,57,0,0
