gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,NC North Carolina,NC Alamance County 37001,9,Summary of All HUD Programs,1,A,Alamance County,37001,2583.0,96,2361,95,5.57058622120242,10,2.0908946155594,4992.16400791451,245.931902688396,446.445656072446,10279.9004092577,4916.50814572852,20,34,27,11,7,20,16,62,24,96,69,2,44,83,44,35,32,18,5,48,18,29,3,63,61,1,0,2,13.1908004556077,68.1975120163879,88,115.573802691526,37,33,29,14,23,51,64,A,A,A,-1,-1,NC,-1,A,alamance nc,37,63,37,0,0
County,NC North Carolina,NC Alamance County 37001,9,Housing Choice Vouchers,3,A,Alamance County,37001,1005.0,98,920,93,5.2721971095716,4,2.38183817428633,2355.18090894832,294.371031954142,473.969552608219,11548.904884925,4848.73616083739,15,34,26,14,11,24,15,58,26,94,66,3,51,88,52,40,67,23,1,60,22,17,1,70,68,1,0,2,29.0774774774775,77.3492688192839,99,152.575604098219,16,48,36,25,23,50,65,A,A,A,-1,-1,NC,-1,A,alamance nc,30,70,30,0,0
County,NC North Carolina,NC Alamance County 37001,9,Public Housing,2,A,Alamance County,37001,540.0,93,502,100,5.69488711819385,14,2.56374501992032,1287.0,186.511952191235,486.394422310757,8582.53984063745,3347.65734265734,36,33,18,7,7,29,29,37,19,95,80,3,66,88,67,14,33,8,12,63,12,13,1,78,74,0,1,3,4.28122065727699,45.8006640106242,95,77.4978991596639,22,34,43,8,24,59,67,A,A,A,-1,-1,NC,-1,A,alamance nc,22,78,22,0,0
County,NC North Carolina,NC Alamance County 37001,9,Mod Rehab,4,A,Alamance County,37001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NC,-1,A,alamance nc,-1,-1,-1,0,0
County,NC North Carolina,NC Alamance County 37001,9,Section 8 NC/SR,5,A,Alamance County,37001,588.0,93,529,91,5.57300463833228,11,1.2992636959781,756.171471059254,250.453220132798,402.635738831614,10935.6032590622,8416.76966185819,9,35,40,13,3,9,0,91,28,96,59,0,14,71,14,53,16,23,4,15,16,65,8,42,40,0,0,2,-1.0,73.3143995570618,78,78.7829423817072,79,15,7,4,22,49,60,A,A,A,-1,-1,NC,-1,A,alamance nc,58,42,58,0,0
County,NC North Carolina,NC Alamance County 37001,9,Section 236,6,A,Alamance County,37001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NC,-1,A,alamance nc,-1,-1,-1,0,0
County,NC North Carolina,NC Alamance County 37001,9,Multi-Family Other,7,A,Alamance County,37001,450.0,96,410,99,6.30523880240464,22,1.88652298871805,593.811627906977,180.169864572328,378.027026427975,7788.05511677219,4128.25879321216,33,37,22,6,1,13,25,62,20,99,78,3,39,82,41,38,27,19,12,49,17,22,3,54,53,0,0,4,-1.0,65.7063140473885,57,106.438048209993,52,21,27,8,23,46,65,A,A,A,-1,-1,NC,-1,A,alamance nc,46,54,46,0,0
County,NC North Carolina,NC Alamance County 37001,9,LIHTC,8,A,Alamance County,37001,410.0,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NC,-1,A,alamance nc,-1,-1,-1,0,0
County,NC North Carolina,NC Alexander County 37003,9,Summary of All HUD Programs,1,A,Alexander County,37003,102.0,90,86,92,6.35875150462435,3,2.32632445033597,218.424892703862,272.979457878137,406.530815109345,10349.2362755405,4448.75016210481,8,42,38,7,5,14,3,77,25,98,74,8,35,80,41,49,81,24,2,56,24,18,2,28,26,1,0,1,22.9166666666667,69.5306833660923,85,130.586666666667,19,45,36,31,18,17,63,A,A,A,-1,-1,NC,-1,A,alexander nc,72,28,72,0,0
County,NC North Carolina,NC Alexander County 37003,9,Housing Choice Vouchers,3,A,Alexander County,37003,88.0,92,76,94,6.11666666666667,3,2.53947368421053,205.424892703862,279.105263157895,407.506666666667,10408.1052631579,4098.52849740933,9,42,36,8,5,16,4,74,25,97,74,9,41,83,47,40,79,20,3,62,17,18,3,30,28,1,0,1,22.9166666666667,65.1385964912281,99,130.586666666667,8,50,42,34,18,16,63,A,A,A,-1,-1,NC,-1,A,alexander nc,70,30,70,0,0
County,NC North Carolina,NC Alexander County 37003,9,Public Housing,2,A,Alexander County,37003,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NC,-1,A,alexander nc,-1,-1,-1,0,0
County,NC North Carolina,NC Alexander County 37003,9,Mod Rehab,4,A,Alexander County,37003,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NC,-1,A,alexander nc,-1,-1,-1,0,0
