gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,NC North Carolina,NC Buncombe County 37021,9,S236/BMIR,7,,Buncombe County,37021,27,-5,19,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,NC,,,buncombe nc,-5,-5,0,0
County,NC North Carolina,NC Guilford County 37081,9,S236/BMIR,7,,Guilford County,37081,152,-5,26,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,NC,,,guilford nc,-5,-5,0,0
County,NC North Carolina,NC Beaufort County 37013,9,202/PRAC,8,,Beaufort County,37013,48,98,48,100,6,15,1.0,49,261,258,11509,11274,-1,52,27,21,-1,-1,-1,100,31,98,63,-1,-1,83,-1,-1,2,2,-1,-1,-1,100,17,42,38,-1,-1,19,4,-1,-1,4,0,-1,82,27,51,100,-1,-1,-1,34,53,62,,,,,,NC,,,beaufort nc,42,19,39,0
County,NC North Carolina,NC Jackson County 37099,9,Project Based Section 8,5,,Jackson County,37099,59,98,60,100,5,25,2.0,120,224,572,9885,4942,9,53,23,7,9,30,2,62,25,95,70,15,30,65,28,22,9,8,10,40,12,38,3,0,-1,-1,-1,67,-1,-1,-1,0,0,-1,62,92,74,47,30,23,3,21,11,65,,,,,,NC,,,jackson nc,0,67,33,0
County,NC North Carolina,NC Iredell County 37097,9,202/PRAC,8,,Iredell County,37097,74,99,72,98,7,13,1.0,73,295,196,13992,13800,-1,18,46,29,7,-1,-1,99,33,99,36,-1,-1,86,-1,-1,-1,0,-1,-1,-1,100,8,15,14,1,-1,60,-1,-1,-1,0,0,-1,76,-1,-1,100,-1,-1,-1,19,27,70,,,,,,NC,,,iredell nc,15,60,25,0
County,NC North Carolina,NC Moore County 37125,9,202/PRAC,8,,Moore County,37125,116,98,116,100,7,13,1.0,120,293,159,13760,13301,-1,25,41,22,13,-1,-1,100,32,91,54,-1,1,80,1,-1,1,1,-1,-1,-1,100,11,20,13,1,5,57,-1,-1,1,1,0,-1,53,67,52,100,-1,-1,-1,18,29,68,,,,,,NC,,,moore nc,20,57,23,0
County,NC North Carolina,NC Northampton County 37131,9,202/PRAC,8,,Northampton County,37131,13,99,13,100,8,23,1.1,14,278,258,11861,11014,-1,62,15,15,8,-1,-1,100,34,85,62,-1,-1,77,-1,-1,-1,0,-1,-1,-1,100,8,62,62,-1,-1,15,-1,-1,-1,0,0,-1,70,100,85,100,-1,-1,-1,28,74,71,,,,,,NC,,,northampton nc,62,15,23,0
County,NC North Carolina,NC Surry County 37171,9,202/PRAC,8,,Surry County,37171,24,100,24,100,5,8,1.0,24,265,277,11772,11772,-1,42,42,17,-1,-1,-1,100,34,92,42,-1,-1,96,-1,-1,-1,0,-1,-1,-1,100,8,0,-1,-1,-1,83,-1,-1,-1,0,0,-1,66,100,52,100,-1,-1,-1,19,18,72,,,,,,NC,,,surry nc,0,83,17,0
County,NC North Carolina,NC New Hanover County 37129,9,202/PRAC,8,,New Hanover County,37129,89,99,89,100,5,10,1.0,89,279,306,13355,13355,1,26,40,24,9,-1,-1,100,32,92,48,-1,-1,80,-1,-1,-1,0,-1,-1,-1,100,18,31,29,1,1,56,-1,-1,-1,0,1,-1,77,100,57,100,-1,-1,-1,38,47,54,,,,,,NC,,,new hanover nc,31,56,13,0
County,NC North Carolina,NC Bladen County 37017,9,Project Based Section 8,5,,Bladen County,37017,142,95,139,100,5,29,2.0,276,186,504,8042,4050,28,41,21,6,4,19,4,73,21,98,76,4,47,78,48,35,38,18,15,54,19,12,-1,56,52,1,1,32,-1,1,1,3,1,-1,56,92,101,37,46,17,9,23,44,63,,,,,,NC,,,bladen nc,56,32,12,0
