fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
572,575,757,1075,1194,38,Adams County,2370,ND,0
574,578,760,945,1120,38,Barnes County,10970,ND,0
653,664,757,944,1296,38,Benson County,6875,ND,0
596,600,789,1121,1245,38,Billings County,985,ND,0
575,579,762,942,1202,38,Bottineau County,6650,ND,0
572,575,757,1075,1137,38,Bowman County,3225,ND,0
572,575,757,957,1095,38,Burke County,2255,ND,0
733,737,880,1250,1442,38,Burleigh County,92370,ND,1
597,705,859,1220,1470,38,Cass County,170620,ND,1
653,664,757,1075,1194,38,Cavalier County,3815,ND,0
572,575,757,936,1286,38,Dickey County,5040,ND,0
596,600,789,1121,1245,38,Divide County,2380,ND,0
718,793,1043,1289,1646,38,Dunn County,4350,ND,0
572,575,757,955,1194,38,Eddy County,2320,ND,0
572,575,757,1075,1194,38,Emmons County,3390,ND,0
653,664,757,1073,1194,38,Foster County,3320,ND,0
653,664,757,936,1194,38,Golden Valley County,1890,ND,0
605,669,854,1213,1462,38,Grand Forks County,70130,ND,1
589,593,757,971,1194,38,Grant County,2385,ND,0
572,575,757,1075,1194,38,Griggs County,2275,ND,0
639,644,847,1100,1336,38,Hettinger County,2600,ND,0
653,664,757,1075,1194,38,Kidder County,2455,ND,0
572,575,757,1075,1296,38,LaMoure County,4105,ND,0
572,575,757,993,1194,38,Logan County,1930,ND,0
653,664,757,1075,1194,38,McHenry County,5950,ND,0
653,664,757,1056,1060,38,McIntosh County,2680,ND,0
838,844,1110,1372,1887,38,McKenzie County,11680,ND,0
572,575,757,1036,1189,38,McLean County,9605,ND,0
670,686,866,1123,1366,38,Mercer County,8635,ND,0
733,737,880,1250,1442,38,Morton County,30060,ND,1
668,685,780,964,1221,38,Mountrail County,9985,ND,0
653,664,757,1075,1194,38,Nelson County,2970,ND,0
733,737,880,1250,1442,38,Oliver County,1820,ND,1
648,652,757,1075,1194,38,Pembina County,7050,ND,0
653,664,757,936,1027,38,Pierce County,4270,ND,0
653,664,757,1075,1183,38,Ramsey County,11575,ND,0
503,575,757,1027,1194,38,Ransom County,5410,ND,0
572,575,757,936,1113,38,Renville County,2545,ND,0
572,575,757,1075,1100,38,Richland County,16335,ND,0
581,585,757,1037,1194,38,Rolette County,14655,ND,0
602,606,757,1017,1098,38,Sargent County,3885,ND,0
596,600,789,1121,1245,38,Sheridan County,1405,ND,0
572,575,757,936,1125,38,Sioux County,4420,ND,0
596,600,789,1121,1245,38,Slope County,675,ND,0
801,815,929,1320,1554,38,Stark County,30315,ND,0
572,575,757,1075,1194,38,Steele County,1915,ND,0
572,575,757,1075,1194,38,Stutsman County,21060,ND,0
572,575,757,1075,1194,38,Towner County,2260,ND,0
600,603,757,1075,1256,38,Traill County,8050,ND,0
572,575,757,979,1146,38,Walsh County,10920,ND,0
657,734,966,1372,1653,38,Ward County,69630,ND,0
653,659,757,1075,1200,38,Wells County,4090,ND,0
642,773,966,1372,1524,38,Williams County,32915,ND,0
