sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adams County,38001,-1,-1,17,-1,5,41,1.1,19,213,245,9.3,8.3,12,65,12,6,6,24,0,76,25,94,82,0,6,47,6,30,29,26,24,18,18,41,6,6,0,6,0,0,1,37,29,0,59,35,6,35,3,10,61,-1,-1,-1,-1,-1,ND,-1,-1,adams nd,94,6,94,0,0
9,1,All HUD,-1,Barnes County,38003,-1,-1,285,-1,6,32,1.8,503,214,260,10.7,6.2,20,35,28,8,8,36,2,55,23,95,70,7,25,71,28,35,23,20,20,42,12,26,6,4,2,2,0,0,1,40,52,0,41,43,16,19,3,12,53,-1,-1,-1,-1,-1,ND,-1,-1,barnes nd,96,4,96,0,0
9,1,All HUD,-1,Benson County,38005,-1,-1,39,-1,5,49,1.8,72,240,286,19.9,11.0,8,23,21,13,36,44,5,49,50,72,33,5,18,72,23,17,6,7,8,46,5,41,13,26,3,21,0,3,2,28,38,0,69,10,21,8,46,26,43,-1,-1,-1,-1,-1,ND,-1,-1,benson nd,74,26,74,0,0
9,1,All HUD,-1,Billings County,38007,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,ND,-1,-1,billings nd,-4,-4,-4,0,0
9,1,All HUD,-1,Bottineau County,38009,-1,-1,121,-1,6,21,2.0,247,202,285,10.2,5.0,19,38,22,13,7,28,17,55,25,94,70,10,37,87,45,21,5,8,13,44,11,32,8,50,0,48,2,0,8,44,62,22,45,36,18,7,2,6,36,-1,-1,-1,-1,-1,ND,-1,-1,bottineau nd,50,50,50,0,0
9,1,All HUD,-1,Bowman County,38011,-1,-1,27,-1,5,26,1.2,33,217,243,10.7,8.7,7,41,33,15,4,19,0,81,28,96,59,0,11,67,11,40,35,30,4,19,15,63,22,4,0,0,0,4,6,57,30,0,63,26,11,22,1,7,70,-1,-1,-1,-1,-1,ND,-1,-1,bowman nd,96,4,96,0,0
9,1,All HUD,-1,Burke County,38013,-1,-1,1,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,ND,-1,-1,burke nd,-4,-4,-4,0,0
9,1,All HUD,-1,Burleigh County,38015,-1,-1,1505,-1,5,24,1.8,2669,238,332,11.3,6.6,15,38,27,12,8,21,9,65,21,98,80,8,24,74,30,46,25,25,11,46,12,31,7,23,1,20,0,1,13,65,75,15,42,41,17,24,6,10,42,-1,-1,-1,-1,-1,ND,-1,-1,burleigh nd,77,23,77,0,0
9,1,All HUD,-1,Cass County,38017,-1,-1,2665,-1,4,23,1.8,4700,251,311,12.3,7.0,14,37,25,13,11,29,3,63,23,96,75,8,22,65,26,51,37,28,10,46,17,27,5,15,8,3,1,2,8,53,68,5,52,34,14,14,7,14,31,-1,-1,-1,-1,-1,ND,-1,-1,cass nd,85,15,85,0,0
9,1,All HUD,-1,Cavalier County,38019,-1,-1,35,-1,5,11,1.7,60,226,209,10.4,6.1,9,46,34,6,6,31,0,69,26,100,71,6,23,51,23,39,6,13,0,40,11,49,3,0,0,0,0,0,2,64,71,-2,31,34,34,37,1,8,67,-1,-1,-1,-1,-1,ND,-1,-1,cavalier nd,100,0,100,0,0
