sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adams County,38001,-1,-1,17.0,-1.0,4.0,18.0,1.1,19.0,206.0,236.0,9.5,8.5,12.0,53.0,18.0,18.0,0.0,35.0,0.0,65.0,25.0,100.0,71.0,0.0,6.0,53.0,6.0,22.0,25.0,26.0,29.0,12.0,12.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,29.0,0.0,71.0,29.0,0.0,18.0,3,10,61,-1,-1,-1,-1,-1,ND,-1,-1,adams nd,100.0,0.0,100.0,0,0
9,1,All HUD,-1,Barnes County,38003,-1,-1,278.0,-1.0,5.0,29.0,1.8,501.0,239.0,270.0,11.8,6.6,17.0,33.0,27.0,13.0,10.0,38.0,2.0,53.0,25.0,95.0,66.0,8.0,27.0,67.0,30.0,31.0,24.0,19.0,21.0,42.0,12.0,25.0,5.0,4.0,2.0,1.0,0.0,0.0,1.0,43.0,55.0,0.0,41.0,44.0,15.0,17.0,3,12,53,-1,-1,-1,-1,-1,ND,-1,-1,barnes nd,96.0,4.0,96.0,0,0
9,1,All HUD,-1,Benson County,38005,-1,-1,45.0,-1.0,5.0,47.0,1.8,83.0,224.0,291.0,17.2,9.2,13.0,22.0,20.0,16.0,29.0,29.0,7.0,62.0,43.0,69.0,47.0,9.0,13.0,67.0,20.0,24.0,20.0,12.0,7.0,38.0,11.0,44.0,20.0,20.0,2.0,16.0,0.0,2.0,1.0,22.0,36.0,0.0,73.0,7.0,20.0,2.0,41,24,41,-1,-1,-1,-1,-1,ND,-1,-1,benson nd,80.0,20.0,80.0,0,0
9,1,All HUD,-1,Billings County,38007,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-1,-1,-1,-1,-1,ND,-1,-1,billings nd,-4.0,-4.0,-4.0,0,0
9,1,All HUD,-1,Bottineau County,38009,-1,-1,62.0,-1.0,7.0,15.0,1.6,102.0,234.0,252.0,11.2,6.8,11.0,37.0,27.0,15.0,10.0,34.0,2.0,63.0,27.0,97.0,65.0,10.0,26.0,85.0,32.0,14.0,7.0,9.0,6.0,40.0,10.0,44.0,13.0,11.0,0.0,10.0,2.0,0.0,11.0,47.0,37.0,3.0,53.0,39.0,8.0,11.0,4,10,65,-1,-1,-1,-1,-1,ND,-1,-1,bottineau nd,89.0,11.0,89.0,0,0
9,1,All HUD,-1,Bowman County,38011,-1,-1,23.0,-1.0,5.0,26.0,1.2,27.0,173.0,305.0,9.9,8.4,9.0,57.0,17.0,13.0,4.0,4.0,0.0,91.0,24.0,96.0,70.0,0.0,4.0,74.0,4.0,33.0,24.0,22.0,0.0,13.0,13.0,74.0,26.0,4.0,0.0,0.0,0.0,4.0,-2.0,58.0,17.0,0.0,70.0,22.0,9.0,22.0,1,7,69,-1,-1,-1,-1,-1,ND,-1,-1,bowman nd,96.0,4.0,96.0,0,0
9,1,All HUD,-1,Burke County,38013,-1,-1,1.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-1,-1,-1,-1,-1,ND,-1,-1,burke nd,-4.0,-4.0,-4.0,0,0
9,1,All HUD,-1,Burleigh County,38015,-1,-1,1511.0,-1.0,5.0,21.0,1.8,2702.0,243.0,370.0,11.6,6.7,14.0,38.0,26.0,13.0,8.0,21.0,9.0,64.0,22.0,98.0,78.0,8.0,24.0,73.0,30.0,46.0,28.0,26.0,11.0,45.0,14.0,30.0,7.0,24.0,1.0,20.0,0.0,2.0,15.0,69.0,73.0,18.0,42.0,41.0,18.0,24.0,6,10,42,-1,-1,-1,-1,-1,ND,-1,-1,burleigh nd,76.0,24.0,76.0,0,0
9,1,All HUD,-1,Cass County,38017,-1,-1,2691.0,-1.0,4.0,24.0,1.8,4804.0,257.0,346.0,12.6,7.0,13.0,35.0,25.0,14.0,13.0,28.0,3.0,64.0,23.0,96.0,74.0,8.0,22.0,65.0,26.0,49.0,38.0,28.0,10.0,45.0,18.0,27.0,4.0,17.0,10.0,3.0,1.0,2.0,11.0,58.0,68.0,5.0,51.0,34.0,14.0,14.0,7,15,33,-1,-1,-1,-1,-1,ND,-1,-1,cass nd,83.0,17.0,83.0,0,0
9,1,All HUD,-1,Cavalier County,38019,-1,-1,29.0,-1.0,5.0,10.0,1.6,46.0,253.0,213.0,10.8,6.8,3.0,55.0,31.0,3.0,7.0,24.0,0.0,76.0,26.0,100.0,69.0,3.0,21.0,55.0,17.0,54.0,0.0,15.0,3.0,24.0,17.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,82.0,59.0,-2.0,34.0,34.0,31.0,41.0,1,8,63,-1,-1,-1,-1,-1,ND,-1,-1,cavalier nd,100.0,0.0,100.0,0,0
