gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,ND North Dakota,ND Adams County 38001,9,Summary of All HUD Programs,1,A,Adams County,38001,34.0,52,19,63,5.22461327732198,10,1.20915588260171,36.8833944293347,234.999472779046,258.853665946752,10762.2046026107,8900.59318030524,0,57,34,10,0,31,0,69,26,100,73,0,10,51,10,47,24,31,31,11,16,43,0,4,4,0,0,0,0.366666666666667,47.42208224083,21,16.0,81,19,0,4,10,3,61,A,A,A,-1,-1,ND,-1,A,adams nd,96,4,96,0,0
County,ND North Dakota,ND Barnes County 38003,9,Summary of All HUD Programs,1,A,Barnes County,38003,303.0,92,289,95,5.15789592125442,23,1.82875600075865,551.590173353469,225.391187965528,306.823290781915,10465.5434844218,5701.61545603973,19,34,28,11,8,33,0,67,22,97,76,3,35,70,34,36,23,19,14,44,17,26,5,10,6,2,2,1,4.13999101073094,41.5018238752721,50,99.1401780611785,41,46,13,16,13,3,52,A,A,A,-1,-1,ND,-1,A,barnes nd,90,10,90,0,0
County,ND North Dakota,ND Benson County 38005,9,Summary of All HUD Programs,1,A,Benson County,38005,55.0,74,36,89,4.89665584828815,16,1.52631013745704,61.2629310344828,266.537991599847,264.293277491409,16991.3611588392,11132.3123275249,8,21,32,11,27,34,6,60,39,73,57,7,19,49,19,31,26,21,8,34,16,42,5,17,0,17,0,0,10.3725490196078,29.820848844979,33,177.228674540682,74,10,16,3,29,48,53,A,A,A,-1,-1,ND,-1,A,benson nd,83,17,83,0,0
County,ND North Dakota,ND Billings County 38007,9,Summary of All HUD Programs,1,A,Billings County,38007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,ND,-1,A,billings nd,-1,-1,-1,0,0
County,ND North Dakota,ND Bottineau County 38009,9,Summary of All HUD Programs,1,A,Bottineau County,38009,71.0,77,56,90,7.16583233850643,16,1.44994031038599,89.7463054187192,246.353402307999,295.280222841226,11473.0635495424,7912.78335208717,16,27,28,23,5,23,0,77,27,98,59,0,21,77,20,24,3,9,7,22,18,53,16,7,0,4,4,0,2.43333333333333,43.1826939912456,31,102.941176470588,61,32,7,12,11,4,67,A,A,A,-1,-1,ND,-1,A,bottineau nd,93,7,93,0,0
County,ND North Dakota,ND Bowman County 38011,9,Summary of All HUD Programs,1,A,Bowman County,38011,35.0,57,24,73,5.83290768335431,46,1.08280888383613,35.3928334439283,226.291668358439,259.423403305047,11065.3421576191,10219.1091362469,8,38,29,21,4,9,0,91,27,96,67,0,4,62,4,57,6,19,4,17,8,71,21,0,0,0,0,0,4.33333333333333,26.9727259193092,4,172.0,88,12,0,4,7,1,69,A,A,A,-1,-1,ND,-1,A,bowman nd,100,0,100,0,0
County,ND North Dakota,ND Burke County 38013,9,Summary of All HUD Programs,1,A,Burke County,38013,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,ND,-1,A,burke nd,-1,-1,-1,0,0
County,ND North Dakota,ND Burleigh County 38015,9,Summary of All HUD Programs,1,A,Burleigh County,38015,1627.0,88,1476,98,4.34694904851197,16,1.73736761296144,2539.81754155982,254.777637659647,391.711848549478,11499.6177049236,6618.75556787276,14,34,28,13,10,19,10,69,21,98,81,2,28,72,27,47,30,27,8,46,16,30,7,25,2,21,1,2,20.7307539417492,68.0232954006344,70,57.0136397668535,44,39,17,23,11,6,42,A,A,A,-1,-1,ND,-1,A,burleigh nd,75,25,75,0,0
County,ND North Dakota,ND Cass County 38017,9,Summary of All HUD Programs,1,A,Cass County,38017,2891.0,94,2854,97,4.79468422567566,13,1.87793176998726,5173.53601154051,269.738787304244,345.850004496972,12577.9910947917,6691.51989207659,14,31,25,15,14,28,2,69,23,96,75,8,22,61,23,48,43,27,5,47,22,25,4,24,14,4,3,3,14.804426831691,57.6457989662709,65,52.5580411068296,53,33,15,13,15,7,33,A,A,A,-1,-1,ND,-1,A,cass nd,76,24,76,0,0
County,ND North Dakota,ND Cavalier County 38019,9,Summary of All HUD Programs,1,A,Cavalier County,38019,50.0,60,23,77,5.93623188405797,17,1.56521739130435,46.9565217391304,286.826086956522,227.95652173913,11884.5217391304,7592.88888888889,0,43,30,22,4,43,0,57,27,100,61,4,17,65,17,36,22,19,9,39,13,39,0,4,0,0,0,4,2.10833333333333,65.0724637681159,74,147.823529411765,22,52,26,57,9,1,70,A,A,A,-1,-1,ND,-1,A,cavalier nd,96,4,96,0,0
