Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2020-12-31 00:00:00,County,ND North Dakota,ND Adams County 38001,9,Summary of All HUD Programs,1,,Adams County,38001,14,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,ND,,,adams nd,-4,-4,0,0
2020-12-31 00:00:00,County,ND North Dakota,ND Adams County 38001,9,Housing Choice Vouchers,3,,Adams County,38001,14,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,ND,,,adams nd,-4,-4,0,0
2020-12-31 00:00:00,County,ND North Dakota,ND Barnes County 38003,9,Summary of All HUD Programs,1,,Barnes County,38003,281,98,261,95,5,24,1.8,470,298,408,12762,7087,7,25,27,18,24,26,-1,59,20,98,79,2,33,69,31,34,44,23,10,46,16,27,5,10,6,3,0,90,0,0,0,1,0,2,55,41,82,41,41,18,21,12,6,62,,,,,,ND,,,barnes nd,10,90,0,0
2020-12-31 00:00:00,County,ND North Dakota,ND Barnes County 38003,9,Public Housing,2,,Barnes County,38003,49,94,46,100,7,22,1.5,69,295,549,13248,8832,-1,24,34,16,26,20,-1,63,21,100,80,-1,13,41,7,35,70,33,-1,33,24,43,4,9,7,2,-1,91,-1,-1,-1,0,0,1,55,15,50,78,9,13,7,11,5,67,,,,,,ND,,,barnes nd,9,91,0,0
2020-12-31 00:00:00,County,ND North Dakota,ND Barnes County 38003,9,Housing Choice Vouchers,3,,Barnes County,38003,218,99,203,94,5,26,1.9,389,295,399,12503,6525,9,27,24,18,23,28,-1,56,19,98,80,2,39,77,39,30,32,19,11,49,16,24,5,11,6,3,0,89,0,0,0,1,0,2,54,49,84,29,50,21,25,12,6,61,,,,,,ND,,,barnes nd,11,89,0,0
2020-12-31 00:00:00,County,ND North Dakota,ND Barnes County 38003,9,811/PRAC,9,,Barnes County,38003,14,93,12,92,8,-1,1.0,12,359,73,15273,15273,-1,8,42,25,25,17,-1,83,26,100,58,-1,-1,50,-1,100,100,100,25,58,-1,17,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,-1,84,-1,-1,100,-1,-1,-1,13,8,54,,,,,,ND,,,barnes nd,0,100,0,0
2020-12-31 00:00:00,County,ND North Dakota,ND Benson County 38005,9,Summary of All HUD Programs,1,,Benson County,38005,45,72,32,98,7,16,1.7,53,328,323,19377,11699,3,32,13,16,35,28,3,66,29,88,66,3,19,47,13,42,8,19,6,22,31,41,16,19,-1,16,3,81,-1,-1,-1,0,0,1,66,44,176,78,9,13,3,33,47,74,,,,,,ND,,,benson nd,19,81,0,0
2020-12-31 00:00:00,County,ND North Dakota,ND Benson County 38005,9,Public Housing,2,,Benson County,38005,19,68,13,100,7,31,1.6,21,347,385,26345,16309,8,17,17,17,42,31,8,54,39,69,54,-1,15,62,15,44,-1,19,15,23,31,31,15,38,-1,31,8,62,-1,-1,-1,0,0,1,66,8,322,92,-1,8,-1,51,82,67,,,,,,ND,,,benson nd,38,62,0,0
2020-12-31 00:00:00,County,ND North Dakota,ND Benson County 38005,9,Housing Choice Vouchers,3,,Benson County,38005,16,87,14,100,8,7,1.9,27,329,318,15087,7823,-1,43,7,7,43,36,-1,64,23,100,79,7,29,43,14,25,-1,11,-1,29,29,43,7,7,-1,7,-1,93,-1,-1,-1,0,0,1,60,93,165,57,21,21,7,19,20,80,,,,,,ND,,,benson nd,7,93,0,0
2020-12-31 00:00:00,County,ND North Dakota,ND Benson County 38005,9,Project Based Section 8,5,,Benson County,38005,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,ND,,,benson nd,-4,-4,0,0
2020-12-31 00:00:00,County,ND North Dakota,ND Bottineau County 38009,9,Summary of All HUD Programs,1,,Bottineau County,38009,64,71,49,100,4,27,1.6,79,269,423,12017,7454,10,31,27,21,10,16,2,80,19,100,88,2,27,76,22,35,17,18,8,24,8,59,18,37,-1,31,2,59,-1,2,2,4,8,8,61,35,143,59,33,8,8,12,9,74,,,,,,ND,,,bottineau nd,7,93,0,1
2020-12-31 00:00:00,County,ND North Dakota,ND Bottineau County 38009,9,Housing Choice Vouchers,3,,Bottineau County,38009,33,54,18,100,6,22,1.8,33,338,378,12275,6695,11,39,17,22,11,28,-1,72,19,100,89,6,28,78,28,33,22,15,-1,39,11,50,-1,28,-1,11,6,72,-1,6,6,11,6,8,55,94,143,50,28,22,17,12,8,74,,,,,,ND,,,bottineau nd,28,72,0,0
2020-12-31 00:00:00,County,ND North Dakota,ND Bottineau County 38009,9,Project Based Section 8,5,,Bottineau County,38009,31,89,31,100,3,29,1.5,46,228,452,11868,7998,10,27,33,20,10,10,3,84,19,100,87,-1,26,74,19,36,15,20,13,16,6,65,29,42,-1,42,-1,52,-1,-1,-1,0,10,-1,65,-1,-1,65,35,-1,3,12,9,73,,,,,,ND,,,bottineau nd,42,52,6,0
2020-12-31 00:00:00,County,ND North Dakota,ND Bowman County 38011,9,Summary of All HUD Programs,1,,Bowman County,38011,50,58,27,93,7,15,1.1,30,292,333,12185,10967,4,30,48,15,4,4,-1,96,17,100,100,-1,-1,37,-1,94,45,67,4,37,22,37,7,4,-1,-1,4,96,-1,-1,-1,0,0,-1,65,41,129,81,19,-1,7,10,4,73,,,,,,ND,,,bowman nd,4,96,0,0
