State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
ND,Adams County,24650,28200,31700,35200,38050,40850,43650,46500,14800,16900,20090,24250,28410,32570,36730,40890,39450,45050,50700,56300,60850,65350,69850,74350
ND,Barnes County,24650,28200,31700,35200,38050,40850,43650,46500,14800,16900,20090,24250,28410,32570,36730,40890,39450,45050,50700,56300,60850,65350,69850,74350
ND,Benson County,24650,28200,31700,35200,38050,40850,43650,46500,14800,16900,20090,24250,28410,32570,36730,40890,39450,45050,50700,56300,60850,65350,69850,74350
ND,Billings County,24850,28400,31950,35500,38350,41200,44050,46900,14950,17050,20090,24250,28410,32570,36730,40890,39800,45450,51150,56800,61350,65900,70450,75000
ND,Bottineau County,24650,28200,31700,35200,38050,40850,43650,46500,14800,16900,20090,24250,28410,32570,36730,40890,39450,45050,50700,56300,60850,65350,69850,74350
ND,Bowman County,25100,28700,32300,35850,38750,41600,44500,47350,15050,17200,20090,24250,28410,32570,36730,40890,40150,45900,51650,57350,61950,66550,71150,75750
ND,Burke County,25100,28700,32300,35850,38750,41600,44500,47350,15050,17200,20090,24250,28410,32570,36730,40890,40150,45900,51650,57350,61950,66550,71150,75750
ND,Burleigh County,28150,32150,36150,40150,43400,46600,49800,53000,16900,19300,21700,24250,28410,32570,36730,40890,45000,51400,57850,64250,69400,74550,79700,84850
ND,Cass County,26750,30550,34350,38150,41250,44300,47350,50400,16050,18350,20650,24250,28410,32570,36730,40890,42750,48850,54950,61050,65950,70850,75750,80600
ND,Cavalier County,24650,28200,31700,35200,38050,40850,43650,46500,14800,16900,20090,24250,28410,32570,36730,40890,39450,45050,50700,56300,60850,65350,69850,74350
ND,Dickey County,24650,28200,31700,35200,38050,40850,43650,46500,14800,16900,20090,24250,28410,32570,36730,40890,39450,45050,50700,56300,60850,65350,69850,74350
ND,Divide County,24850,28400,31950,35500,38350,41200,44050,46900,14950,17050,20090,24250,28410,32570,36730,40890,39800,45450,51150,56800,61350,65900,70450,75000
ND,Dunn County,25100,28700,32300,35850,38750,41600,44500,47350,15050,17200,20090,24250,28410,32570,36730,40890,40150,45900,51650,57350,61950,66550,71150,75750
ND,Eddy County,24650,28200,31700,35200,38050,40850,43650,46500,14800,16900,20090,24250,28410,32570,36730,40890,39450,45050,50700,56300,60850,65350,69850,74350
