County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Adams County,28200,32200,36250,40250,43500,46700,49950,53150,16950,19350,23030,27750,32470,37190,41910,46630,45100,51550,58000,64400,69600,74750,79900,85050
Antelope County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Arthur County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Banner County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Blaine County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Boone County,28100,32100,36100,40100,43350,46550,49750,52950,16850,19250,23030,27750,32470,37190,41910,46630,44950,51350,57750,64150,69300,74450,79550,84700
Box Butte County,28350,32400,36450,40450,43700,46950,50200,53400,17000,19400,23030,27750,32470,37190,41910,46630,45300,51800,58250,64700,69900,75100,80250,85450
Boyd County,27700,31650,35600,39550,42750,45900,49050,52250,16650,19000,23030,27750,32470,37190,41910,46630,44300,50600,56950,63250,68350,73400,78450,83500
Brown County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Buffalo County,31050,35500,39950,44350,47900,51450,55000,58550,18650,21300,23950,27750,32470,37190,41910,46630,49700,56800,63900,70950,76650,82350,88000,93700
Burt County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Butler County,27850,31800,35800,39750,42950,46150,49300,52500,16700,19100,23030,27750,32470,37190,41910,46630,44550,50900,57250,63600,68700,73800,78900,84000
Cass County,33300,38050,42800,47550,51400,55200,59000,62800,20000,22850,25700,28550,32470,37190,41910,46630,53300,60900,68500,76100,82200,88300,94400,100500
Cedar County,29350,33550,37750,41900,45300,48650,52000,55350,17650,20150,23030,27750,32470,37190,41910,46630,46950,53650,60350,67050,72450,77800,83150,88550
Chase County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Cherry County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Cheyenne County,28850,33000,37100,41200,44500,47800,51100,54400,17300,19800,23030,27750,32470,37190,41910,46630,46150,52750,59350,65900,71200,76450,81750,87000
Clay County,28350,32400,36450,40450,43700,46950,50200,53400,17000,19400,23030,27750,32470,37190,41910,46630,45300,51800,58250,64700,69900,75100,80250,85450
Colfax County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Cuming County,28500,32550,36600,40650,43950,47200,50450,53700,17100,19550,23030,27750,32470,37190,41910,46630,45550,52050,58550,65050,70300,75500,80700,85900
Custer County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Dakota County,28700,32800,36900,41000,44300,47600,50850,54150,17250,19700,23030,27750,32470,37190,41910,46630,45950,52500,59050,65600,70850,76100,81350,86600
Dawes County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Dawson County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Deuel County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Dixon County,28700,32800,36900,41000,44300,47600,50850,54150,17250,19700,23030,27750,32470,37190,41910,46630,45950,52500,59050,65600,70850,76100,81350,86600
Dodge County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Douglas County,33300,38050,42800,47550,51400,55200,59000,62800,20000,22850,25700,28550,32470,37190,41910,46630,53300,60900,68500,76100,82200,88300,94400,100500
Dundy County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Fillmore County,29850,34100,38350,42600,46050,49450,52850,56250,17900,20450,23030,27750,32470,37190,41910,46630,47750,54550,61350,68150,73650,79100,84550,90000
Franklin County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Frontier County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Furnas County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Gage County,28100,32100,36100,40100,43350,46550,49750,52950,16850,19250,23030,27750,32470,37190,41910,46630,44950,51350,57750,64150,69300,74450,79550,84700
Garden County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Garfield County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Gosper County,31500,36000,40500,44950,48550,52150,55750,59350,18900,21600,24300,27750,32470,37190,41910,46630,50350,57550,64750,71900,77700,83450,89200,94950
Grant County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Greeley County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Hall County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Hamilton County,30250,34550,38850,43150,46650,50100,53550,57000,18150,20750,23350,27750,32470,37190,41910,46630,48350,55250,62150,69050,74600,80100,85650,91150
Harlan County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Hayes County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Hitchcock County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Holt County,28500,32600,36650,40700,44000,47250,50500,53750,17100,19550,23030,27750,32470,37190,41910,46630,45600,52100,58600,65100,70350,75550,80750,85950
Hooker County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Howard County,28800,32900,37000,41100,44400,47700,51000,54300,17300,19750,23030,27750,32470,37190,41910,46630,46050,52600,59200,65750,71050,76300,81550,86800
Jefferson County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Johnson County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Kearney County,30450,34800,39150,43500,47000,50500,53950,57450,18300,20900,23500,27750,32470,37190,41910,46630,48750,55700,62650,69600,75200,80750,86350,91900
Keith County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Keya Paha County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Kimball County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Knox County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Lancaster County,31750,36250,40800,45300,48950,52550,56200,59800,19050,21800,24500,27750,32470,37190,41910,46630,50750,58000,65250,72500,78300,84100,89900,95700
Lincoln County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Logan County,28350,32400,36450,40450,43700,46950,50200,53400,17000,19400,23030,27750,32470,37190,41910,46630,45300,51800,58250,64700,69900,75100,80250,85450
Loup County,27850,31800,35800,39750,42950,46150,49300,52500,16700,19100,23030,27750,32470,37190,41910,46630,44550,50900,57250,63600,68700,73800,78900,84000
McPherson County,28350,32400,36450,40450,43700,46950,50200,53400,17000,19400,23030,27750,32470,37190,41910,46630,45300,51800,58250,64700,69900,75100,80250,85450
Madison County,28150,32150,36150,40150,43400,46600,49800,53000,16900,19300,23030,27750,32470,37190,41910,46630,45000,51400,57850,64250,69400,74550,79700,84850
Merrick County,28350,32400,36450,40450,43700,46950,50200,53400,17000,19400,23030,27750,32470,37190,41910,46630,45300,51800,58250,64700,69900,75100,80250,85450
Morrill County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Nance County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Nemaha County,28050,32050,36050,40050,43300,46500,49700,52900,16850,19250,23030,27750,32470,37190,41910,46630,44900,51300,57700,64100,69250,74400,79500,84650
Nuckolls County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Otoe County,29450,33650,37850,42050,45450,48800,52150,55550,17700,20200,23030,27750,32470,37190,41910,46630,47150,53850,60600,67300,72700,78100,83500,88850
Pawnee County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Perkins County,30350,34700,39050,43350,46850,50300,53800,57250,18200,20800,23400,27750,32470,37190,41910,46630,48550,55500,62450,69350,74900,80450,86000,91550
Phelps County,29900,34150,38400,42650,46100,49500,52900,56300,17950,20500,23050,27750,32470,37190,41910,46630,47800,54600,61450,68250,73750,79200,84650,90100
Pierce County,29050,33200,37350,41500,44850,48150,51500,54800,17450,19950,23030,27750,32470,37190,41910,46630,46500,53150,59800,66400,71750,77050,82350,87650
Platte County,30350,34700,39050,43350,46850,50300,53800,57250,18200,20800,23400,27750,32470,37190,41910,46630,48550,55500,62450,69350,74900,80450,86000,91550
Polk County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,27750,32470,37190,41910,46630,48300,55200,62100,68950,74500,80000,85500,91050
Red Willow County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Richardson County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Rock County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Saline County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Sarpy County,33300,38050,42800,47550,51400,55200,59000,62800,20000,22850,25700,28550,32470,37190,41910,46630,53300,60900,68500,76100,82200,88300,94400,100500
Saunders County,32550,37200,41850,46500,50250,53950,57700,61400,19550,22350,25150,27900,32470,37190,41910,46630,52100,59550,67000,74400,80400,86350,92300,98250
Scotts Bluff County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Seward County,33800,38600,43450,48250,52150,56000,59850,63700,20300,23200,26100,28950,32470,37190,41910,46630,54050,61800,69500,77200,83400,89600,95750,101950
Sheridan County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Sherman County,28100,32100,36100,40100,43350,46550,49750,52950,16850,19250,23030,27750,32470,37190,41910,46630,44950,51350,57750,64150,69300,74450,79550,84700
Sioux County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Stanton County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,27750,32470,37190,41910,46630,48300,55200,62100,68950,74500,80000,85500,91050
Thayer County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Thomas County,30100,34400,38700,42950,46400,49850,53300,56700,18050,20600,23200,27750,32470,37190,41910,46630,48100,55000,61850,68700,74200,79700,85200,90700
Thurston County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Valley County,28550,32600,36700,40750,44050,47300,50550,53800,17150,19600,23030,27750,32470,37190,41910,46630,45650,52200,58700,65200,70450,75650,80850,86100
Washington County,33300,38050,42800,47550,51400,55200,59000,62800,20000,22850,25700,28550,32470,37190,41910,46630,53300,60900,68500,76100,82200,88300,94400,100500
Wayne County,29050,33200,37350,41500,44850,48150,51500,54800,17450,19950,23030,27750,32470,37190,41910,46630,46500,53150,59800,66400,71750,77050,82350,87650
Webster County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
Wheeler County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
York County,29350,33550,37750,41900,45300,48650,52000,55350,17650,20150,23030,27750,32470,37190,41910,46630,46950,53650,60350,67050,72450,77800,83150,88550
