Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2023-12-31 00:00:00,County,NE Nebraska,NE Adams County 31001,9,811/PRAC,9,,Adams County,31001,23,97,20,90,7,5,1.0,20,291,650,12229,12229,-1,-1,85,15,-1,-1,-1,100,21,100,95,-1,-1,35,-1,87,80,85,-1,45,30,25,-1,5,-1,-1,-1,65,-1,5,-1,5,0,-1,103,-1,-1,90,10,-1,10,24,28,51,,,,,,NE,,,adams ne,9,91,0,1
2023-12-31 00:00:00,County,NE Nebraska,NE Adams County 31001,9,202/PRAC,8,,Adams County,31001,24,97,25,100,6,16,1.1,27,340,489,16736,15496,4,-1,36,36,24,-1,-1,100,28,100,48,-1,-1,72,-1,-1,-1,0,-1,-1,-1,100,20,4,-1,-1,-1,92,-1,-1,4,4,0,-1,43,-1,-1,100,-1,-1,-1,28,31,31,,,,,,NE,,,adams ne,0,100,0,1
2023-12-31 00:00:00,County,NE Nebraska,NE Adams County 31001,9,Project Based Section 8,5,,Adams County,31001,330,86,294,100,6,18,1.5,455,338,461,14633,9455,4,7,45,24,19,15,1,80,23,100,76,4,20,66,23,54,26,26,6,30,15,49,3,14,3,2,1,85,1,4,3,8,1,-1,64,30,127,70,21,9,3,25,28,48,,,,,,NE,,,adams ne,15,85,0,0
2023-12-31 00:00:00,County,NE Nebraska,NE Adams County 31001,9,Housing Choice Vouchers,3,,Adams County,31001,480,70,335,100,5,22,1.6,536,353,518,14691,9182,5,9,41,23,22,16,1,77,23,99,74,1,24,83,24,55,45,34,2,37,20,41,6,15,3,2,0,85,0,7,1,9,2,5,66,96,111,33,46,21,42,20,25,60,,,,,,NE,,,adams ne,15,85,0,0
2023-12-31 00:00:00,County,NE Nebraska,NE Adams County 31001,9,Summary of All HUD Programs,1,,Adams County,31001,856,78,674,100,6,20,1.5,1038,344,497,14668,9525,4,7,44,24,20,15,1,80,23,99,74,2,21,74,22,56,33,31,4,33,17,46,5,14,3,2,0,85,1,5,2,8,2,5,65,61,114,53,32,15,23,23,27,54,,,,,,NE,,,adams ne,15,85,0,0
2023-12-31 00:00:00,County,NE Nebraska,NE Antelope County 31003,9,Housing Choice Vouchers,3,,Antelope County,31003,13,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NE,,,antelope ne,-4,-4,0,0
2023-12-31 00:00:00,County,NE Nebraska,NE Antelope County 31003,9,Project Based Section 8,5,,Antelope County,31003,28,73,18,88,6,11,1.0,18,270,202,12739,12739,6,17,44,28,6,22,-1,78,22,100,78,-1,-1,56,-1,56,33,44,6,22,22,50,11,11,-1,-1,6,83,-1,-1,6,6,0,-1,68,-1,-1,100,-1,-1,-1,10,7,88,,,,,,NE,,,antelope ne,4,96,0,1
2023-12-31 00:00:00,County,NE Nebraska,NE Antelope County 31003,9,Public Housing,2,,Antelope County,31003,52,94,47,96,7,26,1.2,56,369,467,21442,17996,-1,2,32,28,38,23,-1,77,36,79,45,-1,4,70,4,56,35,36,11,9,15,66,2,2,-1,2,-1,98,-1,-1,-1,0,0,5,70,-1,-1,79,21,-1,2,9,8,87,,,,,,NE,,,antelope ne,2,98,0,0
2023-12-31 00:00:00,County,NE Nebraska,NE Antelope County 31003,9,Summary of All HUD Programs,1,,Antelope County,31003,93,83,73,95,7,19,1.2,87,344,392,18492,15516,1,7,38,26,27,23,-1,77,31,86,58,-1,7,68,7,54,38,38,10,12,16,62,4,5,-1,3,1,93,-1,-1,1,1,0,5,73,11,258,75,21,4,10,9,8,87,,,,,,NE,,,antelope ne,7,93,0,0
2023-12-31 00:00:00,County,NE Nebraska,NE Boone County 31011,9,Project Based Section 8,5,,Boone County,31011,0,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NE,,,boone ne,-4,-4,0,0
