State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
Nebraska,Adams County,0,0,0
Nebraska,Antelope County,0,0,0
Nebraska,Arthur County,0,0,0
Nebraska,Banner County,0,0,0
Nebraska,Blaine County,0,0,0
Nebraska,Boone County,0,0,0
Nebraska,Box Butte County,0,0,0
Nebraska,Boyd County,0,0,0
Nebraska,Brown County,0,0,0
Nebraska,Buffalo County,0,0,0
Nebraska,Burt County,0,0,0
Nebraska,Butler County,0,0,0
Nebraska,Cass County,0,0,0
Nebraska,Cedar County,0,0,0
Nebraska,Chase County,0,0,0
Nebraska,Cherry County,0,0,0
Nebraska,Cheyenne County,0,0,0
Nebraska,Clay County,0,0,0
Nebraska,Colfax County,0,0,0
Nebraska,Cuming County,0,0,0
Nebraska,Custer County,0,0,0
Nebraska,Dakota County,0,0,0
Nebraska,Dawes County,0,0,0
Nebraska,Dawson County,0,0,0
Nebraska,Deuel County,0,0,0
Nebraska,Dixon County,0,0,0
Nebraska,Dodge County,0,0,0
Nebraska,Douglas County,707,320,387
Nebraska,Dundy County,0,0,0
Nebraska,Fillmore County,0,0,0
Nebraska,Franklin County,0,0,0
Nebraska,Frontier County,0,0,0
Nebraska,Furnas County,0,0,0
Nebraska,Gage County,0,0,0
Nebraska,Garden County,0,0,0
Nebraska,Garfield County,0,0,0
Nebraska,Gosper County,0,0,0
Nebraska,Grant County,0,0,0
Nebraska,Greeley County,0,0,0
Nebraska,Hall County,0,0,0
Nebraska,Hamilton County,0,0,0
Nebraska,Harlan County,0,0,0
Nebraska,Hayes County,0,0,0
Nebraska,Hitchcock County,0,0,0
Nebraska,Holt County,0,0,0
Nebraska,Hooker County,0,0,0
Nebraska,Howard County,0,0,0
Nebraska,Jefferson County,0,0,0
Nebraska,Johnson County,905,446,459
Nebraska,Kearney County,0,0,0
Nebraska,Keith County,0,0,0
Nebraska,Keya Paha County,0,0,0
Nebraska,Kimball County,0,0,0
Nebraska,Knox County,0,0,0
Nebraska,Lancaster County,2122,970,1152
Nebraska,Lincoln County,0,0,0
Nebraska,Logan County,0,0,0
Nebraska,Loup County,0,0,0
Nebraska,McPherson County,0,0,0
Nebraska,Madison County,0,0,0
Nebraska,Merrick County,0,0,0
Nebraska,Morrill County,0,0,0
Nebraska,Nance County,0,0,0
Nebraska,Nemaha County,0,0,0
Nebraska,Nuckolls County,0,0,0
Nebraska,Otoe County,0,0,0
Nebraska,Pawnee County,0,0,0
Nebraska,Perkins County,0,0,0
Nebraska,Phelps County,0,0,0
Nebraska,Pierce County,0,0,0
Nebraska,Platte County,0,0,0
Nebraska,Polk County,0,0,0
Nebraska,Red Willow County,0,0,0
Nebraska,Richardson County,0,0,0
Nebraska,Rock County,0,0,0
Nebraska,Saline County,0,0,0
Nebraska,Sarpy County,0,0,0
Nebraska,Saunders County,0,0,0
Nebraska,Scotts Bluff County,0,0,0
Nebraska,Seward County,0,0,0
Nebraska,Sheridan County,0,0,0
Nebraska,Sherman County,0,0,0
Nebraska,Sioux County,0,0,0
Nebraska,Stanton County,0,0,0
Nebraska,Thayer County,0,0,0
Nebraska,Thomas County,0,0,0
Nebraska,Thurston County,0,0,0
Nebraska,Valley County,0,0,0
Nebraska,Washington County,0,0,0
Nebraska,Wayne County,0,0,0
Nebraska,Webster County,0,0,0
Nebraska,Wheeler County,0,0,0
Nebraska,Adams County,45.76134735,21.33492594,24.4264214
