State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
NE,Adams County,23450,26800,30150,33500,36200,38900,41550,44250,14100,16100,20160,24300,28440,32580,36730,40890,37550,42900,48250,53600,57900,62200,66500,70800
NE,Antelope County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Arthur County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Banner County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Blaine County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Boone County,21300,24350,27400,30400,32850,35300,37700,40150,12800,16020,20160,24300,28440,32580,36730,40150,34100,38950,43800,48650,52550,56450,60350,64250
NE,Box Butte County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Boyd County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Brown County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Buffalo County,24100,27550,31000,34400,37200,39950,42700,45450,14500,16550,20160,24300,28440,32580,36730,40890,38550,44050,49550,55050,59500,63900,68300,72700
NE,Burt County,22450,25650,28850,32050,34650,37200,39750,42350,13500,16020,20160,24300,28440,32580,36730,40890,35950,41050,46200,51300,55450,59550,63650,67750
NE,Butler County,23450,26800,30150,33450,36150,38850,41500,44200,14050,16050,20160,24300,28440,32580,36730,40890,37450,42800,48150,53500,57800,62100,66350,70650
NE,Cass County,25250,28850,32450,36050,38950,41850,44750,47600,15200,17350,20160,24300,28440,32580,36730,40890,40400,46200,51950,57700,62350,66950,71550,76200
NE,Cedar County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Chase County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Cherry County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Cheyenne County,23200,26500,29800,33100,35750,38400,41050,43700,13900,16020,20160,24300,28440,32580,36730,40890,37100,42400,47700,52950,57200,61450,65700,69900
NE,Clay County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Colfax County,22250,25400,28600,31750,34300,36850,39400,41950,13350,16020,20160,24300,28440,32580,36730,40890,35600,40650,45750,50800,54900,58950,63000,67100
NE,Cuming County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Custer County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Dakota County,22200,25350,28500,31650,34200,36750,39250,41800,13300,16020,20160,24300,28440,32580,36730,40890,35500,40550,45600,50650,54750,58800,62850,66900
NE,Dawes County,22400,25600,28800,32000,34600,37150,39700,42250,13450,16020,20160,24300,28440,32580,36730,40890,35850,41000,46100,51200,55300,59400,63500,67600
NE,Dawson County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Deuel County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Dixon County,22200,25350,28500,31650,34200,36750,39250,41800,13300,16020,20160,24300,28440,32580,36730,40890,35500,40550,45600,50650,54750,58800,62850,66900
NE,Dodge County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Douglas County,25250,28850,32450,36050,38950,41850,44750,47600,15200,17350,20160,24300,28440,32580,36730,40890,40400,46200,51950,57700,62350,66950,71550,76200
NE,Dundy County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Fillmore County,21900,25000,28150,31250,33750,36250,38750,41250,13150,16020,20160,24300,28440,32580,36730,40890,35000,40000,45000,50000,54000,58000,62000,66000
NE,Franklin County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Frontier County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Furnas County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Gage County,22100,25250,28400,31550,34100,36600,39150,41650,13300,16020,20160,24300,28440,32580,36730,40890,35350,40400,45450,50500,54550,58600,62650,66700
NE,Garden County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Garfield County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Gosper County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Grant County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Greeley County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Hall County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Hamilton County,22200,25400,28550,31700,34250,36800,39350,41850,13300,16020,20160,24300,28440,32580,36730,40890,35500,40600,45650,50700,54800,58850,62900,66950
NE,Harlan County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Hayes County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Hitchcock County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Holt County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Hooker County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Howard County,23300,26600,29950,33250,35950,38600,41250,43900,14000,16020,20160,24300,28440,32580,36730,40890,37250,42600,47900,53200,57500,61750,66000,70250
NE,Jefferson County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Johnson County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Kearney County,22450,25650,28850,32050,34650,37200,39750,42350,13500,16020,20160,24300,28440,32580,36730,40890,35950,41050,46200,51300,55450,59550,63650,67750
NE,Keith County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Keya Paha County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Kimball County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Knox County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Lancaster County,24650,28200,31700,35200,38050,40850,43650,46500,14800,16900,20160,24300,28440,32580,36730,40890,39450,45050,50700,56300,60850,65350,69850,74350
NE,Lincoln County,22450,25650,28850,32050,34650,37200,39750,42350,13500,16020,20160,24300,28440,32580,36730,40890,35950,41050,46200,51300,55450,59550,63650,67750
NE,Logan County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Loup County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,McPherson County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Madison County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Merrick County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Morrill County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Nance County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Nemaha County,23450,26800,30150,33450,36150,38850,41500,44200,14050,16050,20160,24300,28440,32580,36730,40890,37450,42800,48150,53500,57800,62100,66350,70650
NE,Nuckolls County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Otoe County,22950,26200,29500,32750,35400,38000,40650,43250,13800,16020,20160,24300,28440,32580,36730,40890,36700,41950,47200,52400,56600,60800,65000,69200
NE,Pawnee County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16020,20160,24300,28440,32580,36730,39950,33900,38750,43600,48400,52300,56150,60050,63900
NE,Perkins County,23700,27100,30500,33850,36600,39300,42000,44700,14250,16250,20160,24300,28440,32580,36730,40890,37950,43350,48750,54150,58500,62850,67150,71500
