fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
793,884,1128,1550,1556,33,Belknap County,5265,NH,0
793,884,1128,1550,1556,33,Belknap County,4615,NH,0
793,884,1128,1550,1556,33,Belknap County,7275,NH,0
793,884,1128,1550,1556,33,Belknap County,1000,NH,0
793,884,1128,1550,1556,33,Belknap County,7110,NH,0
793,884,1128,1550,1556,33,Belknap County,3740,NH,0
793,884,1128,1550,1556,33,Belknap County,16235,NH,0
793,884,1128,1550,1556,33,Belknap County,6335,NH,0
793,884,1128,1550,1556,33,Belknap County,2275,NH,0
793,884,1128,1550,1556,33,Belknap County,2975,NH,0
793,884,1128,1550,1556,33,Belknap County,3555,NH,0
713,871,1073,1429,1787,33,Carroll County,780,NH,0
713,871,1073,1429,1787,33,Carroll County,2760,NH,0
713,871,1073,1429,1787,33,Carroll County,875,NH,0
713,871,1073,1429,1787,33,Carroll County,340,NH,0
713,871,1073,1429,1787,33,Carroll County,10020,NH,0
713,871,1073,1429,1787,33,Carroll County,320,NH,0
713,871,1073,1429,1787,33,Carroll County,1435,NH,0
713,871,1073,1429,1787,33,Carroll County,1315,NH,0
713,871,1073,1429,1787,33,Carroll County,160,NH,0
713,871,1073,1429,1787,33,Carroll County,50,NH,0
713,871,1073,1429,1787,33,Carroll County,955,NH,0
713,871,1073,1429,1787,33,Carroll County,2520,NH,0
713,871,1073,1429,1787,33,Carroll County,4050,NH,0
713,871,1073,1429,1787,33,Carroll County,4285,NH,0
713,871,1073,1429,1787,33,Carroll County,1340,NH,0
713,871,1073,1429,1787,33,Carroll County,2915,NH,0
713,871,1073,1429,1787,33,Carroll County,2155,NH,0
713,871,1073,1429,1787,33,Carroll County,5005,NH,0
713,871,1073,1429,1787,33,Carroll County,6235,NH,0
816,862,1122,1594,1805,33,Cheshire County,1845,NH,0
816,862,1122,1594,1805,33,Cheshire County,3565,NH,0
816,862,1122,1594,1805,33,Cheshire County,1485,NH,0
816,862,1122,1594,1805,33,Cheshire County,2295,NH,0
816,862,1122,1594,1805,33,Cheshire County,700,NH,0
816,862,1122,1594,1805,33,Cheshire County,915,NH,0
816,862,1122,1594,1805,33,Cheshire County,3925,NH,0
816,862,1122,1594,1805,33,Cheshire County,5315,NH,0
816,862,1122,1594,1805,33,Cheshire County,23205,NH,0
816,862,1122,1594,1805,33,Cheshire County,2125,NH,0
816,862,1122,1594,1805,33,Cheshire County,710,NH,0
816,862,1122,1594,1805,33,Cheshire County,575,NH,0
816,862,1122,1594,1805,33,Cheshire County,1245,NH,0
816,862,1122,1594,1805,33,Cheshire County,6005,NH,0
816,862,1122,1594,1805,33,Cheshire County,215,NH,0
816,862,1122,1594,1805,33,Cheshire County,1195,NH,0
816,862,1122,1594,1805,33,Cheshire County,725,NH,0
816,862,1122,1594,1805,33,Cheshire County,885,NH,0
816,862,1122,1594,1805,33,Cheshire County,7170,NH,0
816,862,1122,1594,1805,33,Cheshire County,2180,NH,0
816,862,1122,1594,1805,33,Cheshire County,3810,NH,0
816,862,1122,1594,1805,33,Cheshire County,1800,NH,0
816,862,1122,1594,1805,33,Cheshire County,4220,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,10275,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,745,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,305,NH,0
591,740,862,1100,1331,33,Coos County,2175,NH,0
591,740,862,1100,1331,33,Coos County,615,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,1010,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,10,NH,0
591,740,862,1100,1331,33,Coos County,295,NH,0
591,740,862,1100,1331,33,Coos County,235,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,2670,NH,0
591,740,862,1100,1331,33,Coos County,10,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,1000,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,3340,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,1285,NH,0
591,740,862,1100,1331,33,Coos County,10,NH,0
591,740,862,1100,1331,33,Coos County,2375,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,10,NH,0
591,740,862,1100,1331,33,Coos County,815,NH,0
591,740,862,1100,1331,33,Coos County,380,NH,0
591,740,862,1100,1331,33,Coos County,25,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,350,NH,0
591,740,862,1100,1331,33,Coos County,515,NH,0
591,740,862,1100,1331,33,Coos County,800,NH,0
591,740,862,1100,1331,33,Coos County,640,NH,0
591,740,862,1100,1331,33,Coos County,0,NH,0
591,740,862,1100,1331,33,Coos County,10,NH,0
591,740,862,1100,1331,33,Coos County,35,NH,0
591,740,862,1100,1331,33,Coos County,2185,NH,0
772,893,1162,1478,1963,33,Grafton County,2050,NH,0
772,893,1162,1478,1963,33,Grafton County,2240,NH,0
772,893,1162,1478,1963,33,Grafton County,910,NH,0
772,893,1162,1478,1963,33,Grafton County,415,NH,0
772,893,1162,1478,1963,33,Grafton County,2545,NH,0
772,893,1162,1478,1963,33,Grafton County,1025,NH,0
772,893,1162,1478,1963,33,Grafton County,3050,NH,0
772,893,1162,1478,1963,33,Grafton County,3295,NH,0
772,893,1162,1478,1963,33,Grafton County,3900,NH,0
772,893,1162,1478,1963,33,Grafton County,345,NH,0
772,893,1162,1478,1963,33,Grafton County,285,NH,0
772,893,1162,1478,1963,33,Grafton County,60,NH,0
772,893,1162,1478,1963,33,Grafton County,4540,NH,0
772,893,1162,1478,1963,33,Grafton County,1080,NH,0
772,893,1162,1478,1963,33,Grafton County,1175,NH,0
772,893,1162,1478,1963,33,Grafton County,565,NH,0
772,893,1162,1478,1963,33,Grafton County,11430,NH,0
772,893,1162,1478,1963,33,Grafton County,4610,NH,0
772,893,1162,1478,1963,33,Grafton County,580,NH,0
772,893,1162,1478,1963,33,Grafton County,2295,NH,0
772,893,1162,1478,1963,33,Grafton County,455,NH,0
772,893,1162,1478,1963,33,Grafton County,13545,NH,0
772,893,1162,1478,1963,33,Grafton County,1285,NH,0
772,893,1162,1478,1963,33,Grafton County,1660,NH,0
772,893,1162,1478,1963,33,Grafton County,5910,NH,0
772,893,1162,1478,1963,33,Grafton County,0,NH,0
772,893,1162,1478,1963,33,Grafton County,635,NH,0
772,893,1162,1478,1963,33,Grafton County,1695,NH,0
772,893,1162,1478,1963,33,Grafton County,985,NH,0
772,893,1162,1478,1963,33,Grafton County,200,NH,0
772,893,1162,1478,1963,33,Grafton County,1580,NH,0
772,893,1162,1478,1963,33,Grafton County,865,NH,0
772,893,1162,1478,1963,33,Grafton County,6690,NH,0
772,893,1162,1478,1963,33,Grafton County,1635,NH,0
772,893,1162,1478,1963,33,Grafton County,645,NH,0
772,893,1162,1478,1963,33,Grafton County,2030,NH,0
772,893,1162,1478,1963,33,Grafton County,830,NH,0
772,893,1162,1478,1963,33,Grafton County,190,NH,0
772,893,1162,1478,1963,33,Grafton County,830,NH,0
772,893,1162,1478,1963,33,Grafton County,1215,NH,0
1082,1237,1628,2087,2208,33,Hillsborough County,11240,NH,1
971,983,1293,1642,1976,33,Hillsborough County,2655,NH,1
972,1105,1413,1747,1932,33,Hillsborough County,22020,NH,1
971,983,1293,1642,1976,33,Hillsborough County,1425,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,5190,NH,1
971,983,1293,1642,1976,33,Hillsborough County,1875,NH,1
971,983,1293,1642,1976,33,Hillsborough County,1560,NH,1
972,1105,1413,1747,1932,33,Hillsborough County,17900,NH,1
971,983,1293,1642,1976,33,Hillsborough County,1750,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,1970,NH,1
971,983,1293,1642,1976,33,Hillsborough County,1860,NH,1
971,983,1293,1642,1976,33,Hillsborough County,5955,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,7780,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,24860,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,8425,NH,1
971,983,1293,1642,1976,33,Hillsborough County,1770,NH,1
972,1105,1413,1747,1932,33,Hillsborough County,110600,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,1490,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,25565,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,15290,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,2500,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,87640,NH,1
971,983,1293,1642,1976,33,Hillsborough County,5505,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,5205,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,13325,NH,1
971,983,1293,1642,1976,33,Hillsborough County,6450,NH,1
971,983,1293,1642,1976,33,Hillsborough County,330,NH,1
971,983,1293,1642,1976,33,Hillsborough County,1410,NH,1
972,1105,1413,1747,1932,33,Hillsborough County,8920,NH,1
1082,1237,1628,2087,2208,33,Hillsborough County,3685,NH,1
971,983,1293,1642,1976,33,Hillsborough County,225,NH,1
857,941,1237,1596,1677,33,Merrimack County,4315,NH,0
