gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,NH New Hampshire,NH Belknap County 33001,9,Summary of All HUD Programs,1,A,Belknap County,33001,1052.0,98,944,99,5.95551404867042,5,1.74947484252505,1692.5107922964,314.258148474998,612.039237758059,13344.2532464194,7619.83123098238,5,31,32,18,15,13,5,81,26,97,70,6,21,76,25,61,28,30,3,36,19,42,8,3,1,1,0,1,14.2333119246116,72.66373992926,56,118.143525948,61,22,18,7,9,4,48,A,A,A,-1,-1,NH,-1,A,belknap nh,97,3,97,0,0
County,NH New Hampshire,NH Carroll County 33003,9,Summary of All HUD Programs,1,A,Carroll County,33003,389.0,99,378,98,6.10482098092189,7,1.69096511120413,660.644975876324,302.641363303757,702.450688664028,13022.5846123329,7685.71813542701,4,35,31,17,13,11,8,81,25,98,72,5,23,75,25,67,23,33,1,39,18,41,6,1,0,0,0,0,36.107360850209,84.3953147469714,52,165.195070307803,62,24,15,11,9,2,61,A,A,A,-1,-1,NH,-1,A,carroll nh,99,1,99,0,0
County,NH New Hampshire,NH Cheshire County 33005,9,Summary of All HUD Programs,1,A,Cheshire County,33005,1321.0,98,1155,90,6.67793090213289,16,1.62192897218355,2084.80926059771,335.585018841306,660.022062188103,15147.8200461396,9329.23523083667,3,26,32,18,22,17,4,79,28,94,64,5,19,73,21,62,24,31,3,38,15,45,8,2,0,0,0,0,11.8264830691404,64.0351719547011,50,97.0892994681621,62,24,14,8,11,3,46,A,A,A,-1,-1,NH,-1,A,cheshire nh,98,2,98,0,0
County,NH New Hampshire,NH Coos County 33007,9,Summary of All HUD Programs,1,A,Coos County,33007,1003.0,93,937,96,5.46348921369145,11,1.49039703303798,1462.43636143226,284.488918437861,470.328808439232,12453.5545702994,8329.28321762408,6,34,31,19,9,12,5,82,25,98,71,5,15,66,16,61,26,33,5,32,16,46,9,2,0,1,0,1,10.4994217546073,65.2422057900123,37,87.4320802349428,62,28,10,12,12,2,49,A,A,A,-1,-1,NH,-1,A,coos nh,98,2,98,0,0
County,NH New Hampshire,NH Grafton County 33009,9,Summary of All HUD Programs,1,A,Grafton County,33009,916.0,97,881,98,6.41194230523561,7,1.49293240402753,1354.72331307889,319.978743382814,543.93869526345,14203.7432293367,9485.43291496879,3,28,33,18,18,10,3,86,27,94,64,3,13,71,15,65,20,29,2,28,14,56,10,3,1,0,0,2,23.3388772309584,75.2654307473511,44,81.037686703957,73,16,11,6,10,5,48,A,A,A,-1,-1,NH,-1,A,grafton nh,97,3,97,0,0
County,NH New Hampshire,NH Hillsborough County 33011,9,Summary of All HUD Programs,1,A,Hillsborough County,33011,7678.0,98,7238,98,5.10718393903106,5,1.91033157325225,13922.0368054007,344.885551325605,649.076691657126,14965.285342643,7826.40721051749,4,27,28,19,21,17,8,74,23,98,76,6,27,72,28,56,23,26,2,43,16,39,6,18,5,0,1,12,23.454230261338,75.0893227357793,57,118.299312139797,52,26,23,12,14,14,27,A,A,A,-1,-1,NH,-1,A,hillsborough nh,82,18,82,0,0
County,NH New Hampshire,NH Merrimack County 33013,9,Summary of All HUD Programs,1,A,Merrimack County,33013,2199.0,98,2108,98,5.29100199570592,6,1.71913449040693,3758.04292291885,325.296849367073,603.062830843883,14315.265390489,8303.41842499112,5,27,31,18,19,16,4,80,25,97,71,5,22,75,24,59,23,30,4,38,17,41,6,6,4,1,1,1,19.2033873184396,70.3349544065147,39,112.864249595665,60,29,12,9,10,5,39,A,A,A,-1,-1,NH,-1,A,merrimack nh,94,6,94,0,0
County,NH New Hampshire,NH No county code 33999,9,Summary of All HUD Programs,1,A,Missing County,33999,1.0,99,1,99,6.83392556902306,-4,-4.0,-4.0,-4.0,-4.0,-4.0,5755.2755260911,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,82.3566664157193,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,NH,-1,A,nan nh,100,0,100,0,0
County,NH New Hampshire,NH Rockingham County 33015,9,Summary of All HUD Programs,1,A,Rockingham County,33015,2873.0,98,2788,99,5.53541231204009,6,1.62190222606614,4536.75484881956,353.157933791729,624.771727362864,15583.9928237061,9602.31307469065,4,24,28,19,24,15,3,81,25,96,72,4,20,75,20,60,22,29,1,35,16,48,9,5,2,0,0,2,23.0646514153347,82.11830823208,58,111.45276875614,62,25,13,10,7,5,44,A,A,A,-1,-1,NH,-1,A,rockingham nh,95,5,95,0,0
County,NH New Hampshire,NH Strafford County 33017,9,Summary of All HUD Programs,1,A,Strafford County,33017,2779.0,99,2660,98,5.57646044594346,7,1.91932572565803,5191.07277491819,349.730125785094,637.454443858851,15119.2159580606,7870.77790234153,5,27,26,19,22,17,8,73,24,96,73,4,30,76,30,52,24,25,3,44,14,39,5,4,2,0,1,1,17.4184070461339,71.8490196951856,72,101.643042946528,51,27,22,10,10,5,42,A,A,A,-1,-1,NH,-1,A,strafford nh,96,4,96,0,0
